"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","Cw1rxd","R8c4Qb","ah5Ghc","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd 2","R8c4Qb 2"
"https://www.google.com/maps/place/Dr.+Pankaj+Choudhary/data=!4m7!3m6!1s0x396db598e3d4bfe7:0x825363cbb5e70ce1!8m2!3d26.9155008!4d75.7509995!16s%2Fg%2F11qpwj5mvx!19sChIJ57_U45i1bTkR4QzntctjU4I?authuser=0&hl=en&rclk=1","Dr. Pankaj Choudhary","4.7","(1,160)","Chiropractor","·","","·","176, Vaishali Marg, opp. Handi Restuarant, opp. Handi Restaurant","Closed","· Opens 9 am","","Website","On-site services","·","070148 49309","https://drpankajchoudhary.com/","","Directions"
"https://www.google.com/maps/place/Dr.+Saniya+Jain+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396db74600630e63:0x1d2805c72a9df8c4!8m2!3d26.8957899!4d75.8369676!16s%2Fg%2F11mm08mr6d!19sChIJYw5jAEa3bTkRxPidKscFKB0?authuser=0&hl=en&rclk=1","Dr. Saniya Jain Physiotherapy Clinic","5.0","(35)","Physiotherapy Center","·","","G-7, Mama Ki Hotel, Shiv Shakti complex, near gurudwara","·","Closed","· Opens 10 am","","Directions","On-site services","","086193 76620","","",""
"https://www.google.com/maps/place/Dr.+Ashutosh+Sharma%E2%80%98s+Health+%26+Wellness+center+%7CThe+spine+-Back+%26+Neck+Pain+Specialist/data=!4m7!3m6!1s0x396db60bb5103c19:0x4e69d63394f85e73!8m2!3d26.8465126!4d75.8097825!16s%2Fg%2F11fy_4b5qp!19sChIJGTwQtQu2bTkRc174lDPWaU4?authuser=0&hl=en&rclk=1","Dr. Ashutosh Sharma‘s Health & Wellness center |The spine -Back & Neck Pain Specialist","4.9","(139)","Chiropractor","·","","E-56, Girdhar Marg, near Ghiya Hospital","·","Closed","· Opens 9 am","","Website","On-site services","","094601 08099","https://physiotherapistinjaipur.in/","","Directions"
"https://www.google.com/maps/place/NINTT+Neuro+Centre+Jaipur+Rajasthan/data=!4m7!3m6!1s0x396db793f306be39:0xdcac528fe4ecc6cf!8m2!3d26.8957349!4d75.8313438!16s%2Fg%2F11trycm15r!19sChIJOb4G85O3bTkRz8bs5I9SrNw?authuser=0&hl=en&rclk=1","NINTT Neuro Centre Jaipur Rajasthan","5.0","(25)","Hospital department","·","","","·","Closed","· Opens 9 am","","Website","""Best treatment for spine slip disc and cervical slip disc""","","096600 05228","https://nintt.com/","","Directions"
"https://www.google.com/maps/place/Plus+Spine+Care/data=!4m7!3m6!1s0x396db3af2a70d83d:0x420da78a972a8d82!8m2!3d26.9473168!4d75.7249661!16s%2Fg%2F11kqtlc2pj!19sChIJPdhwKq-zbTkRgo0ql4qnDUI?authuser=0&hl=en&rclk=1","Plus Spine Care","5.0","(226)","Chiropractor","·","","·","Krishna Enclave, B-4, Kalwar Rd, below burger farm","Closed","· Opens 9 am","","Website","On-site services","·","063758 93586","http://plusspinecare.com/","","Directions"
"https://www.google.com/maps/place/Apollon+Massage+Chair+and+wellness+hub/data=!4m7!3m6!1s0x396db7841b05af13:0xb3c77b11a2cd1efb!8m2!3d26.9031204!4d75.8367642!16s%2Fg%2F11zjpcp1px!19sChIJE68FG4S3bTkR-x7NohF7x7M?authuser=0&hl=en&rclk=1","Apollon Massage Chair and wellness hub","5.0","(15)","Wellness center","·","","Plot No. 1, left side of elevator, pink mall, 2, Govind Marg","","Closed","· Opens 10 am","","Website","""Very good and good service must have for home""","","","https://apollonchairs.com/","","Directions"
"https://www.google.com/maps/place/The+Physio+Flow/data=!4m7!3m6!1s0x396db3ec9e91cd4b:0xcc5f5542826805aa!8m2!3d26.9343461!4d75.7958678!16s%2Fg%2F11yrp4vc78!19sChIJS82RnuyzbTkRqgVogkJVX8w?authuser=0&hl=en&rclk=1","The Physio Flow","5.0","(41)","Chiropractor","·","","·","S-45, 46, next to GHOONGHAT HOTEL, near Peetal Factory Chauraha","Closed","· Opens 9 am","","Website","On-site services","·","070620 74525","https://thephysioflow.com/","","Directions"
"https://www.google.com/maps/place/GURUKRIPA+AROGYAM+WELLNESS/data=!4m7!3m6!1s0x396db3005c962e49:0x359aa75bd6e203da!8m2!3d26.9250176!4d75.7458821!16s%2Fg%2F11lybxx3xy!19sChIJSS6WXACzbTkR2gPi1lunmjU?authuser=0&hl=en&rclk=1","GURUKRIPA AROGYAM WELLNESS","5.0","(64)","Chiropractor","·","","Road, opp. Royal Heritage Haveli Hotel, near Arawali Caterers","·","Closed","· Opens 10 am","","Directions","""Went for severe lower back pain, got it sorted in less than 10 minutes.""","","075688 22390","","",""
"https://www.google.com/maps/place/Drsandeep+sports+ortho+and+neuro+physiotherapy+clinic/data=!4m7!3m6!1s0x396db5001774fa2f:0x211ecdfa8dfae6d8!8m2!3d26.901367!4d75.7887182!16s%2Fg%2F11z134r7wj!19sChIJL_p0FwC1bTkR2Ob6jfrNHiE?authuser=0&hl=en&rclk=1","Drsandeep sports ortho and neuro physiotherapy clinic","5.0","(110)","Physiotherapy Center","·","","Yamuna Path, behind laxmi dharam ka","·","Closed","· Opens 8:30 am","","Website","On-site services","","094560 16701","http://drsandeepphysio.com/","","Directions"
"https://www.google.com/maps/place/Jaipur+spine+%26+sports+physiotherapy+centre/data=!4m7!3m6!1s0x396db500628bcf53:0x886a4c74d85f9ee0!8m2!3d26.8963772!4d75.7168944!16s%2Fg%2F11ysbh9334!19sChIJU8-LYgC1bTkR4J5f2HRMaog?authuser=0&hl=en&rclk=1","Jaipur spine & sports physiotherapy centre","4.9","(131)","Physiotherapy Center","·","","·","shri shyam vihar vistar, Plot no-8, Gandhi Path Rd","Closed","· Opens 9 am","","Website","On-site services","·","081072 66461","https://jaipur-spine-sports.grexa.site/","","Directions"
"https://www.google.com/maps/place/Osteocare+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396db5000cd0a8a1:0xd2a8a9d33ec0e943!8m2!3d26.9093348!4d75.7913253!16s%2Fg%2F11ln9mdd3p!19sChIJoajQDAC1bTkRQ-nAPtOpqNI?authuser=0&hl=en&rclk=1","Osteocare Physiotherapy Clinic","4.9","(25)","Chiropractor","·","","8-A","·","Closed","· Opens 9 am","","Website","On-site services","","093517 36342","https://aftercolleges.com/osteocare-physiotherapy-clinic/","","Directions"
"https://www.google.com/maps/place/Physio+Sparsh/data=!4m7!3m6!1s0x396db6943bb2e509:0x4df9052fbfc9bd6f!8m2!3d26.894931!4d75.825367!16s%2Fg%2F11f1wll20r!19sChIJCeWyO5S2bTkRb73Jvy8F-U0?authuser=0&hl=en&rclk=1","Physio Sparsh","4.7","(29)","Physiotherapist","·","","51 A, behind Roshan Hotel","·","Closed","· Opens 10 am","","Directions","On-site services","","095493 20964","","",""
"https://www.google.com/maps/place/NG+Ayurveda+-+Nathulal+Ji+Gordhan+Ji+Pahelwan/data=!4m7!3m6!1s0x396db7fe21f433bd:0xb4837f9a027ae54e!8m2!3d26.9187184!4d75.822763!16s%2Fg%2F11j0scypy4!19sChIJvTP0If63bTkRTuV6App_g7Q?authuser=0&hl=en&rclk=1","NG Ayurveda - Nathulal Ji Gordhan Ji Pahelwan","4.8","(29)","Chiropractor","·","","1906, ladi walo ki gali","·","Closed","· Opens 8:30 am","","Website","On-site services","","098281 16077","https://ngayurvedaindia.vercel.app/","","Directions"
"https://www.google.com/maps/place/The+Reviva+Pain+%26+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396db3a6e9152581:0x2ad3a938300346d7!8m2!3d26.9456604!4d75.733959!16s%2Fg%2F1ydpvbfxq!19sChIJgSUV6aazbTkR10YDMDip0yo?authuser=0&hl=en&rclk=1","The Reviva Pain & Physiotherapy Clinic","5.0","(843)","Chiropractor","·","","Plot No.143, Kalwar Rd, near 200 Feet Bypass Road, adjoining Brij Fracture Hospital","·","Closed","· Opens 8:30 am","","Website","On-site services","","092143 17569","https://www.revivaphysiotherapyjaipur.com/","","Directions"
"https://www.google.com/maps/place/PhysioFirstt/data=!4m7!3m6!1s0x396db69d41220ef3:0xbeec7750c5190e41!8m2!3d26.8875865!4d75.8066177!16s%2Fg%2F1tdkw261!19sChIJ8w4iQZ22bTkRQQ4ZxVB37L4?authuser=0&hl=en&rclk=1","PhysioFirstt","4.8","(127)","Chiropractor","·","","·","B-125, Nandkishore Parikh Marg","Closed","· Opens 8 am","","Website","""Came in with neck and back pain and left feeling much better.""","·","083062 31311","https://www.physiofirstt.com/","","Directions"
"https://www.google.com/maps/place/My+Physio+Neelkanth/data=!4m7!3m6!1s0x396db5e9520cdeed:0x5c397f541842b056!8m2!3d26.9103786!4d75.8027314!16s%2Fg%2F11j83wd0y5!19sChIJ7d4MUum1bTkRVrBCGFR_OVw?authuser=0&hl=en&rclk=1","My Physio Neelkanth","5.0","(26)","Chiropractor","·","","·","J-40, GHP Enclave, Krishna Marg","Closed","· Opens 9 am","","Website","On-site services","·","097824 68066","http://www.myphysioindia.in/","","Directions"
"","","","","","","","","","","","","","","","","","",""
