"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","UsdlK","Cw1rxd","R8c4Qb","doJOZc","W4Efsd 6","W4Efsd 7","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/Dr+Arun+Sharma+-+MD+Senior+Physician/data=!4m7!3m6!1s0x396db3c0d5b4384b:0xb1d2422976149424!8m2!3d26.9214725!4d75.7427196!16s%2Fg%2F11z00w822y!19sChIJSzi01cCzbTkRJJQUdilC0rE?authuser=0&hl=en&rclk=1","Dr Arun Sharma - MD Senior Physician","4.9","(41)","Doctor","·","Old Thar Hospital, B-7, Sirsi Rd","Closed","","","","Directions","","· Opens 4 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He listens patiently and explains every concern with clarity and care.""","","","","",""
"https://www.google.com/maps/place/Dr.+Rishav+Bansal+%28Senior+Citizen+Specialist%2FGeriatric+Physician%29/data=!4m7!3m6!1s0x396db53956760d0d:0x169a5d7915f7a54d!8m2!3d26.9136782!4d75.8014404!16s%2Fg%2F11j2zq66yd!19sChIJDQ12Vjm1bTkRTaX3FXldmhY?authuser=0&hl=en&rclk=1","Dr. Rishav Bansal (Senior Citizen Specialist/Geriatric Physician)","4.9","(593)","Doctor","·","·","Bansal Health Clinic, K23 (Sapphire heritage, Malviya Marg, near Airtel Store","Closed","099689 68360","","Website","","·","· Opens 5:30 pm","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Your expertise and care has made a huge impact on my family and me.""","https://www.facebook.com/geriatricianinjaipur","","Directions","",""
"https://www.google.com/maps/place/Dr+Vishnu+Gupta/data=!4m7!3m6!1s0x396db53a95d54b81:0x725348efebd81ecd!8m2!3d26.8517559!4d75.7556569!16s%2Fg%2F11r3ym23g1!19sChIJgUvVlTq1bTkRzR7Y6-9IU3I?authuser=0&hl=en&rclk=1","Dr Vishnu Gupta","4.9","(823)","Emergency care physician","·","·","A, Patrakar Colony Rd","","098282 25072","","Website","","","","","On-site services not available","https://www.drvishnugupta.com/","","Directions","",""
"https://www.google.com/maps/place/Dr+Yogendra+Sutrakar/data=!4m7!3m6!1s0x396db33d10f96fe3:0x2a3485c66b58a3d!8m2!3d26.949302!4d75.7120372!16s%2Fg%2F11bw1qbf9g!19sChIJ42_5ED2zbTkRPYq1ZlxIowI?authuser=0&hl=en&rclk=1","Dr Yogendra Sutrakar","4.9","(301)","ENT Specialist","·","·","9, Dukaan Kalwar Rd","Open 24 hours","082332 58687","","Website","","·","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent hospital with caring","https://www.sanjeevanienthospital.com/","","Directions","doctors",", supportive staff, and great service."""
"https://www.google.com/maps/place/CM+Child+Hospital+Jhotwara+Jaipur/data=!4m7!3m6!1s0x396db3113a962937:0xd2a6c1acb1b20e2b!8m2!3d26.9454427!4d75.7124961!16s%2Fg%2F11hchzbzt_!19sChIJNymWOhGzbTkRKw6ysazBptI?authuser=0&hl=en&rclk=1","CM Child Hospital Jhotwara Jaipur","4.5","(93)","Pediatrician","·","·","Open 24 hours","13, Kalwar Rd, near 9 Dukan","099508 99549","","Directions","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Treatment is very effective.""","","","","",""
"https://www.google.com/maps/place/Dr.+DEVENDRA+GUPTA+-+BEST+PHYSICIAN+IN+JAIPUR/data=!4m7!3m6!1s0x396db3e8f892b7cd:0x18658793d8dd8e61!8m2!3d26.9579245!4d75.7417579!16s%2Fg%2F11s4g12m60!19sChIJzbeS-OizbTkRYY7d2JOHZRg?authuser=0&hl=en&rclk=1","Dr. DEVENDRA GUPTA - BEST PHYSICIAN IN JAIPUR","4.5","(2)","Doctor","·","AARVI HOSPITAL, Niwaru Rd","·","Open 24 hours","094604 63463","","Website","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Devendra gupta team is very helpfull and professional.""","https://www.eka.care/doctor/devendra-gupta?utm_source=gmb&utm_medium=website&utm_campaign=032023","","Directions","",""
"https://www.google.com/maps/place/Dr.+H+L+Saini+Associate+Professor+SMS+medical+college+jaipur/data=!4m7!3m6!1s0x396db565073fc0e5:0x582a94aaec6ac901!8m2!3d26.8841095!4d75.7530366!16s%2Fg%2F11mw7pyhzv!19sChIJ5cA_B2W1bTkRAclq7KqUKlg?authuser=0&hl=en&rclk=1","Dr. H L Saini Associate Professor SMS medical college jaipur","5.0","(453)","Medical clinic","·","14 A, Bhagwan Path","Closed","·","086196 30817","","Directions","","· Opens 7:30 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The","","","","doctor","listened patiently and gave the right treatment very satisfied"""
"https://www.google.com/maps/place/Dr+Mohd+Khalid/data=!4m7!3m6!1s0x396db57ac1e573b5:0x3d0ab9885ed83554!8m2!3d26.952933!4d75.7396715!16s%2Fg%2F11rspf51hp!19sChIJtXPlwXq1bTkRVDXYXoi5Cj0?authuser=0&hl=en&rclk=1","Dr Mohd Khalid","5.0","(142)","Doctor","·","FirstMed Clinic Plot no 33, NARAYANPURI-B, 302012, behind Darbar school","Closed","·","078775 39937","","Directions","","· Opens 9 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good diagnosis & affordable price
So all think very good clinc""","","","","",""
"https://www.google.com/maps/place/Dr.Ankur+Arora+Hypertension+and+Diabetes+Clinic/data=!4m7!3m6!1s0x396c4d7bfc05aa89:0x2cb737094b45ba76!8m2!3d26.9515361!4d75.7015296!16s%2Fg%2F11twrv5t8p!19sChIJiaoF_HtNbDkRdrpFSwk3tyw?authuser=0&hl=en&rclk=1","Dr.Ankur Arora Hypertension and Diabetes Clinic","4.7","(23)","Diabetologist","·","·","Open 24 hours","AYUSHMAN HOSPITAL, Kalwar Rd","","","Directions","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr. ANKUR ARORA IS VERY GOOD DIABETOLOGIST.""","","","","",""
"https://www.google.com/maps/place/Dr.+Sumit+Bochiwal/data=!4m7!3m6!1s0x396db37f4fa7182f:0xf3209c2de26089d3!8m2!3d26.9493335!4d75.7117947!16s%2Fg%2F11kb7xnhzy!19sChIJLxinT3-zbTkR04lg4i2cIPM?authuser=0&hl=en&rclk=1","Dr. Sumit Bochiwal","4.3","(15)","General practitioner","·","1, Kalwar Rd","·","Closed","080 4696 1837","","Website","","","· Opens 5:30 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent","https://www.apollo247.com/doctors/dr-Sumit-Bochiwal-7f718e9a-c0a9-4edf-8414-45ca4b6c220e","","Directions","Physician","and Excellent Human Being."""
"https://www.google.com/maps/place/Dr+Avinash+Kulhar+Physician+at+City+Hospital/data=!4m7!3m6!1s0x396db72d3e01812d:0x57539b36d1b8d9!8m2!3d26.9155359!4d75.8105883!16s%2Fg%2F11z8b6ly00!19sChIJLYEBPi23bTkR2bjRNptTVwA?authuser=0&hl=en&rclk=1","Dr Avinash Kulhar Physician at City Hospital","5.0","(12)","Doctor","·","·","S 35- B, Radha Marg, behind raj mandir cinema","Open 24 hours","096807 57462","","Website","","·","","","On-site services","https://cityhospitaljaipur.lovable.app/","","Directions","",""
"https://www.google.com/maps/place/Dr.+Anima+Sharma/data=!4m7!3m6!1s0x396db5d91d09d5bb:0x4ac40e7212562429!8m2!3d26.90343!4d75.7292445!16s%2Fg%2F11pfcgmzfg!19sChIJu9UJHdm1bTkRKSRWEnIOxEo?authuser=0&hl=en&rclk=1","Dr. Anima Sharma","4.9","(73)","Doctor","·","Shalby Multi-Specialty Hospital, Ajmer Expressway 200 Feet Bypass Road, near Gandhi Path","·","Closed","097991 80555","","Website","","","· Opens 10 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Diagnosis, treatment and counseling at excellent levels.""","http://dranimasharma.com/","","Directions","",""
"https://www.google.com/maps/place/Dr.+DEVENDRA+GUPTA+-+BEST+PHYSICIAN+IN+JAIPUR/data=!4m7!3m6!1s0x396db3e8f892b7cd:0x18658793d8dd8e61!8m2!3d26.9579245!4d75.7417579!16s%2Fg%2F11s4g12m60!19sChIJzbeS-OizbTkRYY7d2JOHZRg?authuser=0&hl=en&rclk=1","Dr. DEVENDRA GUPTA - BEST PHYSICIAN IN JAIPUR","4.5","(2)","Doctor","·","AARVI HOSPITAL, Niwaru Rd","·","Open 24 hours","094604 63463","","Website","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr Devendra gupta team is very helpfull and professional.""","https://www.eka.care/doctor/devendra-gupta?utm_source=gmb&utm_medium=website&utm_campaign=032023","","Directions","",""
"https://www.google.com/maps/place/Jaipur+Pet+Hospital/data=!4m7!3m6!1s0x396db32b56099d11:0x55375353e66aa65!8m2!3d26.9453863!4d75.7122106!16s%2Fg%2F11bwh969z8!19sChIJEZ0JViuzbTkRZapmPjV1UwU?authuser=0&hl=en&rclk=1","Jaipur Pet Hospital","4.2","(788)","Animal hospital","·","·","Plot No. 35, Kalwar Rd, opposite CM Child Hospital","Open 24 hours","082392 44888","","Website","","·","","","On-site services","https://www.jaipurpethospital.com/","","Directions","",""
"https://www.google.com/maps/place/Ayu+Health+Hospital/data=!4m7!3m6!1s0x396c4df21cfbad95:0xd8884bc9c6f14874!8m2!3d26.9566225!4d75.6867699!16s%2Fg%2F11kk617b72!19sChIJla37HPJNbDkRdEjxxslLiNg?authuser=0&hl=en&rclk=1","Ayu Health Hospital","5.0","(4)","Surgeon","·","·","Department of General Surgery, EMERGENCY BLOCK, Kalwar Rd","Open 24 hours","0141 493 7433","","Website","","·","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Dr.rohit oncologist is good dr.""","https://ayu.health/jaipur/doctors/general-surgeons?utm_source=google&utm_medium=organic&utm_campaign=GMB_jaipur_Hathoj","","Directions","",""
"https://www.google.com/maps/place/Krishna+homeopathic+clinic+-best+homeopathy+Doctor,+Best+homeopathy+clinic+in+Jaipur./data=!4m7!3m6!1s0x396c4d56379994f7:0x8de992231d928e10!8m2!3d26.9559243!4d75.7035084!16s%2Fg%2F11sv1_dz29!19sChIJ95SZN1ZNbDkREI6SHSOS6Y0?authuser=0&hl=en&rclk=1","Krishna homeopathic clinic -best homeopathy Doctor, Best homeopathy clinic in Jaipur.","4.9","(35)","Medical clinic","·","Shop no 10, Govind vihar, Niwaru Link Rd","Closed","·","084410 92933","","Directions","","· Opens 10 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""The doctor is very polite and experienced.""","","","","",""
"https://www.google.com/maps/place/Dr+Abha+Sharma/data=!4m7!3m6!1s0x396db45a089d72f9:0xbfd1b209d61d7878!8m2!3d26.8907343!4d75.7687!16s%2Fg%2F11fx9488v9!19sChIJ-XKdCFq0bTkReHgd1gmy0b8?authuser=0&hl=en&rclk=1","Dr Abha Sharma","4.9","(436)","Pain management physician","·","·","Advance hospital, metro station, E - 7, New Sanganer Rd, near Vivek Vihar","Closed","087698 90028","","Website","","·","· Opens 9 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Treatment is very good.""","https://drabhasharma.com/","","Directions","",""
"https://www.google.com/maps/place/Dr+Arun+Sharma+-+MD+Senior+Physician/data=!4m7!3m6!1s0x396db3c0d5b4384b:0xb1d2422976149424!8m2!3d26.9214725!4d75.7427196!16s%2Fg%2F11z00w822y!19sChIJSzi01cCzbTkRJJQUdilC0rE?authuser=0&hl=en&rclk=1","Dr Arun Sharma - MD Senior Physician","4.9","(41)","Doctor","·","Old Thar Hospital, B-7, Sirsi Rd","Closed","","","","Directions","","· Opens 4 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He listens patiently and explains every concern with clarity and care.""","","","","",""
"https://www.google.com/maps/place/B.L.+Choudhary+Hospital/data=!4m7!3m6!1s0x396c4d00458f2113:0x10721a343d3066bf!8m2!3d26.9418502!4d75.7099816!16s%2Fg%2F11wp96kmz0!19sChIJEyGPRQBNbDkRv2YwPTQachA?authuser=0&hl=en&rclk=1","B.L. Choudhary Hospital","4.0","(1)","Hospital","·","11A 1","","","","","Directions","","","","","","","","","",""
"https://www.google.com/maps/place/RGHS+APPROVED+ANAND+DENTAL+HOSPITAL+AND+DIAGNOSTIC+CENTRE/data=!4m7!3m6!1s0x396db30020854b0f:0xd2dfd395e3eb1f13!8m2!3d26.9426966!4d75.7143849!16s%2Fg%2F11y5l6yjb9!19sChIJD0uFIACzbTkREx_r45XT39I?authuser=0&hl=en&rclk=1","RGHS APPROVED ANAND DENTAL HOSPITAL AND DIAGNOSTIC CENTRE","4.7","(427)","Dental clinic","·","·","45,46, opposite to parth chiranjivi complex","Closed","094622 09414","","Website","","·","· Opens 9 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","http://ananddentalhospital.com/","","Directions","Doctor","listen carefully to patient and provide the right advice"""
"https://www.google.com/maps/place/Manipal+Hospital+Jaipur/data=!4m7!3m6!1s0x396db24e7525bee7:0xe317cb2b004c9f43!8m2!3d26.9687055!4d75.7734221!16s%2Fg%2F11cn8xzn26!19sChIJ574ldU6ybTkRQ59MACvLF-M?authuser=0&hl=en&rclk=1","Manipal Hospital Jaipur","4.9","(22,137)","Private hospital","·","·","Sikar Rd","Open 24 hours","091166 56540","","Website","","·","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very experienced and thorough medical staff and","https://www.manipalhospitals.com/jaipur/?utm_source=gmb","","Directions","doctors","."""
"https://www.google.com/maps/place/Dr+Mohd+Khalid/data=!4m7!3m6!1s0x396db57ac1e573b5:0x3d0ab9885ed83554!8m2!3d26.952933!4d75.7396715!16s%2Fg%2F11rspf51hp!19sChIJtXPlwXq1bTkRVDXYXoi5Cj0?authuser=0&hl=en&rclk=1","Dr Mohd Khalid","5.0","(142)","Doctor","·","FirstMed Clinic Plot no 33, NARAYANPURI-B, 302012, behind Darbar school","Closed","·","078775 39937","","Directions","","· Opens 9 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very good diagnosis & affordable price
So all think very good clinc""","","","","",""
"https://www.google.com/maps/place/Dr.+kewal+Krishan+sharma+%7C+Rishabh+Hospital/data=!4m7!3m6!1s0x396c4d40563dcdfb:0xb4bac0d3560dd8a9!8m2!3d26.9532871!4d75.7074593!16s%2Fg%2F11jzgy45lm!19sChIJ-809VkBNbDkRqdgNVtPAurQ?authuser=0&hl=en&rclk=1","Dr. kewal Krishan sharma | Rishabh Hospital","","","Doctor","·","G -2, RISHABH HOSPITAL, 62, Kalwar Rd","·","Closed","098291 37794","","Website","","","· Opens 9 am","","","https://www.eka.care/doctor/dr-kewal-krishan-sharma-general-surgeon-jaipur?utm_source=gmb&utm_medium=website&utm_campaign=032023","","Directions","",""
"https://www.google.com/maps/place/Good+Health+Medicare/data=!4m7!3m6!1s0x396db3000f6a897b:0x580075ff3740297f!8m2!3d26.9506025!4d75.7406326!16s%2Fg%2F11vs3qn4kd!19sChIJe4lqDwCzbTkRfylAN_91AFg?authuser=0&hl=en&rclk=1","Good Health Medicare","5.0","(38)","Medical clinic","·","·","Closed","Good Health Medicare, Chaman Bari, near Gossiya Masjid, 78, Shekhawati Marg","090018 64567","","Directions","","· Opens 5 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Extremely qualified","","","","doctor","with a humane approach towards patients."""
"https://www.google.com/maps/place/Dr.+Anima+Sharma/data=!4m7!3m6!1s0x396db5d91d09d5bb:0x4ac40e7212562429!8m2!3d26.90343!4d75.7292445!16s%2Fg%2F11pfcgmzfg!19sChIJu9UJHdm1bTkRKSRWEnIOxEo?authuser=0&hl=en&rclk=1","Dr. Anima Sharma","4.9","(73)","Doctor","·","Shalby Multi-Specialty Hospital, Ajmer Expressway 200 Feet Bypass Road, near Gandhi Path","·","Closed","097991 80555","","Website","","","· Opens 10 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Diagnosis, treatment and counseling at excellent levels.""","http://dranimasharma.com/","","Directions","",""
"https://www.google.com/maps/place/Dr.+Rishav+Bansal+%28Senior+Citizen+Specialist%2FGeriatric+Physician%29/data=!4m7!3m6!1s0x396db53956760d0d:0x169a5d7915f7a54d!8m2!3d26.9136782!4d75.8014404!16s%2Fg%2F11j2zq66yd!19sChIJDQ12Vjm1bTkRTaX3FXldmhY?authuser=0&hl=en&rclk=1","Dr. Rishav Bansal (Senior Citizen Specialist/Geriatric Physician)","4.9","(593)","Doctor","·","·","Bansal Health Clinic, K23 (Sapphire heritage, Malviya Marg, near Airtel Store","Closed","099689 68360","","Website","","·","· Opens 5:30 pm","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Your expertise and care has made a huge impact on my family and me.""","https://www.facebook.com/geriatricianinjaipur","","Directions","",""
"https://www.google.com/maps/place/Dr.+Arvind+Palawat/data=!4m7!3m6!1s0x396db37632d4eec9:0xb380081f1b0df074!8m2!3d26.912104!4d75.7268635!16s%2Fg%2F11h27z9whk!19sChIJye7UMnazbTkRdPANGx8IgLM?authuser=0&hl=en&rclk=1","Dr. Arvind Palawat","4.7","(42)","Doctor","·","","·","Closed","098280 25364","","Website","","","· Opens 7 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Understand the root cause and give proper advice and diagnose.""","https://www.eka.care/doctor/dr-avind-palawat-general-physician-jaipur?utm_source=gmb&utm_medium=website&utm_campaign=032023","","Directions","",""
"https://www.google.com/maps/place/MARUDHAR+HOSPITAL/data=!4m7!3m6!1s0x396db36fa38f9461:0x1fb07cc22445da6e!8m2!3d26.9269229!4d75.7463238!16s%2Fg%2F1th55d5v!19sChIJYZSPo2-zbTkRbtpFJMJ8sB8?authuser=0&hl=en&rclk=1","MARUDHAR HOSPITAL","4.3","(2,168)","Hospital","·","·","A 93-99, Singh Bhoomi Khatipura Rd","Open 24 hours","096361 80222","","Website","","·","","","On-site services","https://marudharhospital.com/","","Directions","",""
"https://www.google.com/maps/place/Dr.+Chandan+Kedawat+%7C+Best+Internal+Medicine+in+Jaipur/data=!4m7!3m6!1s0x396db345de4d7295:0x9cf9163b5b79c4b5!8m2!3d26.96922!4d75.77314!16s%2Fg%2F11n5rxtwh5!19sChIJlXJN3kWzbTkRtcR5WzsW-Zw?authuser=0&hl=en&rclk=1","Dr. Chandan Kedawat | Best Internal Medicine in Jaipur","4.9","(69)","Doctor","·","·","Room no.07, MANIPAL HOSPITAL JAIPUR, Main, Sikar Rd","Closed","091166 56540","","Website","","·","· Opens 11 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""He gives full time to his patients to understand the real cause.""","https://www.manipalhospitals.com/jaipur/doctors/dr-chandan-kedawat-consultant-general-medicine/?utm_source=gmb&utm_medium=Dr.+Chandan+kedawat","","Directions","",""
"https://www.google.com/maps/place/Dr.+Sudhir+Sharma,+Best+Physician+in+Jaipur,+Best+Doctor+for+Diabetes,+Hypertension,+Migraine,+Asthma,+Upset+stomach/data=!4m7!3m6!1s0x396db54f777c573d:0x7de401d31812d804!8m2!3d26.8902863!4d75.7511228!16s%2Fg%2F11jx40t90h!19sChIJPVd8d0-1bTkRBNgSGNMB5H0?authuser=0&hl=en&rclk=1","Dr. Sudhir Sharma, Best Physician in Jaipur, Best Doctor for Diabetes, Hypertension, Migraine, Asthma, Upset stomach","5.0","(509)","Doctor","·","·","105, Main King's Road, Next to Shyam Nagar Police Station","Closed","094605 61212","","Website","","·","· Opens 9:30 am","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very professional, diagnoses precisely and treatments are done accordingly""","https://drsudhirsharma.com/","","Directions","",""
"https://www.google.com/maps/place/Dr.+Mahendra+Kumar-+General+Physician+in+Jaipur/data=!4m7!3m6!1s0x396c4d658ccb0db5:0xf2d6d4298daaa858!8m2!3d26.9200733!4d75.6745995!16s%2Fg%2F11s_sgz2n6!19sChIJtQ3LjGVNbDkRWKiqjSnU1vI?authuser=0&hl=en&rclk=1","Dr. Mahendra Kumar- General Physician in Jaipur","","","General practitioner","·","Manglam Clinic, near Manglam City","","Closed","","","Website","","","· Opens 9 am","","","https://drmahendrakumar.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","","Directions","",""
"https://www.google.com/maps/place/Jaipur+Medical+Directory/data=!4m7!3m6!1s0x396db54f580af30b:0xc2b67728a9252116!8m2!3d26.9048301!4d75.7234673!16s%2Fg%2F11ppm9r6rg!19sChIJC_MKWE-1bTkRFiElqSh3tsI?authuser=0&hl=en&rclk=1","Jaipur Medical Directory","5.0","(1)","Medical group","·","·","15 Bhairav Nagar, Gas Godown road, Gandhi Path W","Open 24 hours","094625 50946","","Website","","·","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good portal to find","https://www.jaipurmedicaldirectory.com/","","Directions","doctors","in rajasthan 👍👍👍👍"""
"https://www.google.com/maps/place/Dr.+Ankit+Gupta+-+Cardiologist+in+Vaishali+Nagar,+Jaipur+%7C+Angioplasty,+Angiography+Specialist+%7C+Heart+Doctor+Jaipur/data=!4m7!3m6!1s0x396db5786bbd1ebb:0xb1d7796c3bace072!8m2!3d26.9035993!4d75.7293542!16s%2Fg%2F11j90shvpl!19sChIJux69a3i1bTkRcuCsO2x517E?authuser=0&hl=en&rclk=1","Dr. Ankit Gupta - Cardiologist in Vaishali Nagar, Jaipur | Angioplasty, Angiography Specialist | Heart Doctor Jaipur","4.8","(75)","Cardiologist","","·","","Open 24 hours","072970 45868","","Website","","","","","On-site services not available","https://www.healthyheartclinic.co/","","Directions","",""
"https://www.google.com/maps/place/Diabetes+care+and+General+Hospital+Jaipur/data=!4m7!3m6!1s0x396db3bcbcf18c67:0x7c0f2233b4ba8203!8m2!3d26.9332502!4d75.7509061!16s%2Fg%2F11pcs65v78!19sChIJZ4zxvLyzbTkRA4K6tDMiD3w?authuser=0&hl=en&rclk=1","Diabetes care and General Hospital Jaipur","4.8","(125)","Diabetologist","·","·","Open 24 hours","Plot, Street Number 1, near Masjid","070620 02000","","Directions","","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice ambience gr8 work by","","","","doctors","and staff"""
