"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","W4Efsd 5","W4Efsd 6","W4Efsd 7","Jn12ke src","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/JD+ENT+and+General+Clinic/data=!4m7!3m6!1s0x80b11121213f17b7:0xe5d1db4b3cce16d9!8m2!3d26.8222424!4d75.8471802!16s%2Fg%2F11vhtmg_gh!19sChIJtxc_ISERsYAR2RbOPEvb0eU?authuser=0&hl=en&rclk=1","JD ENT and General Clinic","5.0","(46)","Medical clinic","·","","90","·","099534 06572","https://www.jdentanaesthesia.in/","","Website","","Directions","""The medicines that doctor provided, got relief in just few hours.""","Closed","· Opens 5 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Shishir+Hada/data=!4m7!3m6!1s0x396dc9672998fccb:0x65ff6f74345d3a7f!8m2!3d26.8243303!4d75.8653926!16s%2Fg%2F11vlcb1qnm!19sChIJy_yYKWfJbTkRfzpdNHRv_2U?authuser=0&hl=en&rclk=1","Dr. Shishir Hada","5.0","(59)","Doctor","·","","Dr Shishir Hada","Closed","070145 28022","","","Directions","","","""Very polite, listen to everyone , and provide good advice.""","·","· Opens 2 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+B.+Lal+Multi+Speciality+Clinic/data=!4m7!3m6!1s0x396dc92a23b05765:0x7099f0d146186840!8m2!3d26.8309329!4d75.8435479!16s%2Fg%2F11h_k3crjv!19sChIJZVewIyrJbTkRQGgYRtHwmXA?authuser=0&hl=en&rclk=1","Dr. B. Lal Multi Speciality Clinic","5.0","(7)","Medical clinic","·","","·","Closed","091661 25555","","","Directions","","","","E-7","· Opens 7:30 am","·","","",""
"https://www.google.com/maps/place/Jai+ganesh+medical+%26+clinic/data=!4m7!3m6!1s0x396db7c66c117db7:0xc27a7a4568b1894a!8m2!3d26.8352178!4d75.8753835!16s%2Fg%2F11s7sgn4l9!19sChIJt30RbMa3bTkRSomxaEV6esI?authuser=0&hl=en&rclk=1","Jai ganesh medical & clinic","4.9","(35)","Medical clinic","·","","under hightenssion electric line Jagatpura, Suman vihar, Meena Marg","Open 24 hours","096678 89742","","","Directions","","","""All madican available 24/7 and nice advice""","·","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Kavita+Clinic/data=!4m7!3m6!1s0x396db604b05efc21:0x2909a98ebfedb9db!8m2!3d26.8355239!4d75.8179044!16s%2Fg%2F11hd5540lb!19sChIJIfxesAS2bTkR27ntv46pCSk?authuser=0&hl=en&rclk=1","Kavita Clinic","5.0","(3)","Medical clinic","·","","RRP9+652","Open 24 hours","","","","Directions","","","""I treat you like your own child.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Dalchand-+Best+General+Physicians+in+jagatpura+,+SMS+Hospital/data=!4m7!3m6!1s0x396db7c8a10e000b:0x23c8672a4651292!8m2!3d26.8378853!4d75.8863695!16s%2Fg%2F11lp0y9vb_!19sChIJCwAOoci3bTkRkhJlpHKGPAI?authuser=0&hl=en&rclk=1","Dr. Dalchand- Best General Physicians in jagatpura , SMS Hospital","5.0","(280)","Doctor","·","","·","24","088243 68361","https://drdcclinic.com/","","Website","","Directions","On-site services","Closed","· Opens 5 pm","·","","",""
"https://www.google.com/maps/place/DR.SINGH.CLINIC.PRIMARY+HEALTH+CARE+CENTRE/data=!4m7!3m6!1s0x396dc9061c5ed255:0xbde2f2d7182eae7f!8m2!3d26.8073712!4d75.8707385!16s%2Fg%2F11ygz948dh!19sChIJVdJeHAbJbTkRf64uGNfy4r0?authuser=0&hl=en&rclk=1","DR.SINGH.CLINIC.PRIMARY HEALTH CARE CENTRE","5.0","(9)","Doctor","·","","Shop 17, Complex Green Park, Shop Number S1 B Lotus Red Building, opposite Appollo Pharmacy","Open 24 hours","092565 17348","","","Directions","","","On-site services","·","","","","",""
"https://www.google.com/maps/place/Vikram+clinic+%26+day+care+centre/data=!4m7!3m6!1s0x396dc9579c52a283:0x3866302a2e0d4710!8m2!3d26.8187682!4d75.8639434!16s%2Fg%2F11s4sxz1_p!19sChIJg6JSnFfJbTkREEcNLiowZjg?authuser=0&hl=en&rclk=1","Vikram clinic & day care centre","5.0","(44)","Hospital","·","","·","Open 24 hours","070566 37704","","","Directions","","","On-site services","ke samne, A- 296, ramnagariya","","·","","",""
"https://www.google.com/maps/place/URJA+FAMILY+CLINIC+%26+DIAGNOSTICS+Pratapnagar+Jagatpura/data=!4m7!3m6!1s0x396dc9eb904b1a7f:0xd9372398292488f9!8m2!3d26.8080275!4d75.8223362!16s%2Fg%2F11gfm2vvnb!19sChIJfxpLkOvJbTkR-YgkKZgjN9k?authuser=0&hl=en&rclk=1","URJA FAMILY CLINIC & DIAGNOSTICS Pratapnagar Jagatpura","5.0","(971)","Specialized clinic","·","","·","Pannadhyay Circle, Haldighati Marg","080076 09524","https://urjafamilyclinic.com/","","Website","","Directions","""Good","Closed","· Opens 8 am","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctor",", great atmosphere cleaning and hygienic"
"https://www.google.com/maps/place/Dr.+Pradeep+Agarwal/data=!4m7!3m6!1s0x396dc9320ba2988f:0x65522fee0f0f1afe!8m2!3d26.8224794!4d75.8644247!16s%2Fg%2F11sqh_brcr!19sChIJj5iiCzLJbTkR_hoPD-4vUmU?authuser=0&hl=en&rclk=1","Dr. Pradeep Agarwal","4.6","(22)","Diabetologist","·","","·","Agarwal Clinic, A 152, Ram Nagariya Rd, near Skit College","080034 21899","https://agarwalclinic.com/","","Website","","Directions","""Very polite & very knowledgeable.""","Closed","· Opens 7 am","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Lata+Clinic+and+Medical+Store/data=!4m7!3m6!1s0x396dc938c17acd3b:0xed344c2f7b76dfd1!8m2!3d26.8241995!4d75.840475!16s%2Fg%2F11qs6p8j77!19sChIJO816wTjJbTkR0d92ey9MNO0?authuser=0&hl=en&rclk=1","Lata Clinic and Medical Store","5.0","(4)","Medical clinic","","","·","Closed","086199 26738","","","Directions","","","""What is the fees for ear cleaning for defence medical examinations ????""","","· Opens 4:30 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+RS+Chejara/data=!4m7!3m6!1s0x396dc9be1dc98161:0xaf456acce845f252!8m2!3d26.8233656!4d75.8373834!16s%2Fg%2F11qnf7xw2b!19sChIJYYHJHb7JbTkRUvJF6MxqRa8?authuser=0&hl=en&rclk=1","Dr RS Chejara","4.5","(55)","Doctor","·","","·","Closed","094605 39358","","","Directions","","","""Always listen patient’s symptoms carefully and  give minimal medicines""","15, Airport Rd","· Opens 5 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Doctor+Sathi+Wellness+Clinic/data=!4m7!3m6!1s0x396db7b68887c47d:0x1cab659a8b1a1d3d!8m2!3d26.8336828!4d75.8351486!16s%2Fg%2F11vbv0nft7!19sChIJfcSHiLa3bTkRPR0ai5plqxw?authuser=0&hl=en&rclk=1","Doctor Sathi Wellness Clinic","5.0","(8)","Medical clinic","·","","GF Shop No-1, 1, Jagatpura Fatak, near Golden Domes Gate","Closed","088290 62127","","","Directions","","","""Dr Kumar sir had very good diagnosis and accurate treatment""","·","· Opens 9 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/DR.+DINESH+KUMAR+MEENA+-BEST+GENERAL+PHYSICIAN+IN+JAGATPURA+JAIPUR/data=!4m7!3m6!1s0x396db78b81089175:0xa2a715a22c1d09f4!8m2!3d26.8412003!4d75.8924436!16s%2Fg%2F11wtd_4brf!19sChIJdZEIgYu3bTkR9AkdLKIVp6I?authuser=0&hl=en&rclk=1","DR. DINESH KUMAR MEENA -BEST GENERAL PHYSICIAN IN JAGATPURA JAIPUR","4.9","(38)","Doctor","·","","6ma/63 sector 6","Closed","095300 58048","","","Directions","","","""Excellent doctor and treatment and lab and pharmacy facility .""","·","· Opens 8 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/DR.+APOORVA+HOMOEOPATHIC+CLINIC/data=!4m7!3m6!1s0x396dc9066b311621:0x903a1cf246159baa!8m2!3d26.8229105!4d75.8625376!16s%2Fg%2F11p5q1vffc!19sChIJIRYxawbJbTkRqpsVRvIcOpA?authuser=0&hl=en&rclk=1","DR. APOORVA HOMOEOPATHIC CLINIC","4.9","(71)","Doctor","·","","·","Plot A, 5, Ram Nagariya Rd, near Skit college","080949 47241","http://www.drapoorvahomoeo.com/","","Website","","Directions","""She Gave very quick relief in 102° fever and BP problem.""","Closed","· Opens 5:30 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Manish+Pahadia+MD+Physician+jagatpura+Jaipur/data=!4m7!3m6!1s0x396dc97159b9896b:0xca63863697860560!8m2!3d26.8046791!4d75.8509642!16s%2Fg%2F11j36hyyqz!19sChIJa4m5WXHJbTkRYAWGlzaGY8o?authuser=0&hl=en&rclk=1","Dr Manish Pahadia MD Physician jagatpura Jaipur","4.9","(17)","General practitioner","·","","B-531","·","095874 06945","http://www.omclinic.com/","","Website","","Directions","On-site services","Closed","· Opens 5 pm","","","",""
"https://www.google.com/maps/place/Dr+Rohit+kumar+sharma/data=!4m7!3m6!1s0x396dc9071ac5a803:0xf0d9463e9545ccdf!8m2!3d26.8144539!4d75.865267!16s%2Fg%2F11xlgdpyxh!19sChIJA6jFGgfJbTkR38xFlT5G2fA?authuser=0&hl=en&rclk=1","Dr Rohit kumar sharma","5.0","(27)","Medical clinic","·","","mahima panorma, Near, VIT Rd","Closed","098876 00562","","","Directions","","","""Very understanding and expertise in medical field.""","·","· Opens 5 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Abhishek+Chachan+%28Best+Orthopedic+Surgeon+in+Jagatpura%29+-+Knee,Hip+%26+Joint+Replacement+Surgron+%7C+Spine+Surgeon+in+Jaipur/data=!4m7!3m6!1s0x396db79a3e2d4199:0x231ac9009de01545!8m2!3d26.8349012!4d75.8341071!16s%2Fg%2F11r7v0p9sz!19sChIJmUEtPpq3bTkRRRXgnQDJGiM?authuser=0&hl=en&rclk=1","Dr. Abhishek Chachan (Best Orthopedic Surgeon in Jagatpura) - Knee,Hip & Joint Replacement Surgron | Spine Surgeon in Jaipur","4.8","(178)","Orthopedic surgeon","·","","·","Shyam Poly clinic, NearJagatpura Railway Phatak","098298 85908","https://drabhishekchachan.com/","","Website","","Directions","On-site services not available","Open 24 hours","","·","","",""
"https://www.google.com/maps/place/Shri+Ambe+Health+Clinic%28SAHC%29+%26+Diabetes+Care+Centre+,Dr.Ashok+Sharma+M.D.Medicine+Physician+in+Jagatpura+Jaipur./data=!4m7!3m6!1s0x396dc91b5125a19f:0xf0d5a9cfa681ad1c!8m2!3d26.8173114!4d75.8292331!16s%2Fg%2F11fqbcrrd_!19sChIJn6ElURvJbTkRHK2Bps-p1fA?authuser=0&hl=en&rclk=1","Shri Ambe Health Clinic(SAHC) & Diabetes Care Centre ,Dr.Ashok Sharma M.D.Medicine Physician in Jagatpura Jaipur.","5.0","(13)","Medical clinic","·","","242, near Mahima Panache","Closed","094139 20937","","","Directions","","","""Very nice dr in very effective treatment.🥳😊😊""","·","· Opens 8 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Dc+Clinic+-+Best+General+Physician+%7C+Best+Doctor+for+Diabetes+%7C+Best+Physician+in+Indira+Gandhi+Nagar,Jaipur/data=!4m7!3m6!1s0x396db787ee3adb55:0x2e08aa91a577cca2!8m2!3d26.8378853!4d75.8863695!16s%2Fg%2F11vx4mgqcl!19sChIJVds67oe3bTkRosx3pZGqCC4?authuser=0&hl=en&rclk=1","Dr. Dc Clinic - Best General Physician | Best Doctor for Diabetes | Best Physician in Indira Gandhi Nagar,Jaipur","5.0","(7)","Doctor","·","","24","·","096433 48994","https://drdcclinic.com/","","Website","","Directions","""Very good treatment""","Closed","· Opens 6 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+B.+Lal+Clinical+Laboratory+-+Jagatpura,+Jaipur/data=!4m7!3m6!1s0x396db7888e9864ff:0x4faedf4997672978!8m2!3d26.8309222!4d75.8436168!16s%2Fg%2F11cmvq165n!19sChIJ_2SYjoi3bTkReClnl0nfrk8?authuser=0&hl=en&rclk=1","Dr. B. Lal Clinical Laboratory - Jagatpura, Jaipur","5.0","(755)","Diagnostic center","·","","·","E- 7","091661 25555","https://blallab.com/","","Website","","Directions","""Waiting time was minimal and hygiene was well maintained .""","Closed","· Opens 7:30 am","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Clinic/data=!4m7!3m6!1s0x396dc9fbce2a5a75:0x2277d479147825b2!8m2!3d26.8176736!4d75.8617171!16s%2Fg%2F11krkf_f0g!19sChIJdVoqzvvJbTkRsiV4FHnUdyI?authuser=0&hl=en&rclk=1","Clinic","","","Medical clinic","·","","54 k1","Open 24 hours","","","","Directions","","","","","","","","",""
"https://www.google.com/maps/place/Apex+Hospitals/data=!4m7!3m6!1s0x396db66b6d706811:0xcd772b82cdece6c4!8m2!3d26.8547693!4d75.8252627!16s%2Fg%2F1tdbjd6l!19sChIJEWhwbWu2bTkRxObszYIrd80?authuser=0&hl=en&rclk=1","Apex Hospitals","4.6","(6,549)","General hospital","·","","·","SP-4 & 6, Central Marg","098290 30011","https://www.apexhospitals.com/hospitals/malviya-nagar?utm_source=google&utm_campaign=GMB+Page","","Website","","Directions","""","Open 24 hours","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr",". Are very friendly and the staff help us in fast treatment."""
"https://www.google.com/maps/place/D.D.HOMOEOS+-+Homeopathic+Clinic,+Doctor,+Treatment,+Hospital+Homeopathy+Dispensary+,treatment+,+Shop+Jagatpura+,near+by/data=!4m7!3m6!1s0x396db626d18d7097:0x2b034e46465002ce!8m2!3d26.8342187!4d75.8363671!16s%2Fg%2F1hm3xk0z3!19sChIJl3CN0Sa2bTkRzgJQRkZOAys?authuser=0&hl=en&rclk=1","D.D.HOMOEOS - Homeopathic Clinic, Doctor, Treatment, Hospital Homeopathy Dispensary ,treatment , Shop Jagatpura ,near by","4.8","(60)","Medical clinic","·","","·","Closed","094147 53051","","","Directions","","","""Very good Diagnosis with root level consultation!""","A-30, Jagatpura Fatak, near Hotel ganesh, near railway gate","· Opens 5:30 pm","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dhayal+Clinic+and+Day+Care+Center-+General+Physician/data=!4m7!3m6!1s0x396dc9b694896123:0x1e8536a1202a0201!8m2!3d26.8137988!4d75.8233253!16s%2Fg%2F11wh210hc4!19sChIJI2GJlLbJbTkRAQIqIKE2hR4?authuser=0&hl=en&rclk=1","Dhayal Clinic and Day Care Center- General Physician","5.0","(3)","Doctor","·","","Near, Bhagat singh circle","Closed","078773 25284","","","Directions","","","","·","· Opens 9 am","","","",""
"https://www.google.com/maps/place/Yadav+Homeo+Clinic+Jagatpura+%28Dr+T.P.+Yadav%29+%28Dr+Anavil+Yadav%29+-+Best+homeopathy+doctor,+best+homeopathy+clinic/data=!4m7!3m6!1s0x396dc9341bacfd55:0x2f2b01b9e8a44be1!8m2!3d26.8293939!4d75.8443438!16s%2Fg%2F11trzn2452!19sChIJVf2sGzTJbTkR4Uuk6LkBKy8?authuser=0&hl=en&rclk=1","Yadav Homeo Clinic Jagatpura (Dr T.P. Yadav) (Dr Anavil Yadav) - Best homeopathy doctor, best homeopathy clinic","4.8","(40)","Doctor","·","","A7, Mahal Rd","·","090570 70705","https://yadavhomeoclinic.com/","","Website","","Directions","""I am extremely happy with the treatment I received from Dr. T. P. Yadav.""","Closed","· Opens 5 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Shree+Krishna+clinic+%2B+Bhavesh+medical+store/data=!4m7!3m6!1s0x396db7d3b8c2a531:0xa505fd7f13c1fe44!8m2!3d26.8328009!4d75.8239036!16s%2Fg%2F11sgn_pkqs!19sChIJMaXCuNO3bTkRRP7BE3_9BaU?authuser=0&hl=en&rclk=1","Shree Krishna clinic + Bhavesh medical store","3.7","(3)","Medical clinic","·","","ke paas, 32 no, Bus stand, Plot no. 6","Open 24 hours","086190 81800","","","Directions","","","","·","","","","",""
"https://www.google.com/maps/place/Kabir+clinic/data=!4m7!3m6!1s0x396db7c79e04ee9b:0xb6ae2e164feddc38!8m2!3d26.8343764!4d75.8322002!16s%2Fg%2F11k8fbcg0r!19sChIJm-4Ense3bTkRONztTxYurrY?authuser=0&hl=en&rclk=1","Kabir clinic","5.0","(1)","Medical clinic","·","","RRMJ+QV4, Nh 12, near Balaji Mandir","","098296 76405","","","Directions","","","","","","","","",""
"https://www.google.com/maps/place/Rishab+Hospital+-+Best+Multispeciality+Hospital+in+Jaipur/data=!4m7!3m6!1s0x396dc97e65273461:0xe30a2d8ae9fbcd12!8m2!3d26.8182941!4d75.8509325!16s%2Fg%2F11y3710cyv!19sChIJYTQnZX7JbTkREs376YotCuM?authuser=0&hl=en&rclk=1","Rishab Hospital - Best Multispeciality Hospital in Jaipur","4.6","(469)","Hospital","·","","·","Rishab Hospital Choraha","092570 43779","https://rishabhospital.com/","","Website","","Directions","""staff is good,polite,caring...good","Open 24 hours","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png","dr","., satisfied facilities"""
"https://www.google.com/maps/place/Dr+Manish+Pahadia/data=!4m7!3m6!1s0x396dc9003af54323:0xe949055809f81845!8m2!3d26.8049954!4d75.8916726!16s%2Fg%2F11x0c5dvn8!19sChIJI0P1OgDJbTkRRRj4CVgFSek?authuser=0&hl=en&rclk=1","Dr Manish Pahadia","5.0","(18)","Doctor","·","","OM CLINIC, Goner Rd, near JPGS School Jagatpura","Closed","095874 06945","","","Directions","","","""The treatment that she advised was very effective.""","·","· Opens 8 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Neha+Choudhary-+skin+and+hair+clinic/data=!4m7!3m6!1s0x396dc9e10e224faf:0x6a71359220bfed87!8m2!3d26.8029663!4d75.8558647!16s%2Fg%2F11z0n8f691!19sChIJr08iDuHJbTkRh-2_IJI1cWo?authuser=0&hl=en&rclk=1","Dr Neha Choudhary- skin and hair clinic","4.8","(22)","Skin care clinic","·","","·","Kalyan Hospital, Akshay Patra Chouraha, B-3","079886 32262","http://www.drnehachoudharyskin.in/","","Website","","Directions","On-site services","Closed","· Opens 6 pm","·","","",""
"https://www.google.com/maps/place/Dr.+Sumit+kumar/data=!4m7!3m6!1s0x396db7fe11fda3ff:0x47764f72208c1947!8m2!3d26.8388451!4d75.8683392!16s%2Fg%2F11q2z4zcrz!19sChIJ_6P9Ef63bTkRRxmMIHJPdkc?authuser=0&hl=en&rclk=1","Dr. Sumit kumar","3.0","(2)","General practitioner","·","","11H/223 E","","","https://drsumitkumar65955.getmy.clinic/?utm_source=gmb&utm_medium=web&utm_campaign=tu","","Website","","Directions","","Closed","· Opens 9 am","","","",""
"https://www.google.com/maps/place/Shiv+Shakti+Clinic+By+Dr.+Lalit+Mohan+Kataria/data=!4m7!3m6!1s0x396dc9314ba0bafd:0xef0de73c4905f691!8m2!3d26.812656!4d75.8234481!16s%2Fg%2F11h0lkrnxy!19sChIJ_bqgSzHJbTkRkfYFSTznDe8?authuser=0&hl=en&rclk=1","Shiv Shakti Clinic By Dr. Lalit Mohan Kataria","4.9","(14)","Medical clinic","·","","54, opp. Pashupatinath Mandir","Closed","094620 41936","","","Directions","","","""Dr is very experienced and very humble and polite to their patients.""","·","· Opens 6:30 pm","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Dimple+Kothari,+Skin+Hair+Nail+%26+Allergy+Clinic,+Jagatpura/data=!4m7!3m6!1s0x396db7cdf6412559:0x6a8027f505256ed5!8m2!3d26.8192064!4d75.8558427!16s%2Fg%2F11p76v2wr6!19sChIJWSVB9s23bTkR1W4lBfUngGo?authuser=0&hl=en&rclk=1","Dr Dimple Kothari, Skin Hair Nail & Allergy Clinic, Jagatpura","4.6","(54)","Skin care clinic","·","","·","120-A, near Ekana Hotel","078784 60988","http://www.drdimplekothari.com/","","Website","","Directions","On-site services","Closed","· Opens 11 am","·","","",""
"https://www.google.com/maps/place/Shree+Ram+clinic/data=!4m7!3m6!1s0x396dc9e261d33d31:0x1a814c82799d827e!8m2!3d26.8183261!4d75.818259!16s%2Fg%2F11m7624d89!19sChIJMT3TYeLJbTkRfoKdeYJMgRo?authuser=0&hl=en&rclk=1","Shree Ram clinic","5.0","(1)","Medical clinic","·","","Shop no 4, near Aabkari Police Thana","Closed","095498 48567","","","Directions","","","","·","· Opens 9:30 am","","","",""
"https://www.google.com/maps/place/Dr+Piyush+Bansal/data=!4m7!3m6!1s0x396dc98f29a0cb25:0x56964d8ad37e107e!8m2!3d26.8264489!4d75.8511298!16s%2Fg%2F11rt_pz6bt!19sChIJJcugKY_JbTkRfhB-04pNllY?authuser=0&hl=en&rclk=1","Dr Piyush Bansal","4.9","(101)","Pediatrician","·","","247,Kusum vihar, lane.5, Junction, SKIT Road, near 7","Closed","092146 78687","","","Directions","","","""Good","·","· Opens 7 am","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctor","and clean and very hygienic"
"https://www.google.com/maps/place/Dr.+Ankur+Gupta+-+Orthopedic+%7C+Endoscopic+spine+surgeon+in+Jagatpura/data=!4m7!3m6!1s0x396db533a9b924cb:0x9030dc9652a5e015!8m2!3d26.8312821!4d75.8454057!16s%2Fg%2F11fp532dhq!19sChIJyyS5qTO1bTkRFeClUpbcMJA?authuser=0&hl=en&rclk=1","Dr. Ankur Gupta - Orthopedic | Endoscopic spine surgeon in Jagatpura","5.0","(38)","Doctor","·","","Udaayan, D-232","Closed","086279 37502","","","Directions","","","On-site services","·","· Opens 5 pm","","","",""
