"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","doJOZc","W4Efsd 7","Jn12ke src"
"https://www.google.com/maps/place/My+Physio+Clinic/data=!4m7!3m6!1s0x396db60ec768850d:0x94043475f06f34db!8m2!3d26.846812!4d75.809953!16s%2Fg%2F11fxf5m1bm!19sChIJDYVoxw62bTkR2zRv8HU0BJQ?authuser=0&hl=en&rclk=1","My Physio Clinic","4.9","(306)","Chiropractor","·","·","Closed","· Opens 10 am","E-57, Girdhar Marg","089715 23209","https://myphysioindia.in/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/%E0%A4%AA%E0%A4%82%E0%A4%9A%E0%A4%A4%E0%A4%A4%E0%A5%8D%E0%A4%B5+%E0%A4%B9%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%A5+%E0%A4%8F%E0%A4%82%E0%A4%A1+%E0%A4%B5%E0%A5%88%E0%A4%B2%E0%A4%A8%E0%A5%87%E0%A4%B8+%E0%A4%B0%E0%A4%BF%E0%A4%B8%E0%A4%B0%E0%A5%8D%E0%A4%9A+%E0%A4%B8%E0%A5%87%E0%A4%82%E0%A4%9F%E0%A4%B0/data=!4m7!3m6!1s0x396dc9e1d4069ab9:0x9ad302ca04e08910!8m2!3d26.8133487!4d75.8776013!16s%2Fg%2F11tgdx2b9s!19sChIJuZoG1OHJbTkREIngBMoC05o?authuser=0&hl=en&rclk=1","पंचतत्व हेल्थ एंड वैलनेस रिसर्च सेंटर","4.9","(52)","Massage therapist","·","·","Open 24 hours","","RFC Enclave, C-9-A, VIT Rd, near Vivekananda Global University & SRN International School","090579 05799","http://www.panchtatvawellness.com/","","Website","","Directions","""I can't thank them enough for helping me regain my quality of life.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Re-Health+Physio+Neuro+%26+Spine+Rehab/data=!4m7!3m6!1s0x396db77b25a3a60b:0x12dbdba5a580068!8m2!3d26.8486933!4d75.8098642!16s%2Fg%2F11j08bv989!19sChIJC6ajJXu3bTkRaABYWrq9LQE?authuser=0&hl=en&rclk=1","Re-Health Physio Neuro & Spine Rehab","4.7","(332)","Physiotherapist","·","·","Closed","· Opens 7:30 am","Infront of Dusshera Ground, Plot -5","085599 98881","http://www.rehealthphysio.com/","","Website","","Directions","""They addressed my chronic pain and improved my overall well-being.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr+Harshvardhan+Chaturvedi+-+Steps2recovery/data=!4m7!3m6!1s0x396db725ae255997:0xa276d6c38bb5cd48!8m2!3d26.8997567!4d75.8398722!16s%2Fg%2F11mz6fps38!19sChIJl1klriW3bTkRSM21i8PWdqI?authuser=0&hl=en&rclk=1","Dr Harshvardhan Chaturvedi - Steps2recovery","5.0","(15)","Chiropractor","·","·","Closed","· Opens 8 am","Ground floor, A 62, Sindhi Colony Rd","","","","Directions","","","On-site services","","",""
"https://www.google.com/maps/place/Dr+Rahul%E2%80%99s+Physiotherapy+%28Home+visits%29/data=!4m7!3m6!1s0x396dc9f98f206e1d:0x8a3012ae860ea1b!8m2!3d26.8037033!4d75.8562824!16s%2Fg%2F11t71k6hrr!19sChIJHW4gj_nJbTkRG-pg6CoBowg?authuser=0&hl=en&rclk=1","Dr Rahul’s Physiotherapy (Home visits)","5.0","(13)","Physiotherapy Center","·","·","Closed","· Opens 9 am","Balaji tower 7, near Akshay patra","070143 71577","","","Directions","","","""Treated my slip disc in just 25 days now im completely pain free""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Doctor%27s+Physiotherpy+and+ortho+and+neuro+clinic/data=!4m7!3m6!1s0x396dc90f52831f17:0xe643d94c5b8388f2!8m2!3d26.8129933!4d75.8795328!16s%2Fg%2F11ssk77wyt!19sChIJFx-DUg_JbTkR8oiDW0zZQ-Y?authuser=0&hl=en&rclk=1","Doctor's Physiotherpy and ortho and neuro clinic","4.9","(79)","Chiropractor","·","·","Open 24 hours","","VIT Rd, near Aksya Patra","099296 71012","","","Directions","","","On-site services","","·",""
"https://www.google.com/maps/place/Dr.+Pankaj+Choudhary/data=!4m7!3m6!1s0x396db598e3d4bfe7:0x825363cbb5e70ce1!8m2!3d26.9155008!4d75.7509995!16s%2Fg%2F11qpwj5mvx!19sChIJ57_U45i1bTkR4QzntctjU4I?authuser=0&hl=en&rclk=1","Dr. Pankaj Choudhary","4.7","(1,160)","Chiropractor","·","·","Closed","· Opens 9 am","176, Vaishali Marg, opp. Handi Restuarant, opp. Handi Restaurant","070148 49309","https://drpankajchoudhary.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/The+Nature+A+Complete+Wellness+Center/data=!4m7!3m6!1s0x396dc9db89d44bd9:0x7326b874f9a0f02!8m2!3d26.8044321!4d75.8686483!16s%2Fg%2F11qn7g93mx!19sChIJ2UvUidvJbTkRAg-aT4drMgc?authuser=0&hl=en&rclk=1","The Nature A Complete Wellness Center","5.0","(545)","Naturopathic practitioner","·","·","Closed","· Opens 6 am","B-3, Lotus Villa Rd, opp. AkshyanPatra","096679 37093","https://www.facebook.com/thenaturejaipur/","","Website","","Directions","""Very effective,  Must have it, trained staff, relaxing, worth it""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Advance+Neurotherapy+%26+Pain+Management+Centre+Jaipur/data=!4m7!3m6!1s0x396db56709ce59cf:0xa7718a642ee1b18d!8m2!3d26.9159908!4d75.7115647!16s%2Fg%2F11tf24r807!19sChIJz1nOCWe1bTkRjbHhLmSKcac?authuser=0&hl=en&rclk=1","Advance Neurotherapy & Pain Management Centre Jaipur","4.9","(107)","Health consultant","·","·","Closed","· Opens 9 am","Shop no a7, Durga Das colony, Bajri Mandi Rd","084260 05853","","","Directions","","","On-site services","","·",""
"https://www.google.com/maps/place/Elavive+Physio+-+Spine+and+Knee+Physiotherapy+Centre+in+Jaipur/data=!4m7!3m6!1s0x396db51f2cd773e7:0xeeaba921fc8686dc!8m2!3d26.8563346!4d75.7994991!16s%2Fg%2F11yyfs13f2!19sChIJ53PXLB-1bTkR3IaG_CGpq-4?authuser=0&hl=en&rclk=1","Elavive Physio - Spine and Knee Physiotherapy Centre in Jaipur","5.0","(25)","Chiropractor","·","·","Closed","· Opens 9 am","100,Basement floor, Milap nagar, Tonk Rd, opposite to RAJASTHAN JAIPURIA HOSPITAL","089550 32437","http://www.elavivephysio.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr.+P.+Chandra+physiotherapy+and+Rehabilitation+center/data=!4m7!3m6!1s0x396db7a07571769f:0x277ab964b59d6247!8m2!3d26.8553405!4d75.8624732!16s%2Fg%2F11tf83tp2z!19sChIJn3ZxdaC3bTkRR2KdtWS5eic?authuser=0&hl=en&rclk=1","Dr. P. Chandra physiotherapy and Rehabilitation center","4.9","(226)","Physiotherapy Center","·","·","Closed","· Opens 9 am","AMAR HOSPITAL, JNU Hospital Rd, opposite to VRINDA GARDENS","087785 66889","https://painsolver.in/?bypass_code=CcxSKxuXdAsmnBTW","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr.+Ashish+Yadav/data=!4m7!3m6!1s0x396db713c7b674af:0xdfc71e568882bf02!8m2!3d26.8519975!4d75.8102742!16s%2Fg%2F11n17b39pt!19sChIJr3S2xxO3bTkRAr-CiFYex98?authuser=0&hl=en&rclk=1","Dr. Ashish Yadav","5.0","(1,266)","Physiotherapist","·","·","Closed","· Opens 8 am","358, Advanced Neurology & Superspecialty Hospital Brain, Tower D, near, Gaurav Tower Marg","094137 79608","https://www.drashishyadavphysio.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Raman+Physiotherapy+Center/data=!4m7!3m6!1s0x396db7882d6ddf69:0xbe733d0bd1ceed7f!8m2!3d26.8354145!4d75.819833!16s%2Fg%2F11mrdjgz2l!19sChIJad9tLYi3bTkRf-3O0Qs9c74?authuser=0&hl=en&rclk=1","Raman Physiotherapy Center","5.0","(40)","Physiotherapist","·","DBS 45, Siddharth Nagar Rd, near by Aarogyam Hospital","Closed","· Opens 9 am","·","090793 68118","https://www.instagram.com/vikas_raman_8289?igsh=eDF2d3JxdThobHl0","","Website","","Directions","""Got knee pain problem and resolved in just 6 sessions""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr.+Suraj+Sharma+-RECONNECT+LIFE+PHYSIOTHERAPY+%26+REHABILITATION+CENTRE/data=!4m7!3m6!1s0x396dc94f50d810b5:0x4dddd2ccb76d732!8m2!3d26.8076089!4d75.8132609!16s%2Fg%2F11ts18960k!19sChIJtRDYUE_JbTkRMtd2yyzd3QQ?authuser=0&hl=en&rclk=1","Dr. Suraj Sharma -RECONNECT LIFE PHYSIOTHERAPY & REHABILITATION CENTRE","5.0","(738)","Physiotherapy Center","·","·","Closed","· Opens 7 am","A21A Maruti colony, near India overseas school","087696 82459","https://reconnectlifephysiotherapycentre.in/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr+Abhishek+Sharma/data=!4m7!3m6!1s0x396dc99489301373:0x9077c1e0bf106577!8m2!3d26.83125!4d75.8429442!16s%2Fg%2F11tx61t3h6!19sChIJcxMwiZTJbTkRd2UQv-DBd5A?authuser=0&hl=en&rclk=1","Dr Abhishek Sharma","4.9","(15)","Physiotherapist","·","·","Closed","· Opens 9 am","Swami Gangadas Mandir Marg","063780 75042","","","Directions","","","""Experienced doctors and staff.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/DR.+GOURAV+AWASTHI+PT./data=!4m7!3m6!1s0x396db593b1777b69:0x37c51502a3224114!8m2!3d26.8866391!4d75.7697156!16s%2Fg%2F11tszv21pl!19sChIJaXt3sZO1bTkRFEEiowIVxTc?authuser=0&hl=en&rclk=1","DR. GOURAV AWASTHI PT.","5.0","(26)","Physiotherapist","·","40A, Jhagirdar Apartments","Open 24 hours","","·","090010 48129","https://youtube.com/@Dr.GrvAwasthi","","Website","","Directions","""His treatment protocol is very effective.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Jaipur+spine+%26+sports+physiotherapy+centre/data=!4m7!3m6!1s0x396db500628bcf53:0x886a4c74d85f9ee0!8m2!3d26.8963772!4d75.7168944!16s%2Fg%2F11ysbh9334!19sChIJU8-LYgC1bTkR4J5f2HRMaog?authuser=0&hl=en&rclk=1","Jaipur spine & sports physiotherapy centre","4.9","(131)","Physiotherapy Center","·","·","Closed","· Opens 9 am","shri shyam vihar vistar, Plot no-8, Gandhi Path Rd","081072 66461","https://jaipur-spine-sports.grexa.site/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr.+Durgesh+Tatiwal%E2%80%98s+Chiropractic+%26+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396db582073a8275:0x71e32692dc957aea!8m2!3d26.904526!4d75.738914!16s%2Fg%2F11wr040l72!19sChIJdYI6B4K1bTkR6nqV3JIm43E?authuser=0&hl=en&rclk=1","Dr. Durgesh Tatiwal‘s Chiropractic & Physiotherapy Clinic","4.8","(17)","Chiropractor","·","Shop no. 1&2, Main veer gurjar chowk, Patelon ki dhani, road, Dhawas Rd, near Vidhansabha paradise","Closed","· Opens 8 am","·","093582 15575","https://drdurgeshtatiwal.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/My+Physio+-+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396dc9d3d340e76b:0x6d447ac861e97a26!8m2!3d26.8013364!4d75.82177!16s%2Fg%2F11rx4fh80p!19sChIJa-dA09PJbTkRJnrpYch6RG0?authuser=0&hl=en&rclk=1","My Physio - Physiotherapy Clinic","4.8","(119)","Physiotherapy Center","·","·","Closed","· Opens 7 am","110/C/01 Ground Floor, near VMart and Vyas Apartment","099836 11227","","","Directions","","","On-site services","","·",""
"https://www.google.com/maps/place/Care+%26+Cure+Physiotherapy+%26+Slimming+Center/data=!4m7!3m6!1s0x396db5e648c7a03b:0x6841b703225858df!8m2!3d26.8467792!4d75.796351!16s%2Fg%2F1yfdpbl09!19sChIJO6DHSOa1bTkR31hYIgO3QWg?authuser=0&hl=en&rclk=1","Care & Cure Physiotherapy & Slimming Center","5.0","(105)","Physiotherapy Center","·","Plot No. 2, nand Vihar, Chandrkala Street 3","Closed","· Opens 9 am","·","097858 41505","","","Directions","","","""Amazing results....90%relief in year long leg pain within 15 days...""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr.+Piyush+Dhaked+%28PT%29+-+Pain+%26+Peralysis+Physiotherapy+Clinic/data=!4m7!3m6!1s0x396dc991a181f265:0x74b97d8488fa4364!8m2!3d26.7988059!4d75.8211143!16s%2Fg%2F11fzrrxv1t!19sChIJZfKBoZHJbTkRZEP6iIR9uXQ?authuser=0&hl=en&rclk=1","Dr. Piyush Dhaked (PT) - Pain & Peralysis Physiotherapy Clinic","4.9","(127)","Physiotherapist","·","·","Closed","· Opens 8 am","104/19","099836 11227","http://www.dhakedphysio.in/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Jaipur+Physiotherapy+%26+Pain+Relief+Center/data=!4m7!3m6!1s0x396db732e05589d9:0x4eb4156128790c4d!8m2!3d26.8463343!4d75.8247643!16s%2Fg%2F11kryg0d05!19sChIJ2YlV4DK3bTkRTQx5KGEVtE4?authuser=0&hl=en&rclk=1","Jaipur Physiotherapy & Pain Relief Center","5.0","(20)","Physiotherapy Center","·","·","Closed","· Opens 7 am","G-1A&B, ANUKAMPA APARTMENT","077349 35734","","","Directions","","","""I had back pain and I visited this place.nd consultate with dr.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/BTN+Physio+Hub/data=!4m7!3m6!1s0x396db7064ee4b141:0x6edba7333e1c05fd!8m2!3d26.8419444!4d75.809866!16s%2Fg%2F11rx2zmph5!19sChIJQbHkTga3bTkR_QUcPjOn224?authuser=0&hl=en&rclk=1","BTN Physio Hub","4.8","(324)","Physiotherapy Center","·","·","Closed","· Opens 9 am","6/267","074140 65558","http://btnphysiohub.com/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Dr.P.K.Singhal/data=!4m7!3m6!1s0x396dc9c37298339b:0xbf85d229380c27ff!8m2!3d26.8009783!4d75.8216346!16s%2Fg%2F11vkn145dh!19sChIJmzOYcsPJbTkR_ycMOCnShb8?authuser=0&hl=en&rclk=1","Dr.P.K.Singhal","5.0","(4)","Chiropractor","·","RR2C+9MR, Vyas Rd","Closed","· Opens 9 am","","","","","Directions","","","""He analysed my MRI reports and cervical X-Ray.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Neurotherapy+Lifeline+Treatment+Research+%26+Training+center/data=!4m7!3m6!1s0x396db7a9645a2e0b:0x7c3adb740c6f9ee1!8m2!3d26.832639!4d75.8399065!16s%2Fg%2F11h8j4rn5v!19sChIJCy5aZKm3bTkR4Z5vDHTbOnw?authuser=0&hl=en&rclk=1","Neurotherapy Lifeline Treatment Research & Training center","4.9","(489)","Health consultant","·","·","Closed","· Opens 8 am","Neurotherapy Life Line Center, near, Jagatpura Fatak","075320 80309","https://neurotherapylifeline.in/","","Website","","Directions","""He completely treated my chronic knee pain in just 1 month.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr+Yogita%27s+Physiotherapy+%26+Advanced+Pain+Relief+Clinic/data=!4m7!3m6!1s0x396dc9d5e5b2f34f:0x1f031dd1c21bf871!8m2!3d26.8061655!4d75.8420907!16s%2Fg%2F11z49nqp6s!19sChIJT_Oy5dXJbTkRcfgbwtEdAx8?authuser=0&hl=en&rclk=1","Dr Yogita's Physiotherapy & Advanced Pain Relief Clinic","5.0","(8)","Physiotherapy Center","·","Prem mandir, 261/14, road","Closed","· Opens 10 am Wed","·","063762 36449","https://harmonyjaipur.com/physiotherapy.html","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr.Mahendra+saini+Physiotherapy+clinic+%26+cupping+therapy+centre/data=!4m7!3m6!1s0x396db70051413e03:0x77da3fa3deee3358!8m2!3d26.8346174!4d75.8353468!16s%2Fg%2F11vk1wk4s0!19sChIJAz5BUQC3bTkRWDPu3qM_2nc?authuser=0&hl=en&rclk=1","Dr.Mahendra saini Physiotherapy clinic & cupping therapy centre","5.0","(42)","Physiotherapy Center","·","A, RRMP+V48, A-39, near Jagatpura Fatak","Closed","· Opens 9 am","·","096640 20467","","","Directions","","","""Helped me a lot through my recovery both technically and mentally.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr+Yash+Garg+Physiotherapy+Centre/data=!4m7!3m6!1s0x396dc90058f74b13:0x9eef580adda440d1!8m2!3d26.8036094!4d75.8185025!16s%2Fg%2F11wx5s8flx!19sChIJE0v3WADJbTkR0UCk3QpY754?authuser=0&hl=en&rclk=1","Dr Yash Garg Physiotherapy Centre","4.9","(54)","Physiotherapy Center","·","91/12, Ajay Marg","Closed","· Opens 7 am","·","094133 77643","https://linktr.ee/Dryashgargphysiotherapy","","Website","","Directions","""I got great relief in my pain.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/True+Care+Wellness+Clinic+%28Physiotherapy+Centre%29/data=!4m7!3m6!1s0x396dc97cc1caf8a9:0x7b36438339358454!8m2!3d26.8193265!4d75.8562731!16s%2Fg%2F11xs8hcbz_!19sChIJqfjKwXzJbTkRVIQ1OYNDNns?authuser=0&hl=en&rclk=1","True Care Wellness Clinic (Physiotherapy Centre)","5.0","(34)","Physiotherapy Center","·","Plot No. 70","Closed","· Opens 9 am","·","091662 86279","https://www.truecarewellnessclinic.com/","","Website","","Directions","""Good Nature, explained everything very well, did therapy very well.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr.+KD+Physiotherapy+Center/data=!4m7!3m6!1s0x396dc9246585ef67:0x2746be2e677c9cbf!8m2!3d26.801218!4d75.823763!16s%2Fg%2F11fspbpyr2!19sChIJZ--FZSTJbTkRv5x8Zy6-Ric?authuser=0&hl=en&rclk=1","Dr. KD Physiotherapy Center","4.9","(127)","Physiotherapy Center","·","·","Closed","· Opens 9 am","shree balaji tower-1, 111/CS-62, Bhairav Ji Cir, near Shubhayush Hospital","083879 15783","","","Directions","","","""The treatment was very effective.""","","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr+bhupendra+choudhary%28PT%29/data=!4m7!3m6!1s0x396db5cd9c5cbc03:0x72c04c283d0d73ee!8m2!3d26.822774!4d75.7798509!16s%2Fg%2F11p01_z29f!19sChIJA7xcnM21bTkR7nMNPShMwHI?authuser=0&hl=en&rclk=1","Dr bhupendra choudhary(PT)","5.0","(46)","Physiotherapist","·","Sparsh hospital, New Sanganer Rd","Open 24 hours","","·","087438 41666","","","Directions","","","""Very effective treatment.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr+Trilok+Sharma/data=!4m7!3m6!1s0x396dc9ab87f928b9:0x79edaa6b8fa4b4cd!8m2!3d26.7857124!4d75.8176762!16s%2Fg%2F11z4s0w173!19sChIJuSj5h6vJbTkRzbSkj2uq7Xk?authuser=0&hl=en&rclk=1","Dr Trilok Sharma","5.0","(22)","Physiotherapy Center","·","india gate, Bhanu Hospital, 87, Mahaveer Colony","Closed","· Opens 10 am","·","077938 27431","","","Directions","","","""Best physiotherapy centre for Bell's palsy""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dr.+Atul+Singh/data=!4m7!3m6!1s0x396db5ffa503b4e7:0xe39cfe99aa59fd32!8m2!3d26.8928184!4d75.769241!16s%2Fg%2F11fl8zw290!19sChIJ57QDpf-1bTkRMv1Zqpn-nOM?authuser=0&hl=en&rclk=1","Dr. Atul Singh","4.8","(53)","Chiropractor","·","·","Closed","· Opens 9 am","Ground Floor, F-303, New Sanganer Rd, opposite metro pillar, near Hotel Lazeez","063775 11211","http://www.myphysioindia.in/","","Website","","Directions","On-site services","","·",""
"https://www.google.com/maps/place/Choudhary+Physiotherapy+and+Home+Care+Center+-+Best+in+Jaipur/data=!4m7!3m6!1s0x396dc9716a5b7965:0x804ae8110844784!8m2!3d26.7953748!4d75.8524686!16s%2Fg%2F11gmgkz60s!19sChIJZXlbanHJbTkRhEeEEIGuBAg?authuser=0&hl=en&rclk=1","Choudhary Physiotherapy and Home Care Center - Best in Jaipur","5.0","(103)","Physiotherapy Center","·","A 45, Shriram Path, opposite gharonda, near Capital mall / hightstreet mall","Closed","· Opens 9 am","·","070144 83062","https://choudharyphysio.in/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/DR+SURENDRA+OJHA+%E0%A4%AB%E0%A4%BF%E0%A4%9C%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%A5%E0%A5%87%E0%A4%B0%E0%A5%87%E0%A4%AA%E0%A5%80+PHYSIOTHERAPY+CLINIC+de+Physioth%C3%A9rapie/data=!4m7!3m6!1s0x396dcb8663128095:0xe83dc9606033fdf6!8m2!3d26.8175243!4d75.780941!16s%2Fg%2F11ndzcr6b1!19sChIJlYASY4bLbTkR9v0zYGDJPeg?authuser=0&hl=en&rclk=1","DR SURENDRA OJHA फिजियोथेरेपी PHYSIOTHERAPY CLINIC de Physiothérapie","4.7","(29)","Chiropractor","·","·","Closed","· Opens 9 am","65-A, Diggi Malpura Rd, near reliance fresh, opposite Pardaya hospital","087640 70592","","","Directions","","","On-site services","","·",""
