"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","doJOZc","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","W4Efsd 7","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","Jn12ke src","ah5Ghc 2","ah5Ghc 3"
"https://www.google.com/maps/place/BRAIN+SPINE+%26+ENT+CLINIC/data=!4m7!3m6!1s0x396db501c5b156af:0x5471f2a108be6b23!8m2!3d26.8416563!4d75.7742118!16s%2Fg%2F11h64_zqg2!19sChIJr1axxQG1bTkRI2u-CKHycVQ?authuser=0&hl=en&rclk=1","BRAIN SPINE & ENT CLINIC","4.9","(93)","Medical clinic","·","","·","119/321","Closed","· Opens 6 pm","·","098994 68073","http://brainspineentclinic.com/","","Website","","Directions","""Visited for tonsilitis grade 4 got good treatment will recommend everyone.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dhanwantri+Hospital+%26+Research+Center+Mansarovar+Jaipur/data=!4m7!3m6!1s0x396db508b4201f43:0xba9bfeb20b69c8e!8m2!3d26.8578664!4d75.757458!16s%2Fg%2F1td4y7sw!19sChIJQx8gtAi1bTkRjpy2IOu_qQs?authuser=0&hl=en&rclk=1","Dhanwantri Hospital & Research Center Mansarovar Jaipur","4.1","(636)","Hospital","·","","·","Dhanwantri Hospital & Research Centre, Bus Stand, New Sanganer Rd, near Madara","Open 24 hours","","·","098290 55760","https://dhanwantrihealthcare.in/","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr",". Ojas provided outstanding care and expertise."""
"https://www.google.com/maps/place/Dr.+Priyanshu+Mathur/data=!4m7!3m6!1s0x396db5ac6f75a85b:0x543c1c0b64c9c46e!8m2!3d26.8661521!4d75.766978!16s%2Fg%2F11b6dp2fhy!19sChIJW6h1b6y1bTkRbsTJZAscPFQ?authuser=0&hl=en&rclk=1","Dr. Priyanshu Mathur","4.9","(1,558)","Pediatrician","·","","·","52/15, Padmani VT Rd","Closed","· Opens 5 pm","·","075979 21472","https://www.drpriyanshumathur.com/","","Website","","Directions","""Great knowledge for all the advances in Autism and ADHD patients.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Mukesh+Jains+clinic/data=!4m7!3m6!1s0x396db5a410ac9ff5:0x59caf17ecee9afeb!8m2!3d26.852733!4d75.7667239!16s%2Fg%2F1260nc9g4!19sChIJ9Z-sEKS1bTkR66_pzn7xylk?authuser=0&hl=en&rclk=1","Dr Mukesh Jains clinic","4.4","(29)","Doctor","·","","·","80/53, Ward 27, Nyay Path, Patel Marg","Closed","· Opens 9 am","·","098290 89649","https://book-appointment.healthplix.com/dr-mukesh-kumar-jain-medicine-nyay-path-patal-marg--mansarowar-jaipur","","Website","","Directions","""Best physician good knowledge and polite behaviour""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Tagore+Hospital+%26+Research+Institute/data=!4m7!3m6!1s0x396db5af245f9b3f:0x627608ae2b450a86!8m2!3d26.8586061!4d75.7696668!16s%2Fg%2F1v42d5wy!19sChIJP5tfJK-1bTkRhgpFK64IdmI?authuser=0&hl=en&rclk=1","Tagore Hospital & Research Institute","4.4","(852)","Hospital","·","","·","Tagore Lane","Open 24 hours","","·","096104 88886","https://www.tagorehospital.org/","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","DOCTORS","AND STAFF ARE FULL COMPARATIVE AND SUPPORTIVE"""
"https://www.google.com/maps/place/Saket+HospitalJaipur/data=!4m7!3m6!1s0x396db5a19b43fe4b:0x65132521df20778c!8m2!3d26.8489914!4d75.7649892!16s%2Fg%2F1wd3tfzz!19sChIJS_5Dm6G1bTkRjHcg3yElE2U?authuser=0&hl=en&rclk=1","Saket HospitalJaipur","4.2","(1,528)","Doctor","·","","·","Sector 10, Meera Marg","Open 24 hours","","·","088750 02436","http://www.sakethospital.in/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Me+%26+Mummy+Hospital/data=!4m7!3m6!1s0x396db5a9a5a54bf3:0x9b59154d5aaf7867!8m2!3d26.861472!4d75.762831!16s%2Fg%2F11hbk601cm!19sChIJ80ulpam1bTkRZ3ivWk0VWZs?authuser=0&hl=en&rclk=1","Me & Mummy Hospital","4.9","(803)","Hospital","·","","·","69/365, Madhyam Marg, near VT Road","Open 24 hours","","·","076889 44867","http://www.meandmummyhospitals.com/","","Website","","Directions","""Both the","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors","are very gentle and provided effective treatment"""
"https://www.google.com/maps/place/SUBHASH+HOSPITAL+%26+Research+Centre/data=!4m7!3m6!1s0x396db502909d69ad:0xc09c33204f1840f6!8m2!3d26.8468794!4d75.7562171!16s%2Fg%2F11s5zc0vw4!19sChIJrWmdkAK1bTkR9kAYTyAznMA?authuser=0&hl=en&rclk=1","SUBHASH HOSPITAL & Research Centre","4.7","(287)","Medical clinic","·","","·","122, Mahavir Nagar B, VT road, Patrakar Colony Rd","Open 24 hours","","·","096104 46622","http://www.subhashhospital.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Ace+Hospital/data=!4m7!3m6!1s0x396db5dfcf5d279d:0xd4f2e6d82bbae91d!8m2!3d26.8353063!4d75.7587951!16s%2Fg%2F11fmgmzd_j!19sChIJnSddz9-1bTkRHem6K9jm8tQ?authuser=0&hl=en&rclk=1","Ace Hospital","4.9","(360)","Hospital","·","","·","22, Muhana Mandi Rd","Open 24 hours","","·","073003 97327","","","Directions","","","""Very nice environment,staff experienced","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr",""""
"https://www.google.com/maps/place/Dr+Mamta+Vijay%28dermatologist%29/data=!4m7!3m6!1s0x396db55ce7a8bfe1:0xe294d49de68284aa!8m2!3d26.865664!4d75.7616943!16s%2Fg%2F11j1kgk0vp!19sChIJ4b-o51y1bTkRqoSC5p3UlOI?authuser=0&hl=en&rclk=1","Dr Mamta Vijay(dermatologist)","4.9","(930)","Dermatologist","·","","·","S-29, Shopping Centre, Rajat Path, near Apex hospital","Closed","· Opens 8 am","·","088908 70000","https://drmamtavijay.in/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Tarani+General+Hospital-Dr.+I.+D.+Tarani+General+Surgeon+%26+Urology/data=!4m7!3m6!1s0x396db5a2847c7bf9:0x8a88f2416ea256d4!8m2!3d26.8458499!4d75.7699756!16s%2Fg%2F1trvjv33!19sChIJ-Xt8hKK1bTkR1FaibkHyiIo?authuser=0&hl=en&rclk=1","Tarani General Hospital-Dr. I. D. Tarani General Surgeon & Urology","4.8","(631)","Hospital","·","","·","122/69, 218 Gate 2, 219, Ram Tirth Marg","Open 24 hours","","·","093146 26599","https://taranihospital.in/","","Website","","Directions","""The doctors explained everything clearly and made me feel comfortable.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+Priyanka+Homeopathy+and+cosmetic+clinic/data=!4m7!3m6!1s0x396db5c7c6100787:0x3ea92cc8d8183ecd!8m2!3d26.8629727!4d75.763503!16s%2Fg%2F11fsg_gfd7!19sChIJhwcQxse1bTkRzT4Y2MgsqT4?authuser=0&hl=en&rclk=1","Dr Priyanka Homeopathy and cosmetic clinic","4.9","(131)","Homeopath","·","","·","53/94, Saryu Marg","Closed","· Opens 11 am","·","097993 33283","https://drpriyankaaesthetic.com/?page_id=2354","","Website","","Directions","""Friendly doctor, calm environment, and long-lasting results.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Deshbandhu+ENT+Hospital+%7C+Dr.+Deshbandhu+Jain/data=!4m7!3m6!1s0x396db5065ba00937:0xb98b25352a016ff7!8m2!3d26.8595835!4d75.7566563!16s%2Fg%2F11bxdv0z5g!19sChIJNwmgWwa1bTkR928BKjUli7k?authuser=0&hl=en&rclk=1","Deshbandhu ENT Hospital | Dr. Deshbandhu Jain","4.0","(207)","ENT Specialist","·","","·","67/1, Ayodhya Path","Open 24 hours","","·","0141 278 6812","https://www.instagram.com/deshbandhuenthospitaljaipur/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/APOLLO+E+CLINIC/data=!4m7!3m6!1s0x396db5bb57f0069b:0xdb64c86fcf292c8d!8m2!3d26.8530634!4d75.7727195!16s%2Fg%2F11sq4xs839!19sChIJmwbwV7u1bTkRjSwpz2_IZNs?authuser=0&hl=en&rclk=1","APOLLO E CLINIC","5.0","(2)","Medical clinic","·","","92/230, Gokhale Marg","","","","","094146 00141","","","Directions","","","","","",""
"https://www.google.com/maps/place/Dr+Virendra+Child+and+Poly+Clinic+Doctor/data=!4m7!3m6!1s0x396db501cbce7ebf:0x96857a91df4aa594!8m2!3d26.8508302!4d75.7640386!16s%2Fg%2F11bw5tq0sp!19sChIJv37OywG1bTkRlKVK35F6hZY?authuser=0&hl=en&rclk=1","Dr Virendra Child and Poly Clinic Doctor","4.9","(325)","Medical clinic","·","","·","Patel Marg, near SBI Bank","Closed","· Opens 9 am","·","094140 79879","https://book-appointment.healthplix.com/dr-virendra-mittal-consultant-paediatrics-kiran-path-jaipur","","Website","","Directions","""Amazing doctor, highly supportive, awesome knowledge, talks politely""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Jiva+Ayurveda+Clinic+and+Panchakarma+Centre,+Mansarovar,+Jaipur/data=!4m7!3m6!1s0x396db44b5fcedbd9:0xab7b96d52f03332e!8m2!3d26.8672539!4d75.7673344!16s%2Fg%2F11c1tb1w2f!19sChIJ2dvOX0u0bTkRLjMDL9WWe6s?authuser=0&hl=en&rclk=1","Jiva Ayurveda Clinic and Panchakarma Centre, Mansarovar, Jaipur","4.2","(203)","Ayurvedic clinic","·","","1st Floor, No 51/21, Shipra Path, opposite Indus Jaipur Hospital","·","Closed","· Opens 10 am","","093118 15817","https://clinics.jiva.com/jiva-ayurveda-clinic-and-panchakarma-centre-mansarovar-jaipur-ayurvedic-clinic-mansarovar-jaipur-328889/Home?utm_source=locator&utm_medium=googleplaces","","Website","","Directions","""Very experienced","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors","and good therapist."""
"https://www.google.com/maps/place/HCG+Cancer+Hospital+-+%28Mansarovar,+Jaipur%29/data=!4m7!3m6!1s0x396db5ad06a86fdb:0xef2c9d6a3dbd292d!8m2!3d26.8674807!4d75.769532!16s%2Fg%2F11dztshhxp!19sChIJ22-oBq21bTkRLSm9PWqdLO8?authuser=0&hl=en&rclk=1","HCG Cancer Hospital - (Mansarovar, Jaipur)","4.8","(7,795)","Cancer treatment center","·","","·","Shipra Path","Open 24 hours","","·","080 4293 0898","https://www.hcgoncology.com/cancer-centers/hcg-cancer-centre-mansarovar-jaipur/","","Website","","Directions","""Excellent","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctors",", caring staff, and smooth treatment experience"""
"https://www.google.com/maps/place/Dr+Priyanka+Singh/data=!4m7!3m6!1s0x396db5699d4e137f:0x6c526c405cfe97d7!8m2!3d26.8416556!4d75.7741535!16s%2Fg%2F11rcq157nd!19sChIJfxNOnWm1bTkR15f-XEBsUmw?authuser=0&hl=en&rclk=1","Dr Priyanka Singh","4.9","(166)","Medical clinic","·","","·","119/321","Closed","· Opens 9 am","·","080006 74818","https://brainspineentclinic.com/","","Website","","Directions","""The doctor was polite, listened carefully, and gave the right treatment.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Vipin+Jain/data=!4m7!3m6!1s0x396db5c1821bb1e7:0x485473beac5d8e19!8m2!3d26.8577999!4d75.7729155!16s%2Fg%2F11cmnlkm3h!19sChIJ57EbgsG1bTkRGY5drL5zVEg?authuser=0&hl=en&rclk=1","Dr. Vipin Jain","4.9","(356)","Surgical center","·","","·","7/C-02, Shipra Path, near Landscape Park Road","Open","· Closes 5:30 am · Reopens 10:30 am","·","098280 20337","http://www.drvipinjain.com/","","Website","","Directions","""Dr. Vipin Jain is highly skilled, professional, and very caring.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/THE+KID%27S+CLINIC/data=!4m7!3m6!1s0x396db5527ba48145:0x676b6203d8b5e29e!8m2!3d26.8440729!4d75.7477552!16s%2Fg%2F11t8cc22hq!19sChIJRYGke1K1bTkRnuK12ANia2c?authuser=0&hl=en&rclk=1","THE KID'S CLINIC","5.0","(385)","Pediatrician","·","","·","Ksheer Sagar colony, Plot.no 22, Patrakar Colony Rd, near HP Petrol Pump","Closed","· Opens 8 am","·","083759 80448","https://www.drpritiagarwal.com/","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Dr",". Priti listens to our problems and guides us properly..."""
"https://www.google.com/maps/place/Dr.Pratibha+Fetal+Medicine+Centre/data=!4m7!3m6!1s0x396db5c2f28f5969:0xb6ff4cbdbe2369fd!8m2!3d26.8562782!4d75.7695128!16s%2Fg%2F11rrpr20t_!19sChIJaVmP8sK1bTkR_Wkjvr1M_7Y?authuser=0&hl=en&rclk=1","Dr.Pratibha Fetal Medicine Centre","4.9","(170)","Medical clinic","·","","71/183, Paramhans Marg, near K.V. No.5","·","Closed","· Opens 9:30 am","","085291 51023","","","Directions","","","""The clinic is well maintained and the staff is really efficient and fast.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Devesh+Kanoongo+-+Sharda+Healthcare+Centre+,+Asthma+Doctor/data=!4m7!3m6!1s0x396db5a3bd769309:0xbfba674a74c2e617!8m2!3d26.8532371!4d75.7693331!16s%2Fg%2F1yfdpbkqx!19sChIJCZN2vaO1bTkRF-bCdEpnur8?authuser=0&hl=en&rclk=1","Dr. Devesh Kanoongo - Sharda Healthcare Centre , Asthma Doctor","4.9","(990)","Medical clinic","·","","·","70/46, Patel Marg, opposite Rastogi Gas Agency","Closed","· Opens 9 am","·","094147 74975","https://drdeveshkanoongo.com/","","Website","","Directions","""Dr devesh kanoongo helped me through a tough time during winter allergies.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+V+Gopalan%27s+HOMOEO+PLUS,+Mansarovar/data=!4m7!3m6!1s0x396db5133336107f:0xe8f0d2ef2ff3d3f0!8m2!3d26.8596479!4d75.7563663!16s%2Fg%2F11qmd_sz0v!19sChIJfxA2MxO1bTkR8NPzL-_S8Og?authuser=0&hl=en&rclk=1","Dr V Gopalan's HOMOEO PLUS, Mansarovar","4.8","(25)","Doctor","·","","67, Heera path shopping centre, Ayodhya path, New Sanganer Rd, near st. Anselm school, opposite Deshbandhu ENT Hospital","·","Closed","· Opens 10 am","","070145 45500","","","Directions","","","""Dr Venu  explain all complaints with satisfied answer with best treatment""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+Neeta%27s+Homeopathy+Clinic/data=!4m7!3m6!1s0x396db5a1a0d878cb:0x686e8c9e1e9dacac!8m2!3d26.849728!4d75.763955!16s%2Fg%2F11j2xlskw_!19sChIJy3jYoKG1bTkRrKydHp6Mbmg?authuser=0&hl=en&rclk=1","Dr. Neeta's Homeopathy Clinic","5.0","(15)","Medical clinic","·","","101/143, Ravi marg, Meera Marg","·","Closed","· Opens 10 am","","070621 28999","","","Directions","","","""I have a great experience and highly recommended to consult""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+R+R+Sharma+child+clinic/data=!4m7!3m6!1s0x396db5000d5843d1:0xff6512e896541023!8m2!3d26.8676108!4d75.7596759!16s%2Fg%2F11f043n904!19sChIJ0UNYDQC1bTkRIxBUlugSZf8?authuser=0&hl=en&rclk=1","Dr R R Sharma child clinic","3.9","(18)","Child health care center","·","","36/189","","","","","098291 14456","","","Directions","","","""Very nice doctor,like a magician for children health""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr.+S.K.+Jain/data=!4m7!3m6!1s0x396db5ac567e1a07:0x66cfcb401562c9e!8m2!3d26.8668776!4d75.7687059!16s%2Fg%2F11fxcfsmxz!19sChIJBxp-Vqy1bTkRnixWAbT8bAY?authuser=0&hl=en&rclk=1","Dr. S.K. Jain","4.6","(9)","Doctor","·","","·","52/44, Shipra Path","Closed","· Opens 9 am","·","076650 58333","https://www.drskjain.com/","","Website","","Directions","""Best laproscophy surgen jaipur""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Apex+Hospitals+Mansarovar/data=!4m7!3m6!1s0x396db5a253fd9edb:0x76da252ec3e87e10!8m2!3d26.8657266!4d75.7627953!16s%2Fg%2F1tfkjkyp!19sChIJ2579U6K1bTkREH7owy4l2nY?authuser=0&hl=en&rclk=1","Apex Hospitals Mansarovar","4.7","(3,317)","General hospital","·","","·","Ward 27, 55, Rajat Path, near United Bank of India","Open 24 hours","","·","098290 30011","https://www.apexhospitals.com/hospitals/mansarovar?utm_source=google&utm_campaign=GMB+Page","","Website","","Directions","""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","Doctors","are experienced and explain the treatment properly."""
"https://www.google.com/maps/place/Divinity+total+skin+care/data=!4m7!3m6!1s0x396db4fbe7b3f16b:0x7790a010d8bbd4eb!8m2!3d26.8754787!4d75.7529494!16s%2Fg%2F1pp2vg2q8!19sChIJa_Gz5_u0bTkR69S72BCgkHc?authuser=0&hl=en&rclk=1","Divinity total skin care","4.9","(1,317)","Skin care clinic","·","","Kaveri Path, 21/280, Madhyam Marg","·","Closed","· Opens 8 am","","095711 33151","","","Directions","","","On-site services","","",""
"https://www.google.com/maps/place/Dr+Shubhkam+Arya%E2%80%99s+ENT+Clinic/data=!4m7!3m6!1s0x396db5a4990523ed:0x6d69652a884e0b59!8m2!3d26.8415798!4d75.7697154!16s%2Fg%2F11crzf0lhb!19sChIJ7SMFmaS1bTkRWQtOiCplaW0?authuser=0&hl=en&rclk=1","Dr Shubhkam Arya’s ENT Clinic","4.7","(84)","Medical clinic","·","","·","124/501","Closed","· Opens 5:30 pm Wed","·","094609 93068","","","Directions","","","""He took time to listen my condition and answered all my questions patiently.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Nivaan+Pain+Clinic+%7C+Mangalam+Hospital+%7C+Pain+Specialists+in+Mansarovar/data=!4m7!3m6!1s0x396db5182da2ab2f:0x5547dba9cdaa273!8m2!3d26.8674935!4d75.7693257!16s%2Fg%2F11z5shv32k!19sChIJL6uiLRi1bTkRc6LanLp9VAU?authuser=0&hl=en&rclk=1","Nivaan Pain Clinic | Mangalam Hospital | Pain Specialists in Mansarovar","4.6","(11)","Pain control clinic","·","","·","Shipra Path","Closed","· Opens 10 am Wed","·","073587 02748","https://nivaancare.com/?utm_source=Digital&utm_medium=GMB&utm_campaign=GBP_jaipur_Mansarovar","","Website","","Directions","""Best","https://ssl.gstatic.com/local/servicebusiness/default_user.png","dr","and attending staff, so nice to treat someone."""
"https://www.google.com/maps/place/Dr+Alice+Dental+hospital+clinic+-+Best+Dentist+in+Mansarovar/data=!4m7!3m6!1s0x396db50009d94a87:0xbf4a8f255ad09686!8m2!3d26.8654302!4d75.7601844!16s%2Fg%2F11xl7wnf5c!19sChIJh0rZCQC1bTkRhpbQWiWPSr8?authuser=0&hl=en&rclk=1","Dr Alice Dental hospital clinic - Best Dentist in Mansarovar","4.9","(189)","Dental clinic","·","","56/104","·","Closed","· Opens 9:30 am","","097847 66601","https://dralicedental.com/","","Website","","Directions","""painless treatments, a clean clinic, and friendly staff.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
"https://www.google.com/maps/place/Dr+MANOJ+SHARMA+MBBS+MD+%28MEDICINE%29+CONSULTANT+PHYSICIAN/data=!4m7!3m6!1s0x396db5601cc896f5:0xc58e60d21320a25b!8m2!3d26.8338169!4d75.7573058!16s%2Fg%2F11nnn2bzvx!19sChIJ9ZbIHGC1bTkRW6IgE9JgjsU?authuser=0&hl=en&rclk=1","Dr MANOJ SHARMA MBBS MD (MEDICINE) CONSULTANT PHYSICIAN","4.5","(57)","Medical clinic","·","","Near shravan paradise Opp quality king store Iskcon road, main, Muhana Mandi Rd","·","Closed","· Opens 5:30 pm","","087646 86862","http://www.drmanojsharmasms.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Ginni+Devi+Orthopaedic+Hospital/data=!4m7!3m6!1s0x396db533b6a26173:0x7f35ea10084ad880!8m2!3d26.850308!4d75.7698362!16s%2Fg%2F1vxcttsp!19sChIJc2GitjO1bTkRgNhKCBDqNX8?authuser=0&hl=en&rclk=1","Ginni Devi Orthopaedic Hospital","4.6","(501)","Hospital","·","","·","94/49-50, Gokhale Marg","Open 24 hours","","·","097623 28334","https://gdmh.org/","","Website","","Directions","""Hands-down the most effective and efficient","https://ssl.gstatic.com/local/servicebusiness/default_user.png","doctor","visits I’ve had."""
"https://www.google.com/maps/place/Dr+alok+-Asian+Ortho-Spine+Clinic/data=!4m7!3m6!1s0x396db5903fce7931:0xe274ae1da25f4c16!8m2!3d26.8659443!4d75.7610161!16s%2Fg%2F11l223l234!19sChIJMXnOP5C1bTkRFkxfoh2udOI?authuser=0&hl=en&rclk=1","Dr alok -Asian Ortho-Spine Clinic","5.0","(156)","Medical Center","·","","·","35/162, Rajat Path","Closed","· Opens 8 am","·","079762 46726","https://dralokspinesurgeon.com/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/Dr+Arihant+Jain+MD+l+Certified+Pediatrician+l+Vaccine+Expert+l+Child+Specialist+l+Mansarovar/data=!4m7!3m6!1s0x396db500e5ab94d5:0xcda9ad3493107801!8m2!3d26.8647399!4d75.7677801!16s%2Fg%2F11c529qdm1!19sChIJ1ZSr5QC1bTkRAXgQkzStqc0?authuser=0&hl=en&rclk=1","Dr Arihant Jain MD l Certified Pediatrician l Vaccine Expert l Child Specialist l Mansarovar","4.9","(174)","Medical clinic","·","","52/201 (Basement, MAIN, VT Rd, opposite Pacific Mall","·","Closed","· Opens 8:30 am","","090294 45115","http://drjainschildanddentalcare.business.site/","","Website","","Directions","On-site services","","",""
"https://www.google.com/maps/place/ENT+%26+Sleep+Disorder+Clinic/data=!4m7!3m6!1s0x396db5d24f03cb3d:0x7e63f540c9ad64b4!8m2!3d26.8556049!4d75.773399!16s%2Fg%2F11s926335s!19sChIJPcsDT9K1bTkRtGStyUD1Y34?authuser=0&hl=en&rclk=1","ENT & Sleep Disorder Clinic","5.0","(105)","ENT Specialist","·","","·","151/3, Shipra Path","Closed","· Opens 4 pm","·","091166 67777","","","Directions","","","""The clinic is clean and well-maintained, and the staff is very cooperative.""","https://ssl.gstatic.com/local/servicebusiness/default_user.png","",""
