"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","ah5Ghc 2","W4Efsd 5","UsdlK","Jn12ke src","W4Efsd 6"
"https://www.google.com/maps/place/Anchor+Ruchit+Shah+%7C+Wedding+Anchor+%7C+Corporate+Emcee+%7C+Team+building+host+%7C+wedding+host+%7C+wedding+MC+%7C+best+Anchor+in+INDIA/data=!4m7!3m6!1s0x3be7b1aaf7d61311:0x2beb202e69941177!8m2!3d19.290019!4d72.8506247!16s%2Fg%2F11pb9k6t7j!19sChIJERPW96qx5zsRdxGUaS4g6ys?authuser=0&hl=en&rclk=1","Anchor Ruchit Shah | Wedding Anchor | Corporate Emcee | Team building host | wedding host | wedding MC | best Anchor in INDIA","5.0","(165)","Entertainer","·","B-1305, Venkatesh Heights, 100 feet road, near Maheshwari bhavan, near PLANETARIA COMPLEX","Closed","https://anchorruchitshah.com/","","Website","","Directions","On-site services","Online appointments","·","098929 39970","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Ashwin+Panchal/data=!4m7!3m6!1s0x3be7c70f1cdfde4d:0x724df1bae3fd41df!8m2!3d19.1343671!4d72.9370751!16s%2Fg%2F11l35p8w4n!19sChIJTd7fHA_H5zsR30H947rxTXI?authuser=0&hl=en&rclk=1","Anchor Ashwin Panchal","4.9","(58)","Event planner","·","402, Everest CHS, Datar Colony Rd","","","","Directions","","","""Exceptional anchor!""","","","098217 21941","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Kiran+Mohakar/data=!4m7!3m6!1s0x3be7cfdbd3428521:0x8dc2168127a0d94c!8m2!3d18.985975!4d72.8267379!16s%2Fg%2F11lyjm_16n!19sChIJIYVC09vP5zsRTNmgJ4EWwo0?authuser=0&hl=en&rclk=1","Anchor Kiran Mohakar","4.9","(88)","Event management company","·","GROUND FLOOR, Laxmipooja Apartment, 31/A, Saat Rasta","Open 24 hours","","","Directions","","","On-site services","Online appointments","·","076669 35909","",""
"https://www.google.com/maps/place/Anchor+Sia+Patel/data=!4m7!3m6!1s0x3be7cfc20735b38b:0xe30c4edba7694f4!8m2!3d18.9689201!4d72.8431037!16s%2Fg%2F11khf4sxjf!19sChIJi7M1B8LP5zsR9JR2uu3EMA4?authuser=0&hl=en&rclk=1","Anchor Sia Patel","5.0","(70)","Artist","","","Open 24 hours","","","Directions","","","""One of the finest anchors i have seen""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Tanvi+Sheth+Anchor+%2F+Emcee+%2F+Host/data=!4m7!3m6!1s0x3be7cfcd03a0c6f3:0x2a4c858dc8f597b8!8m2!3d18.9482714!4d72.8251215!16s%2Fg%2F11jt6djt1c!19sChIJ88agA83P5zsRuJf1yI2FTCo?authuser=0&hl=en&rclk=1","Tanvi Sheth Anchor / Emcee / Host","5.0","(76)","Entertainer","","","","","","Directions","","","""Truly a great anchor — highly recommended!""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Girish+Sharma/data=!4m7!3m6!1s0x3be7b79a23f48b6d:0xb71e5cc7e21f0aab!8m2!3d19.167708!4d72.881537!16s%2Fg%2F11fy9mr3pn!19sChIJbYv0I5q35zsRqwof4sdcHrc?authuser=0&hl=en&rclk=1","Anchor Girish Sharma","4.7","(20)","Event planner","·","Building Number 28, E Wing, 301, dindoshi Road","Open 24 hours","","","Directions","","","""Best wedding anchor in india...
Humourous & engaging""","","·","097699 64451","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Kunal+Buch+-+Entertainer+5+in+1+Artist/data=!4m7!3m6!1s0x3be7b6dcff4c0a57:0xb146286ed119bb81!8m2!3d19.2071265!4d72.8373731!16s%2Fg%2F11c1pm9q_b!19sChIJVwpM_9y25zsRgbsZ0W4oRrE?authuser=0&hl=en&rclk=1","Anchor Kunal Buch - Entertainer 5 in 1 Artist","5.0","(490)","Artist","·","Office No. 1011, Centre Point, Metro Station, near Dahanukar Wadi, behind Dhanukarwadi Bus Stop","Open 24 hours","https://kunalbuch.com/","","Website","","Directions","On-site services","","·","091119 41119","",""
"https://www.google.com/maps/place/MODERN+ANCHORS+MUMBAI/data=!4m7!3m6!1s0x3be7b738d8e44ccd:0x8e1d4fe2adb76b77!8m2!3d19.1436968!4d72.8327386!16s%2Fg%2F11yllv1dn5!19sChIJzUzk2Di35zsRd2u3reJPHY4?authuser=0&hl=en&rclk=1","MODERN ANCHORS MUMBAI","5.0","(1)","Event management company","·","·","Open 24 hours","https://modernanchor.in/","","Website","","Directions","On-site services","Online appointments","933, Andheri Link Rd","062639 76171","",""
"https://www.google.com/maps/place/Rock+%26+Anchor/data=!4m7!3m6!1s0x3be7cd4a038e9f67:0x59eeba8591486119!8m2!3d18.9493753!4d72.7951811!16s%2Fg%2F11sqd30mmp!19sChIJZ5-OA0rN5zsRGWFIkYW67lk?authuser=0&hl=en&rclk=1","Rock & Anchor","5.0","(148)","Outdoor activity organiser","·","·","","https://www.instagram.com/_rockandanchor/","","Website","","Directions","On-site services","Online appointments","9, Jamanadas Mehta Rd","091679 54430","",""
"https://www.google.com/maps/place/Amit+Auumkaar/data=!4m7!3m6!1s0x3be7b7097b950439:0xd03f179f4f0fa3e5!8m2!3d19.1364016!4d72.8296252!16s%2Fg%2F11p5jb7mz5!19sChIJOQSVewm35zsR5aMPT58XP9A?authuser=0&hl=en&rclk=1","Amit Auumkaar","5.0","(11)","Event planner","","·","Open 24 hours","","","Directions","","","On-site services","Online appointments","","098994 42140","",""
"https://www.google.com/maps/place/Anchor+Rashmi+Chauhan/data=!4m7!3m6!1s0x3be7c95361b5cc43:0x48be7cc49631e0ae!8m2!3d19.0958994!4d72.8460576!16s%2Fg%2F11yy28z00q!19sChIJQ8y1YVPJ5zsRruAxlsR8vkg?authuser=0&hl=en&rclk=1","Anchor Rashmi Chauhan","5.0","(8)","Event planner","·","Shraddhanand Rd","Closed","","","Directions","","","""She is an amazing anchor.. Makes events go so lively and energetic""","","·","096199 23766","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Deven+Bhayani/data=!4m7!3m6!1s0x843ad44ed288a11:0x8dacc1bec7cc88b3!8m2!3d19.0815074!4d72.8783527!16s%2Fg%2F11m5rdx70k!19sChIJEYoo7UStQwgRs4jMx77BrI0?authuser=0&hl=en&rclk=1","Anchor Deven Bhayani","4.9","(59)","Event management company","","·","Open 24 hours","https://minds2brand.co.in/deven-bhayani/","","Website","","Directions","""The anchor was fantastic kept us on our toes…""","","","089769 12626","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Megha+Kedia+-+Female+Anchor+%26+Emcee/data=!4m7!3m6!1s0x6f90d16298e75fb9:0xc79e7704369b9313!8m2!3d19.0969502!4d72.9518653!16s%2Fg%2F11mdmtgjyb!19sChIJuV_nmGLRkG8RE5ObNgR3nsc?authuser=0&hl=en&rclk=1","Anchor Megha Kedia - Female Anchor & Emcee","5.0","(16)","Artist","","·","Open 24 hours","https://meghakedia.com/","","Website","","Directions","""Thank you for being a wonderful part of my sister’s wedding celebrations!""","","","086386 93629","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Karan+Shukla+-+Anchor+%26+Emcee/data=!4m7!3m6!1s0x83ee379f44ec60fd:0xdd818f664b1b05e0!8m2!3d18.9550646!4d72.8216732!16s%2Fg%2F11z52xbf05!19sChIJ_WDsRJ837oMR4AUbS2aPgd0?authuser=0&hl=en&rclk=1","Karan Shukla - Anchor & Emcee","5.0","(9)","Entertainer","·","Sadashiv Cross Ln","Open 24 hours","https://www.instagram.com/anchor_karan/","","Website","","Directions","","","·","097738 35703","",""
"https://www.google.com/maps/place/Emcee+Sayanti+Banerjee/data=!4m7!3m6!1s0x3be7c9607ef4c6b7:0xb4d3c6377be3fd0b!8m2!3d19.1007177!4d72.8485267!16s%2Fg%2F11x257_twg!19sChIJt8b0fmDJ5zsRC_3jezfG07Q?authuser=0&hl=en&rclk=1","Emcee Sayanti Banerjee","5.0","(75)","Event planner","","·","Open 24 hours","https://anchorsayantibanerjee.live/","","Website","","Directions","""Best","anchor","","098337 26958","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Bhavin+Rathod/data=!4m7!3m6!1s0x3be7b7a9a6fd0027:0xbf77bc40a0a41938!8m2!3d19.1109632!4d72.8783527!16s%2Fg%2F11xzrkkxlh!19sChIJJwD9pqm35zsROBmkoEC8d78?authuser=0&hl=en&rclk=1","Anchor Bhavin Rathod","4.9","(338)","Event management company","","·","Closed","https://www.instagram.com/anchorbhavinrathod?igsh=MWNydXZuM2JhOWdnaQ==","","Website","","Directions","Online appointments","","","097688 40833","","· Opens 10 am"
"https://www.google.com/maps/place/Best+Anchor+In+Mumbai+-+Mann+Sharma/data=!4m7!3m6!1s0x4275db1ab9203723:0x4be99e1db0617328!8m2!3d21.5158207!4d78.9727572!16s%2Fg%2F11wb9s0m05!19sChIJIzcguRrbdUIRKHNhsB2e6Us?authuser=0&hl=en&rclk=1","Best Anchor In Mumbai - Mann Sharma","5.0","(27)","Entertainer","","·","Open 24 hours","https://www.anchormannsharma.com/","","Website","","Directions","""Best anchor in Mumbai mann sharma
superb anchoring in my cousins wedding""","","","090047 59032","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Reetika+and+Aman/data=!4m7!3m6!1s0x826488522bea2aed:0x56f99d6fcb5bc2f6!8m2!3d19.0815074!4d72.8783527!16s%2Fg%2F11vkpdpvgx!19sChIJ7SrqK1KIZIIR9sJby2-d-VY?authuser=0&hl=en&rclk=1","Anchor Reetika and Aman","4.7","(74)","Event management company","","·","Closed","https://www.micdropxp.com/","","Website","","Directions","Online appointments","","","088844 47210","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Deepak+lad/data=!4m7!3m6!1s0x3be7c78c805fb3f9:0x243608cb47f2ffb3!8m2!3d19.1280668!4d72.9241154!16s%2Fg%2F11wg23c0ph!19sChIJ-bNfgIzH5zsRs__yR8sINiQ?authuser=0&hl=en&rclk=1","Anchor Deepak lad","5.0","(7)","Event management company","·","277/15D, Nch Colony Rd","Open 24 hours","","","Directions","","","""Best anchor in mumbai.... Thanks deepak for making memorable ...""","","·","096195 20574","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/ANCHOR+CONSUMER+PRODUCTS+PVT.+LTD./data=!4m7!3m6!1s0x3be7ce926dfac38d:0x707ec07897779ade!8m2!3d18.9966108!4d72.8242368!16s%2Fg%2F11c2pjz264!19sChIJjcP6bZLO5zsR3pp3l3jAfnA?authuser=0&hl=en&rclk=1","ANCHOR CONSUMER PRODUCTS PVT. LTD.","4.5","(23)","Manufacturer","·","·","Closed","http://www.anchorglobal.net/","","Website","","Directions","""Good qualit product & reasonable rate""","","Marathon Innova Corporate Centre, Ganapatrao Kadam Marg","022 3951 5669","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 9 am"
"https://www.google.com/maps/place/Emcee+Anchor+Viidya/data=!4m7!3m6!1s0x64550387ff2f1e4b:0xf36a56ec40ca03a4!8m2!3d23.5069084!4d76.7698374!16s%2Fg%2F11xm2c0jwf!19sChIJSx4v_4cDVWQRpAPKQOxWavM?authuser=0&hl=en&rclk=1","Emcee Anchor Viidya","5.0","(98)","Event planner","","·","Closed","https://www.instagram.com/emcee_anchor_viidya?igsh=MTJkenlhcDh5MW1qNg==","","Website","","Directions","Online appointments","","","099301 56603","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Jay+Karmani/data=!4m7!3m6!1s0x3be7cf37956fbbe5:0x2117f8add2ce875e!8m2!3d19.035233!4d72.843292!16s%2Fg%2F11gj0wyg30!19sChIJ5btvlTfP5zsRXofO0q34FyE?authuser=0&hl=en&rclk=1","Anchor Jay Karmani","5.0","(125)","Entertainer","·","927/3, Ashtvinayak Building Sitladevi Temple Road","","https://www.instagram.com/anchor_jk/","","Website","","Directions","","","","","",""
"https://www.google.com/maps/place/Best+Wedding+Anchor+in+India/data=!4m7!3m6!1s0x3be7bb1c3a92f34f:0x2b4e9e1b47b16c53!8m2!3d19.2382705!4d72.9695369!16s%2Fg%2F11fm5yb8xy!19sChIJT_OSOhy75zsRU2yxRxueTis?authuser=0&hl=en&rclk=1","Best Wedding Anchor in India","5.0","(2)","Entertainer","·","A25, opposite Federal Bank","Open 24 hours","","","Directions","","","On-site services","Online appointments","","","",""
"https://www.google.com/maps/place/Stanley+Fernandes+Emcee%2FAnchor%2FCorporate+Host%2FEvent+Planner/data=!4m7!3m6!1s0x3be7cfa1294c8621:0x5d7158ec4da54170!8m2!3d19.0121493!4d72.8493893!16s%2Fg%2F11y8vf34p2!19sChIJIYZMKaHP5zsRcEGlTexYcV0?authuser=0&hl=en&rclk=1","Stanley Fernandes Emcee/Anchor/Corporate Host/Event Planner","4.9","(35)","Event planner","·","Unit no 229, 2nd floor, Wadala Udyog Bhavan, Plot 8, Sewree Wadala Road no.26, Wadala West","Closed","","","Directions","","","""Stan is an amazing anchor.""","","·","098199 74014","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 11 am"
"https://www.google.com/maps/place/Emcee+Muskaan+Chowdhry/data=!4m7!3m6!1s0x3be7c12e550c0001:0xa886a1bcda8b5e10!8m2!3d19.0881322!4d73.001992!16s%2Fg%2F11d_wt_plm!19sChIJAQAMVS7B5zsREF6L2ryhhqg?authuser=0&hl=en&rclk=1","Emcee Muskaan Chowdhry","5.0","(24)","Artist","·","Maple Building, A304","Closed","http://www.muskaanchowdhry.in/","","Website","","Directions","""It’s rare to see someone blend warmth and confidence so effortlessly.""","","·","098213 27758","https://ssl.gstatic.com/local/servicebusiness/default_user.png","· Opens 10 am"
"https://www.google.com/maps/place/ANCHOR+VICTORIAN+CHS/data=!4m7!3m6!1s0x3be7cf3ecc46d4ab:0x8e5dfd9e840e05f3!8m2!3d19.0028172!4d72.8397914!16s%2Fg%2F11fl0ww22q!19sChIJq9RGzD7P5zsR8wUOhJ79XY4?authuser=0&hl=en&rclk=1","ANCHOR VICTORIAN CHS","3.8","(74)","Housing society","·","·","2R3Q+4WF, J Merwanji St","","","Directions","","","""Nice entry ambiance facilities""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Event+Anchor/data=!4m7!3m6!1s0x65b473d39a1e01f:0x7a042fefa3b3fbc0!8m2!3d20.8584951!4d78.5855632!16s%2Fg%2F11z2gvwt_r!19sChIJH-ChOT1HWwYRwPuzo-8vBHo?authuser=0&hl=en&rclk=1","Event Anchor","5.0","(2)","Entertainment agency","","·","Closed","https://www.instagram.com/rjprishu?igsh=MWd6dWJ0Mzl0bDhraA==","","Website","","Directions","","","","091318 00113","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+Shivam+Tiwari/data=!4m7!3m6!1s0x6b82fc46652a9865:0x3a541d163afc0f70!8m2!3d19.143461!4d72.8245502!16s%2Fg%2F11m77t68f6!19sChIJZZgqZUb8gmsRcA_8OhYdVDo?authuser=0&hl=en&rclk=1","Anchor Shivam Tiwari","5.0","(7)","Wedding planner","·","Himasai, old, society 63","Closed","https://www.instagram.com/myselfshivamtiwari?igsh=MTZycGx4c3NjbzN4MA==","","Website","","Directions","On-site services","Online appointments","·","098733 43460","","· Opens 10 am"
"https://www.google.com/maps/place/Anchor+Chirag/data=!4m7!3m6!1s0x3be7b70f57a5fdf7:0x6bf8290679e4489c!8m2!3d13.4113432!4d83.0178934!16s%2Fg%2F11ngphhv9j!19sChIJ9_2lVw-35zsRnEjkeQYp-Gs?authuser=0&hl=en&rclk=1","Anchor Chirag","5.0","(2)","Entertainer","","·","Open 24 hours","http://www.anchorchirag.com/","","Website","","Directions","""He is pronominal Artist 👌""","","","088798 31584","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Malitha+Fernandes+-+Corporate+Anchor+%7C+Emcee+in+Mumbai+%7C+Wedding+Host/data=!4m7!3m6!1s0x3be7b794d98b9ab3:0x6d242c6de058164e!8m2!3d19.1966985!4d72.8399425!16s%2Fg%2F11rb4hth3g!19sChIJs5qL2ZS35zsRThZY4G0sJG0?authuser=0&hl=en&rclk=1","Malitha Fernandes - Corporate Anchor | Emcee in Mumbai | Wedding Host","5.0","(10)","Event planner","·","3rd, Orlem Tank Rd","","","","Directions","","","""Friendly nature.""","","·","098922 25129","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Parth+Thakur+%7C+Best+Anchor+%7C+Emcee+%26+Event+Host/data=!4m7!3m6!1s0x3be7cf7678185cb7:0x3317acb230c3bfa!8m2!3d19.7130316!4d74.1909322!16s%2Fg%2F11z9jb_dcf!19sChIJt1wYeHbP5zsR-jsMI8t6MQM?authuser=0&hl=en&rclk=1","Anchor Parth Thakur | Best Anchor | Emcee & Event Host","","","Entertainer","","·","Open 24 hours","","","Directions","","","","","","074988 85160","",""
"https://www.google.com/maps/place/Urban+Anchor+Realty/data=!4m7!3m6!1s0x3be7cf323b69791b:0x61e165cc25cd020e!8m2!3d18.9492106!4d72.8257804!16s%2Fg%2F11h22x7zjy!19sChIJG3lpOzLP5zsRDgLNJcxl4WE?authuser=0&hl=en&rclk=1","Urban Anchor Realty","5.0","(3)","Education center","·","1st Floor, 187 Dadi Seth Agairy Lane, Off Jagganath, Jagannath Shankar Seth Rd","Closed","","","Directions","","","","","","","","· Opens 10 am"
"https://www.google.com/maps/place/Anchor+Tina+%28+Mrs+India+2018%29/data=!4m7!3m6!1s0x3be797393f93e05f:0xf09c6e0f536b4eca!8m2!3d19.257211!4d73.1388053!16s%2Fg%2F11w3xzj6cg!19sChIJX-CTPzmX5zsRyk5rUw9unPA?authuser=0&hl=en&rclk=1","Anchor Tina ( Mrs India 2018)","5.0","(20)","Artist","·","Madhav Sankalp","","","","Directions","","","""One of amazing anchors i have met
One hell of an event""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Anchor+Hostel/data=!4m7!3m6!1s0x3be7cee55f6a6489:0xb18f9a898173da6b!8m2!3d19.0022844!4d72.8398824!16s%2Fg%2F11gclzpf2_!19sChIJiWRqX-XO5zsRa9pzgYmaj7E?authuser=0&hl=en&rclk=1","Anchor Hostel","3.5","(25)","Girls' hostel","·","·","2R2Q+WX6, Dadabhi Chamer Baug Wala Rd","","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Anchor+Steel+%26+Engineering+Company/data=!4m7!3m6!1s0x3be7ce17a1feaaab:0x502a6263eb5f53b0!8m2!3d18.9551389!4d72.8253069!16s%2Fg%2F11vwvcpchv!19sChIJq6r-oRfO5zsRsFNf62NiKlA?authuser=0&hl=en&rclk=1","Anchor Steel & Engineering Company","","","Corporate office","·","3RD FLOOR, 31/32, KANCHWALA BLDG, plot-3/5, 31/32, VP Rd","","http://anchorsteel.in/","","Website","","Directions","","","","079 4854 8599","",""
"https://www.google.com/maps/place/Anchor+Metal+Corporation/data=!4m7!3m6!1s0x3be7ce177527509f:0x809537dec97ef335!8m2!3d18.9549388!4d72.8247926!16s%2Fg%2F11dzt19qpd!19sChIJn1AndRfO5zsRNfN-yd43lYA?authuser=0&hl=en&rclk=1","Anchor Metal Corporation","5.0","(3)","Countertop store","·","·","Closed","http://www.anchormetal.in/","","Website","","Directions","Delivery","","Shop No. 11, A/33, Khadilkar Rd, near CP Tank Circle","022 2386 8822","","· Opens 11 am"
"https://www.google.com/maps/place/SANTURA+ENGINEERING+-+REFRACTORY+ANCHORING+MANUFACTURER+%26+EXPORTER/data=!4m7!3m6!1s0x3be7ce37bad909bb:0x4d483eecbcd47c1d!8m2!3d21.0680074!4d82.7525294!16s%2Fg%2F1td6wlfh!19sChIJuwnZujfO5zsRHXzUvOw-SE0?authuser=0&hl=en&rclk=1","SANTURA ENGINEERING - REFRACTORY ANCHORING MANUFACTURER & EXPORTER","4.5","(6)","Steel fabricator","","·","Closed","http://www.santuraeng.com/","","Website","","Directions","","","","098332 22326","","· Opens 9 am"
"https://www.google.com/maps/place/Anchor+fastener/data=!4m7!3m6!1s0x3be7cf77f16ee577:0x8cdb70a367951c69!8m2!3d18.9619967!4d72.8260282!16s%2Fg%2F11kj4gsmbk!19sChIJd-Vu8XfP5zsRaRyVZ6Nw24w?authuser=0&hl=en&rclk=1","Anchor fastener","","","Fastener supplier","·","·","Open 24 hours","https://sites.google.com/view/anchor-fastener-nut-bolt/home","","Website","","Directions","","","Maulana Shaukat Ali Road, near kumarwada 6th line, near Akbar peerbhoy college","","",""
"https://www.google.com/maps/place/Anchor+John+in+Chandigarh/data=!4m7!3m6!1s0x390febc80bf2fb6d:0x444e831de0e48559!8m2!3d30.6398897!4d76.8162382!16s%2Fg%2F11h7b481bx!19sChIJbfvyC8jrDzkRWYXk4B2DTkQ?authuser=0&hl=en&rclk=1","Anchor John in Chandigarh","5.0","(20)","Event planner","·","sco number 343, devachi plaza, VIP Rd","","http://www.anchorjohn.in/","","Website","","Directions","On-site services not available","","","098885 54966","",""
"https://www.google.com/maps/place/Anchor+Adhesives+Pvt+Ltd/data=!4m7!3m6!1s0x3be7cec5f85a0b57:0xb61246b7cb4028c5!8m2!3d19.0233658!4d72.8344114!16s%2Fg%2F11h7rr63sw!19sChIJVwta-MXO5zsRxShAy7dGErY?authuser=0&hl=en&rclk=1","Anchor Adhesives Pvt Ltd","","","Corporate office","·","Shreenath Apartment, 310B, Swatantryaveer Savarkar Rd","","","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Exotic+Wedding+-+Wedding+Choreographers,+Event+Planners,+Anchoring/data=!4m7!3m6!1s0x3be7ce6cc5b00067:0xd8a6c521ff08a372!8m2!3d18.9655521!4d72.819671!16s%2Fg%2F119tj3qxp!19sChIJZwCwxWzO5zsRcqMI_yHFptg?authuser=0&hl=en&rclk=1","Exotic Wedding - Wedding Choreographers, Event Planners, Anchoring","4.9","(79)","Wedding planner","·","·","Closed","https://www.exoticweddingplanner.com/","","Website","","Directions","On-site services","Online appointments","Bldg no 3, 1010, Pathe Bapurao Marg","098203 59087","","· Opens 9 am"
