"hfpxzc href","xxVWCe","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2","W4Efsd 7","Jn12ke src"
"https://www.google.com/maps/place/The+Radhakrishnam+Event+Planner/data=!4m7!3m6!1s0xbf97588c5964397:0xf17fe2ec95fac7f5!8m2!3d26.8635563!4d75.7717303!16s%2Fg%2F11w2gmgckm!19sChIJl0OWxYh1-QsR9cf6lezif_E?authuser=0&hl=en&rclk=1","The Radhakrishnam Event Planner","The Radhakrishnam Event Planner","5.0","(119)","Wedding planner","·","78/8, Arawali Marg","Open","· Closes 10 pm","·","089558 83427","","","Directions","","","""They turned our vision into a reality that exceeded our wildest dreams!""""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Mahisevent+%26+fashion+studio+private+limited/data=!4m7!3m6!1s0x396db50033619c01:0xa49f18858ce8625d!8m2!3d26.8677198!4d75.7576083!16s%2Fg%2F11vq_mks_9!19sChIJAZxhMwC1bTkRXWLojIUYn6Q?authuser=0&hl=en&rclk=1","Mahisevent & fashion studio private limited","Mahisevent & fashion studio private limited","5.0","(82)","Event planner","·","Kiran Path","Open 24 hours","","·","098294 91629","","","Directions","","","""... part was their patience and professionalism throughout the event.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Eelegant+Events/data=!4m7!3m6!1s0x396db4645b2320bf:0x2f8c32a5ad9bcab0!8m2!3d26.8715812!4d75.759692!16s%2Fg%2F1vr3bkz3!19sChIJvyAjW2S0bTkRsMqbraUyjC8?authuser=0&hl=en&rclk=1","Eelegant Events","Eelegant Events","4.9","(46)","Event planner","·","33/15, Swarn Path","·","Open","","095295 66660","http://eelegantevents.in/","","Website","","Directions","On-site services","·","Online appointments","· Closes 9 pm",""
"https://www.google.com/maps/place/The+Auraa+Atelier/data=!4m7!3m6!1s0x396db581d3d10085:0x658458d2361226f9!8m2!3d26.8538152!4d75.767037!16s%2Fg%2F11z9hyv3j3!19sChIJhQDR04G1bTkR-SYSNtJYhGU?authuser=0&hl=en&rclk=1","The Auraa Atelier","The Auraa Atelier","5.0","(16)","Event management company","·","Okay Plus Square, 215, Madhyam Marg, near Mansarovar Plaza","Open","· Closes 7 pm","","","","","Directions","","","""Aura Atelier made our","","wedding planning","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Laaj+Event+Management/data=!4m7!3m6!1s0x396db5a72468ec1f:0x3266718cc0ad2d63!8m2!3d26.8379323!4d75.7577181!16s%2Fg%2F11h802344d!19sChIJH-xoJKe1bTkRYy2twIxxZjI?authuser=0&hl=en&rclk=1","Laaj Event Management","Laaj Event Management","4.9","(65)","Event planner","·","plot no 61, Muhana Mandi Rd, opp. vinayak marriage garden","Open","· Closes 10 pm","·","099285 22088","","","Directions","","","""Thank you team Laaj Event for making the event like a mesmerising dream.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Pratha+Events+%7C+Best+Event+Management+Company+in+Jaipur+%7C+Wedding+Planner+in+jaipur/data=!4m7!3m6!1s0x396db56bc981a001:0xa5dd14a5ae7f64e2!8m2!3d26.8690949!4d75.7462147!16s%2Fg%2F11vxpg6wnl!19sChIJAaCByWu1bTkR4mR_rqUU3aU?authuser=0&hl=en&rclk=1","Pratha Events | Best Event Management Company in Jaipur | Wedding Planner in jaipur","Pratha Events | Best Event Management Company in Jaipur | Wedding Planner in jaipur","5.0","(29)","Event management company","·","Y-17","·","Open 24 hours","","086966 07292","https://www.instagram.com/pratha_events_/?hl=en","","Website","","Directions","""They listened to what we wanted and worked within our budget.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Dezire+Event/data=!4m7!3m6!1s0x396db5a417f18909:0xd7af3d84a7bb319b!8m2!3d26.8538649!4d75.7670824!16s%2Fg%2F11cndc3f2g!19sChIJCYnxF6S1bTkRmzG7p4Q9r9c?authuser=0&hl=en&rclk=1","Dezire Event","Dezire Event","4.4","(14)","Event planner","·","Dev Godha, 602, 6th Floor, Okay Plus Square Mall, Madhyam Marg, Patel Marg","·","Open","","087691 11119","http://www.dezireevent.com/","","Website","","Directions","On-site services","·","Online appointments","· Closes 5 pm",""
"https://www.google.com/maps/place/Balloon+house+jaipur/data=!4m7!3m6!1s0x396db35192a4c68b:0xd434fc60651437b9!8m2!3d26.8703951!4d75.7530723!16s%2Fg%2F11myltn4lp!19sChIJi8akklGzbTkRuTcUZWD8NNQ?authuser=0&hl=en&rclk=1","Balloon house jaipur","Balloon house jaipur","5.0","(31)","Event planner","·","Swarn Path","","Open 24 hours","","","https://balloonhousejaipur.in/","","Website","","Directions","""Best decorations affordable rates""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Venus+Entertainments+%26+Wedding+Planner/data=!4m7!3m6!1s0x396db58ccb872b7f:0x7d2c50b25d0fcfbe!8m2!3d26.8389455!4d75.7713775!16s%2Fg%2F11kqs25q4q!19sChIJfyuHy4y1bTkRvs8PXbJQLH0?authuser=0&hl=en&rclk=1","Venus Entertainments & Wedding Planner","Venus Entertainments & Wedding Planner","4.8","(25)","Wedding planner","·","SFS Agarwal Farm, 2/108, MANSAROVER","Open","· Closes 9 pm","","","","","Directions","","","""... arrangements and personal attention to every aspect of the event.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Swarnim+Event%27s/data=!4m7!3m6!1s0x396db54c39d8c051:0x81abd6ac547ba98b!8m2!3d26.8400546!4d75.7509626!16s%2Fg%2F11ghsbmzbm!19sChIJUcDYOUy1bTkRi6l7VKzWq4E?authuser=0&hl=en&rclk=1","Swarnim Event's","Swarnim Event's","4.9","(15)","Event management company","·","Plot No. B-12, Vidhansabha nagar, Dholai Rd","·","Open 24 hours","","080940 55777","http://www.swarnimevents.com/","","Website","","Directions","""They planned an huge event for my birthday party and nailed it.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Rang+Birangi+Rasmein+wedding+planners/data=!4m7!3m6!1s0x396db596c8cb6fd3:0xb72cb11042165690!8m2!3d26.8411887!4d75.7725907!16s%2Fg%2F11vq05gqcx!19sChIJ02_LyJa1bTkRkFYWQhCxLLc?authuser=0&hl=en&rclk=1","Rang Birangi Rasmein wedding planners","Rang Birangi Rasmein wedding planners","5.0","(20)","Event planner","·","Cbc-10, The Untold Stories, above The untold stories cafe, Vikramaditya Marg","Open 24 hours","","·","080055 41385","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Elegant+Exposition+Events/data=!4m7!3m6!1s0x396db5685b718a9f:0xb68dee8003cb4863!8m2!3d26.8607624!4d75.7635987!16s%2Fg%2F11rhvxm218!19sChIJn4pxW2i1bTkRY0jLA4DujbY?authuser=0&hl=en&rclk=1","Elegant Exposition Events","Elegant Exposition Events","5.0","(16)","Event planner","·","Infront of kv-5, Madhyam Marg","Open 24 hours","","·","080946 54499","","","Directions","","","""Mr Aman was superb wedding planner and designer.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/Wedding+Gala/data=!4m7!3m6!1s0x396db5f0b9a4bd0d:0x45d93b5d45bf6fe5!8m2!3d26.8616148!4d75.764529!16s%2Fg%2F11fnh27r56!19sChIJDb2kufC1bTkR5W-_RV072UU?authuser=0&hl=en&rclk=1","Wedding Gala","Wedding Gala","4.8","(26)","Event planner","·","Padmani VT Rd","Open","· Closes 8 pm","·","081122 98504","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/UROSE+Entertainment/data=!4m7!3m6!1s0x396db58ce895a1f3:0xf64deaa4d3dc630b!8m2!3d26.8729294!4d75.7583229!16s%2Fg%2F11tnczc2xg!19sChIJ86GV6Iy1bTkRC2Pc06TqTfY?authuser=0&hl=en&rclk=1","UROSE Entertainment","UROSE Entertainment","4.8","(37)","Wedding planner","·","C14/16, Shopping Center, Shipra path, Swarn Path","Open","· Closes 10:30 pm","·","099281 99997","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Saini+Event+Mansarover/data=!4m7!3m6!1s0x396db524612c9e69:0xc2fbf9834ad38b1e!8m2!3d26.857368!4d75.7415867!16s%2Fg%2F11wjdm34nw!19sChIJaZ4sYSS1bTkRHovTSoP5-8I?authuser=0&hl=en&rclk=1","Saini Event Mansarover","Saini Event Mansarover","5.0","(10)","Event planner","","·","Open","· Closes 5 pm","","096808 68703","","","Directions","","","Online appointments","","","",""
"https://www.google.com/maps/place/JMD+EVENT%27S+PLANNER/data=!4m7!3m6!1s0x396db5d47d03e7b5:0x50a49d6a693486ea!8m2!3d26.8406457!4d75.7511509!16s%2Fg%2F11yjv92jhq!19sChIJtecDfdS1bTkR6oY0aWqdpFA?authuser=0&hl=en&rclk=1","JMD EVENT'S PLANNER","JMD EVENT'S PLANNER","5.0","(22)","Event planner","·","B-31 Vidhansabha road Dholai","","Open","","","https://jmdeventplanner.com/","","Website","","Directions","""They understood and delivered your dream design and theme .""","","","· Closes 6 pm","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/The+Party+Company/data=!4m7!3m6!1s0x396db5ddd3bb7b5d:0xc70f8fe748645ed9!8m2!3d26.8499082!4d75.7689307!16s%2Fg%2F11z12jwfhl!19sChIJXXu70921bTkR2V5kSOePD8c?authuser=0&hl=en&rclk=1","The Party Company","The Party Company","5.0","(11)","Event management company","·","·","Open 24 hours","","94/21, Gokhale Marg","063674 33693","","","Directions","","","""From the start, their prompt responses made","","planning","·","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/ShruSun+Events+and+Media+Pvt.+Ltd./data=!4m7!3m6!1s0x396db59675a6cae7:0x3af26f73a8c81769!8m2!3d26.8583091!4d75.7392049!16s%2Fg%2F11fjy2zmg_!19sChIJ58qmdZa1bTkRaRfIqHNv8jo?authuser=0&hl=en&rclk=1","ShruSun Events and Media Pvt. Ltd.","ShruSun Events and Media Pvt. Ltd.","4.9","(18)","Event planner","·","·","Scheme Sukhija Vihar, 58","Open","","","https://shrusunevents.com/","","Website","","Directions","On-site services","·","Online appointments","· Closes 8 pm",""
"https://www.google.com/maps/place/RJ+Group+%28+creating+moments+memorable+%29/data=!4m7!3m6!1s0x396db590641cef27:0xc4f2610b311989fc!8m2!3d26.846274!4d75.772552!16s%2Fg%2F11b6pdp0nm!19sChIJJ-8cZJC1bTkR_IkZMQth8sQ?authuser=0&hl=en&rclk=1","RJ Group ( creating moments memorable )","RJ Group ( creating moments memorable )","4.9","(68)","Event planner","","","Open","· Closes 7 pm","","","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Event+Empire+-+Wedding+Event+Planner+in+Jaipur+%7C+Event+Management+%26+Designing+company/data=!4m7!3m6!1s0x396db5c88ffe9dff:0x933d26f33e73b882!8m2!3d26.8557194!4d75.7640194!16s%2Fg%2F11sjcdwcfg!19sChIJ_53-j8i1bTkRgrhzPvMmPZM?authuser=0&hl=en&rclk=1","Event Empire - Wedding Event Planner in Jaipur | Event Management & Designing company","Event Empire - Wedding Event Planner in Jaipur | Event Management & Designing company","5.0","(3)","Wedding planner","·","84/17 Dhawalgiri Marg, Arawali Marg","·","Open","","095210 83174","https://eventempire.in/","","Website","","Directions","On-site services","·","Online appointments","· Closes 8 pm",""
"https://www.google.com/maps/place/Bellavista+party+decoration/data=!4m7!3m6!1s0x396db5d09059c313:0x67ea2667e60548b6!8m2!3d26.8599217!4d75.7708568!16s%2Fg%2F11z0wl8r67!19sChIJE8NZkNC1bTkRtkgF5mcm6mc?authuser=0&hl=en&rclk=1","Bellavista party decoration","Bellavista party decoration","5.0","(4)","Event planner","·","S1, near poddar international college","Open 24 hours","","","","","","Directions","","","""Good work in jaipur""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/SK+JAIPUR+DECORATION+-+Event+Management+Service/data=!4m7!3m6!1s0x396db557aba5314d:0x623cc834b475e1f!8m2!3d26.8723291!4d75.7491194!16s%2Fg%2F11vd3f5jgr!19sChIJTTGlq1e1bTkRH15HS4PMIwY?authuser=0&hl=en&rclk=1","SK JAIPUR DECORATION - Event Management Service","SK JAIPUR DECORATION - Event Management Service","5.0","(13)","Event planner","·","M8 enginer, 6D, colour saini Marg","·","Open 24 hours","","096607 86457","https://skjaipurdecorationevents.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Jai+Veeru+Decoration+%26+Events/data=!4m7!3m6!1s0x396db56f8e29722d:0xb8d55bd0931217d4!8m2!3d26.858104!4d75.7577981!16s%2Fg%2F11nk8tmgpz!19sChIJLXIpjm-1bTkR1BcSk9Bb1bg?authuser=0&hl=en&rclk=1","Jai Veeru Decoration & Events","Jai Veeru Decoration & Events","5.0","(2)","Event planner","·","·","Ward No. - 27, 67/66","Open 24 hours","","","https://jaiveeruevents.com/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Shree+sawariya+events/data=!4m7!3m6!1s0x396db5c5e2bc0541:0xe9ccf66eed444998!8m2!3d26.8504593!4d75.7627702!16s%2Fg%2F11z6tjgr89!19sChIJQQW84sW1bTkRmElE7W72zOk?authuser=0&hl=en&rclk=1","Shree sawariya events","Shree sawariya events","","","Event planner","","·","Open","· Closes 8 am Sat","","086196 24206","","","Directions","","","","","","",""
"https://www.google.com/maps/place/Vidhi+vaani+birthday+decor/data=!4m7!3m6!1s0x396db519f84df78d:0xea3668112b6c85b!8m2!3d26.843875!4d75.7719492!16s%2Fg%2F11w2zs2tcs!19sChIJjfdN-Bm1bTkRW8i2EoFmow4?authuser=0&hl=en&rclk=1","Vidhi vaani birthday decor","Vidhi vaani birthday decor","5.0","(85)","Event planner","·","Agarwal farm, 119/533, mansarover","Open","· Closes 11 pm","·","075971 40625","","","Directions","","","In-store pick-up","·","Delivery","",""
"https://www.google.com/maps/place/Srisay+Events+-+Wedding+%26+Event+Planner+in+Jaipur/data=!4m7!3m6!1s0x396db59545e57493:0x976deae11f7b57f8!8m2!3d26.8465446!4d75.7620842!16s%2Fg%2F11xthnjmdm!19sChIJk3TlRZW1bTkR-Fd7H-HqbZc?authuser=0&hl=en&rclk=1","Srisay Events - Wedding & Event Planner in Jaipur · Visited link","Srisay Events - Wedding & Event Planner in Jaipur","5.0","(4)","Event planner","·","","","Open 24 hours","","","https://srisay-events.grexa.site/","","Website","","Directions","On-site services","","","",""
"https://www.google.com/maps/place/Design+My+Wed+%28Event+%26+Wedding+Planner%29/data=!4m7!3m6!1s0x396db5977da07beb:0xcc8a4f7af1a73134!8m2!3d26.8398825!4d75.7658675!16s%2Fg%2F11lz004pd2!19sChIJ63ugfZe1bTkRNDGn8XpPisw?authuser=0&hl=en&rclk=1","Design My Wed (Event & Wedding Planner)","Design My Wed (Event & Wedding Planner)","5.0","(11)","Event planner","·","Jc heights, 12","Open","· Closes 8 pm","·","073003 78552","","","Directions","","","""Design my wed] made our big day absolutely stress-free and unforgettable.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/The+Celebration+Studio/data=!4m7!3m6!1s0x396db52f0fc177c7:0xcb949389d40268c4!8m2!3d26.8583828!4d75.7658692!16s%2Fg%2F11nz0vhlb_!19sChIJx3fBDy-1bTkRxGgC1ImTlMs?authuser=0&hl=en&rclk=1","The Celebration Studio","The Celebration Studio","4.6","(101)","Event planner","·","Shop no S-14, Bohra complex, Main, Madhyam Marg, opposite Maharishi Arvind School, near City park","·","Open","","097847 59329","https://www.instagram.com/thecelebrationstudio__?igsh=ZWR4MzhwZnpkNmNj","","Website","","Directions","Delivery","","","· Closes 9 pm",""
"https://www.google.com/maps/place/Parmar+Events/data=!4m7!3m6!1s0x8b75c56a71c13085:0x9fcb40839518c469!8m2!3d26.8334144!4d75.7501622!16s%2Fg%2F11y_kysx57!19sChIJhTDBcWrFdYsRacQYlYNAy58?authuser=0&hl=en&rclk=1","Parmar Events","Parmar Events","4.9","(8)","Event planner","·","dholai","·","Open","","080005 81762","https://www.instagram.com/parmar__events/","","Website","","Directions","Online appointments","","","· Closes 11 pm",""
"https://www.google.com/maps/place/Sneh+Milan+Events+%E2%80%93+Best+Event+Management+Company+in+Jaipur/data=!4m7!3m6!1s0x396db589deb48e01:0x9e8f252c0a1e4e9e!8m2!3d26.8332958!4d75.7524481!16s%2Fg%2F11shcyx7v5!19sChIJAY603om1bTkRnk4eCiwlj54?authuser=0&hl=en&rclk=1","Sneh Milan Events – Best Event Management Company in Jaipur","Sneh Milan Events – Best Event Management Company in Jaipur","4.8","(13)","Event planner","·","5th Floor, 507, VPM Co Working, near Diva Hospital","·","Open 24 hours","","070144 24062","https://snehmilanevents.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Balloon+Decoration+-+Birthday+Decoration+Jaipur/data=!4m7!3m6!1s0x396db53804aa4475:0xe6860784289aee!8m2!3d26.84667!4d75.768866!16s%2Fg%2F11wwpv0243!19sChIJdUSqBDi1bTkR7poohAeG5gA?authuser=0&hl=en&rclk=1","Balloon Decoration - Birthday Decoration Jaipur","Balloon Decoration - Birthday Decoration Jaipur","5.0","(26)","Event planner","·","Vijay Path","·","Open 24 hours","","087952 80341","https://www.bookdecoration.com/","","Website","","Directions","""They truly made our anniversary extra special.""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png"
"https://www.google.com/maps/place/The+Balloon+Decoration+Jaipur/data=!4m7!3m6!1s0x396db5a86e7917fb:0xd72a9defaf639852!8m2!3d26.8496198!4d75.773562!16s%2Fg%2F11njy6s25q!19sChIJ-xd5bqi1bTkRUphjr--dKtc?authuser=0&hl=en&rclk=1","The Balloon Decoration Jaipur","The Balloon Decoration Jaipur","5.0","(7)","Event management company","·","·","Open 24 hours","","93/33, Vijay Path","095496 15605","","","Directions","","","On-site services","·","Online appointments","·",""
"https://www.google.com/maps/place/Market+Catcher+Events/data=!4m7!3m6!1s0x396db5067414b20f:0x377b9f8aa3170b43!8m2!3d26.8586017!4d75.742894!16s%2Fg%2F11nb6m04fm!19sChIJD7IUdAa1bTkRQwsXo4qfezc?authuser=0&hl=en&rclk=1","Market Catcher Events","Market Catcher Events","5.0","(6)","Event management company","·","Shop No.8-9, Sukhija vihar, opp. Chopra Farm Road","Open","· Closes 8 pm","·","088240 13344","","","Directions","","","","","","",""
"https://www.google.com/maps/place/Show+elite+event/data=!4m7!3m6!1s0x396db5f321f57c0d:0x1753566c62b49a39!8m2!3d26.8386015!4d75.7639234!16s%2Fg%2F11l73z04b8!19sChIJDXz1IfO1bTkROZq0YmxWUxc?authuser=0&hl=en&rclk=1","Show elite event","Show elite event","5.0","(3)","Wedding planner","·","B, 422","Open","· Closes 7 pm","·","070231 07836","","","Directions","","","","","","",""
"https://www.google.com/maps/place/Balloon+decoration+Jaipur/data=!4m7!3m6!1s0x396db5914efa3fb5:0xd50a6c0fc06ea16f!8m2!3d26.8509173!4d75.7654868!16s%2Fg%2F11xvsgwy4f!19sChIJtT_6TpG1bTkRb6FuwA9sCtU?authuser=0&hl=en&rclk=1","Balloon decoration Jaipur","Balloon decoration Jaipur","4.9","(83)","Event planner","","·","","Open 24 hours","","095719 69627","https://www.instagram.com/balloon_decoration_jaipur1?igsh=MTdndTJvMTZ6ZGg3ag==","","Website","","Directions","Delivery","","","",""
"https://www.google.com/maps/place/Jaipur+decoration+wholesaler/data=!4m7!3m6!1s0x396db50089fb4237:0x4bbdf4cc5f589857!8m2!3d26.868828!4d75.75656!16s%2Fg%2F11rgc0_3kw!19sChIJN0L7iQC1bTkRV5hYX8z0vUs?authuser=0&hl=en&rclk=1","Jaipur decoration wholesaler","Jaipur decoration wholesaler","4.8","(181)","Event planner","·","Shop no. 3/279, Varun path Bada bazar","·","Open","","095099 48238","https://www.instagram.com/jaipurdecoration?igsh=NmN2bWJtMnF1aDZp","","Website","","Directions","In-store shopping","·","Delivery","· Closes 9 pm",""
"https://www.google.com/maps/place/Ss+paradise/data=!4m7!3m6!1s0x396db59f0ce1b837:0x68f08021824ce327!8m2!3d26.8448414!4d75.7638447!16s%2Fg%2F11cm0yjhcy!19sChIJN7jhDJ-1bTkRJ-NMgiGA8Gg?authuser=0&hl=en&rclk=1","Ss paradise","Ss paradise","4.1","(551)","Event venue","·","·","Open 24 hours","","Iskcon Rd, near Sumer Nagar","080790 68748","","","Directions","","","","","","·",""
"https://www.google.com/maps/place/The+Decor+Designer/data=!4m7!3m6!1s0x396db584372483bb:0xdb9c038c17eaa192!8m2!3d26.8481849!4d75.7711689!16s%2Fg%2F11y_cjsnmn!19sChIJu4MkN4S1bTkRkqHqF4wDnNs?authuser=0&hl=en&rclk=1","The Decor Designer","The Decor Designer","5.0","(4)","Wedding planner","·","111/206, Vijay Path","·","Open","","084409 65202","http://thedecordesigner.com/","","Website","","Directions","","","","· Closes 10 pm",""
"https://www.google.com/maps/place/Prasha+Event+Designs+%26+Decor/data=!4m7!3m6!1s0x396db572298311e5:0x5f7ebce84220890e!8m2!3d26.8554132!4d75.7378887!16s%2Fg%2F11tf78fbyp!19sChIJ5RGDKXK1bTkRDokgQui8fl8?authuser=0&hl=en&rclk=1","Prasha Event Designs & Decor","Prasha Event Designs & Decor","5.0","(8)","Event management company","·","behind Anghithi restaurant, Mangyawas Rd","Open 24 hours","","·","096807 41679","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Sana+decorations/data=!4m7!3m6!1s0x836e35404fddf63:0xebb794c7e54babe0!8m2!3d26.8640609!4d75.7590087!16s%2Fg%2F11xmlpvmck!19sChIJY9_9BFTjNggR4KtL5ceUt-s?authuser=0&hl=en&rclk=1","Sana decorations","Sana decorations","5.0","(65)","Event management company","·","Rajat Path","·","Open","","097841 26706","https://sanadecorations.com/","","Website","","Directions","","","","· Closes 10 pm",""
