"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","Cw1rxd","R8c4Qb","Jn12ke src","ah5Ghc","lcr4fd href","Cw1rxd 2","R8c4Qb 2","ah5Ghc 2","doJOZc","W4Efsd 7"
"https://www.google.com/maps/place/Punsumi+Farms+-+The+Prettiest+Venue+for+Premium+Weddings+%26+Parties!/data=!4m7!3m6!1s0x396db327d77a627d:0x80ea67d15e1704f7!8m2!3d26.9629561!4d75.7294267!16s%2Fg%2F11kbn3b7sz!19sChIJfWJ61yezbTkR9wQXXtFn6oA?authuser=0&hl=en&rclk=1","Punsumi Farms - The Prettiest Venue for Premium Weddings & Parties!","4.8","(76)","Wedding venue","·","·","Open","· Closes 7 pm","88/345, Niwaru Rd","082901 69999","","Website","","On-site services","http://lawns.punsumi.com/","","Directions","","","·"
"https://www.google.com/maps/place/ShaadifyMe+%7C+Destination+Wedding+Planner/data=!4m7!3m6!1s0xac0861c8c4c0b455:0x2f13737f8564e16!8m2!3d26.9545816!4d75.7471107!16s%2Fg%2F11svsbj9zb!19sChIJVbTAxMhhCKwRFk5W-Dc38QI?authuser=0&hl=en&rclk=1","ShaadifyMe | Destination Wedding Planner","4.9","(16)","Wedding planner","·","Balaji Marg, Plot no 171-172, Niwaru Rd","Open","· Closes 7 pm","·","095099 16899","","Website","","On-site services","https://shaadify.me/","","Directions","Online appointments","",""
"https://www.google.com/maps/place/Rood+Mahal/data=!4m7!3m6!1s0x396db338de66f9b7:0xc362c4fb6fa4896f!8m2!3d26.9377594!4d75.7304604!16s%2Fg%2F11hbt05twz!19sChIJt_lm3jizbTkRb4mkb_vEYsM?authuser=0&hl=en&rclk=1","Rood Mahal","4.4","(939)","Wedding venue","·","·","Open 24 hours","","Suraj Vihar, 200 Feet Bypass, Kalwar Rd","077429 83214","","Website","","On-site services","https://www.roodmahal.com/","","Directions","Online appointments","","·"
"https://www.google.com/maps/place/Pinkcity+Events/data=!4m7!3m6!1s0x396db7321694b035:0x7835b45610e49503!8m2!3d26.841149!4d75.8275982!16s%2Fg%2F11jvhgbw6y!19sChIJNbCUFjK3bTkRA5XkEFa0NXg?authuser=0&hl=en&rclk=1","Pinkcity Events","4.9","(170)","Event management company","·","B-21, Ganesh Vihar St","Open 24 hours","","·","096724 40072","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Excellent decoration by Team""","https://sites.google.com/view/pinkcity-eventsjpr/","","Directions","","",""
"https://www.google.com/maps/place/The+Unique+decoration+and+events/data=!4m7!3m6!1s0x396db3274469c64d:0x36c6b400a0caa6aa!8m2!3d26.9610339!4d75.7384137!16s%2Fg%2F11sk9r_7xt!19sChIJTcZpRCezbTkRqqbKoAC0xjY?authuser=0&hl=en&rclk=1","The Unique decoration and events","5.0","(19)","Event management company","·","·","Open 24 hours","","P.No: A-2, Shri ram vatika, Niwaru Rd","096600 85158","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their team is amazing and services are","","","","top","","·"
"https://www.google.com/maps/place/The+Royal+House+Food,+Catering+%26+Event+Management/data=!4m7!3m6!1s0x396db3b7c30f4797:0xfbb5db2e69877aa4!8m2!3d26.9559302!4d75.7427232!16s%2Fg%2F11py_pm8w4!19sChIJl0cPw7ezbTkRpHqHaS7btfs?authuser=0&hl=en&rclk=1","The Royal House Food, Catering & Event Management","4.5","(57)","Event venue","·","·","","","110, Niwaru Rd","083025 59992","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very nice marriage venue, excellent decoration and spacious venue""","","","","","",""
"https://www.google.com/maps/place/Shree+Govindam+Paradise/data=!4m7!3m6!1s0x396db37c7032e955:0x17e268841685ba62!8m2!3d26.9599826!4d75.7196262!16s%2Fg%2F11h35n_ssg!19sChIJVekycHyzbTkRYrqFFoRo4hc?authuser=0&hl=en&rclk=1","Shree Govindam Paradise","4.6","(203)","Event venue","·","·","Open","· Closes 8 pm","Street 7","063771 63744","","Website","","On-site services","https://www.facebook.com/Govindam2018/","","Directions","Online appointments","","·"
"https://www.google.com/maps/place/Ravmek+Weddings+%26+Events/data=!4m7!3m6!1s0x396db3f72ec62ddd:0x77dd0994c8378d5c!8m2!3d26.954502!4d75.747146!16s%2Fg%2F1tj449g8!19sChIJ3S3GLvezbTkRXI03yJQJ3Xc?authuser=0&hl=en&rclk=1","Ravmek Weddings & Events","4.8","(15)","Event management company","·","Registered Dairy Campus,, 171, Pratap Marg","Open","· Closes 7:30 pm","·","098288 44990","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Their attention to detail and commitment to perfection really stand out.""","https://ravmek.com/","","Directions","","",""
"https://www.google.com/maps/place/Prabhat+Paradise/data=!4m7!3m6!1s0x396db327d5ce0503:0xbbbaff05326d96c1!8m2!3d26.955795!4d75.7256953!16s%2Fg%2F11c2jw6db4!19sChIJAwXO1SezbTkRwZZtMgX_urs?authuser=0&hl=en&rclk=1","Prabhat Paradise","4.2","(441)","Event venue","·","·","","","Shree Hukma Ram Nagar, Saini Marg, Kalwar Rd","098299 32402","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good spacious place for marriages and big parties.""","https://www.instagram.com/prabhat_paradise?igsh=YXI3Njh5amd1OWpq&utm_source=qr","","Directions","","",""
"https://www.google.com/maps/place/Jaipur+party+planner/data=!4m7!3m6!1s0x396db3e4498bd76d:0x51c07cf3dd4db17a!8m2!3d26.9688069!4d75.7440398!16s%2Fg%2F11xlbx08td!19sChIJbdeLSeSzbTkRerFN3fN8wFE?authuser=0&hl=en&rclk=1","Jaipur party planner","4.9","(28)","Event management company","·","devrish public school, 29 anand vihar nangal jaisa bhora","Open 24 hours","","·","093542 30212","","Website","","On-site services not available","https://jaipurpartyplanner.in/","","Directions","","",""
"https://www.google.com/maps/place/Dhirawat+Paradise,+Dhiravat+Paradise/data=!4m7!3m6!1s0x396db3916f9708d9:0x172c9fe8d8946d1d!8m2!3d26.9716998!4d75.7401612!16s%2Fg%2F11dfh57vvl!19sChIJ2QiXb5GzbTkRHW2U2OifLBc?authuser=0&hl=en&rclk=1","Dhirawat Paradise, Dhiravat Paradise","4.0","(142)","Wedding venue","·","70","Open","· Closes 6 pm","·","099294 85381","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Well decent spacious place as a marriage garden.""","","","","","",""
"https://www.google.com/maps/place/Happy+Dreams/data=!4m7!3m6!1s0x396db3a660e81657:0xef8e1fc72231fd83!8m2!3d26.9428792!4d75.7453946!16s%2Fg%2F11h3qrq2th!19sChIJVxboYKazbTkRg_0xIscfju8?authuser=0&hl=en&rclk=1","Happy Dreams","4.9","(95)","Event management company","·","164","Open","· Closes 9 pm","·","079762 60797","","Website","","On-site services","https://happydreams.in/","","Directions","","",""
"https://www.google.com/maps/place/Nice+Food+Caterers+%26+Banquet+Hall/data=!4m7!3m6!1s0x396db34743f05291:0xfb582a2778fd7af2!8m2!3d26.9340634!4d75.73029!16s%2Fg%2F11c6tscw3_!19sChIJkVLwQ0ezbTkR8nr9eCcqWPs?authuser=0&hl=en&rclk=1","Nice Food Caterers & Banquet Hall","4.2","(555)","Banquet hall","·","·","Open 24 hours","","E-218, Opposite, 200 Feet Bypass Rd","098280 14963","","Website","","On-site services","https://nicefoodcaterers.com/","","Directions","","","·"
"https://www.google.com/maps/place/Shubham+Events+%26+Tent+Decorators/data=!4m7!3m6!1s0x396db31d402af615:0xf36ed690999353af!8m2!3d26.935445!4d75.7560252!16s%2Fg%2F11h_y1vwm2!19sChIJFfYqQB2zbTkRr1OTmZDWbvM?authuser=0&hl=en&rclk=1","Shubham Events & Tent Decorators","4.7","(13)","Wedding planner","·","Shop no.1, Shubham Events","Open 24 hours","","·","083869 65134","","Directions","","On-site services","","","","Online appointments","",""
"https://www.google.com/maps/place/TIME+PASS+CAFE/data=!4m7!3m6!1s0x396db35a7c1356f3:0x56d6f7c4dcd92c48!8m2!3d26.9388135!4d75.743362!16s%2Fg%2F11tsjs6qh1!19sChIJ81YTfFqzbTkRSCzZ3MT31lY?authuser=0&hl=en&rclk=1","TIME PASS CAFE","4.8","(616)","Cafe","·","Rs, Hanuman Rd, Kanta Kalwar Rd","Open","· Closes 10 pm","·","091161 49059","","Website","","Dine-in","https://timepasscafe.netlify.app/","","Directions","Takeaway","",""
"https://www.google.com/maps/place/The+Grand+Mantaram/data=!4m7!3m6!1s0x396db30061c5acc3:0x69ed8d47b2da9ad6!8m2!3d26.9522632!4d75.731563!16s%2Fg%2F11lcftbhpq!19sChIJw6zFYQCzbTkR1praskeN7Wk?authuser=0&hl=en&rclk=1","The Grand Mantaram","4.4","(71)","Event venue","·","","Open","· Closes 9 pm","·","093145 03959","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Food is great, your service is the best and your hall is beautiful!""","","","","","",""
"https://www.google.com/maps/place/Gold+Star+Paradise/data=!4m7!3m6!1s0x396db30097fdedf5:0xbf98522e568030eb!8m2!3d26.951287!4d75.745572!16s%2Fg%2F11h1km00pr!19sChIJ9e39lwCzbTkR6zCAVi5SmL8?authuser=0&hl=en&rclk=1","Gold Star Paradise","4.2","(332)","Wedding venue","·","·","Open","· Closes 10 pm","87, Gosai Marg","070141 99242","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Outstanding places for ceremony & occasion""","","","","","","·"
"https://www.google.com/maps/place/saini+vivha+sthal/data=!4m7!3m6!1s0x396db3149d1110bb:0x4e57ac59ecaa924e!8m2!3d26.9384616!4d75.7428848!16s%2Fg%2F11c6dbsnj0!19sChIJuxARnRSzbTkRTpKq7FmsV04?authuser=0&hl=en&rclk=1","saini vivha sthal","4.3","(273)","Event venue","·","·","Open","· Closes 5 pm","saini marriage hall,, Sangh Shakti Rd","099283 78230","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Spacious, parking facility especially for middle class family functions""","","","","","","·"
"https://www.google.com/maps/place/Bandhan+Paradise/data=!4m7!3m6!1s0x396db30052e56f2d:0x55b9b27f9b3f4857!8m2!3d26.959049!4d75.7302289!16s%2Fg%2F11m6jycbk5!19sChIJLW_lUgCzbTkRV0g_m3-yuVU?authuser=0&hl=en&rclk=1","Bandhan Paradise","5.0","(163)","Wedding venue","·","·","","","Bandhan Paradise Mahadev Nagar, Niwaru Rd","098295 59767","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Highly suitable for weddings, receptions, and social events.""","","","","","",""
"https://www.google.com/maps/place/Pooja+Sound+Jaipur/data=!4m7!3m6!1s0x396db307f7b7b6a3:0x5d41ac911c7dcb3!8m2!3d26.9563465!4d75.7415371!16s%2Fg%2F11y_z_7328!19sChIJo7a39wezbTkRs9zHEcka1AU?authuser=0&hl=en&rclk=1","Pooja Sound Jaipur","5.0","(12)","Event planner","·","Shop no 2, Niwaru Rd","","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best dj jaipur live & bj party 💥""","","","","","",""
"https://www.google.com/maps/place/Jaipur+Event+Management/data=!4m7!3m6!1s0x396db327f069368b:0xa2049bdc0d2f08dc!8m2!3d26.9651708!4d75.724437!16s%2Fg%2F11pq93ptsd!19sChIJizZp8CezbTkR3AgvDdybBKI?authuser=0&hl=en&rclk=1","Jaipur Event Management","4.0","(5)","Event management company","·","Plot 2 A, Shri Ram Vatika, Niwaru Rd","Open 24 hours","","·","099286 86346","","Website","","","http://jaipureventmanagement.com/","","Directions","","",""
"https://www.google.com/maps/place/Yagh+Paradise/data=!4m7!3m6!1s0x396db2d93704c605:0xcf6377633b1fbefd!8m2!3d26.962085!4d75.7311107!16s%2Fg%2F11csrdk9tq!19sChIJBcYEN9mybTkR_b4fO2N3Y88?authuser=0&hl=en&rclk=1","Yagh Paradise","4.1","(805)","Banquet hall","·","·","Open","· Closes 12 am","2A, Niwaru Rd","","","Directions","","Dine-in","","","","Delivery","",""
"https://www.google.com/maps/place/The+Wedding+Toli/data=!4m7!3m6!1s0x26736dce79dc539f:0x72ecf34ff8a80ec2!8m2!3d26.8479512!4d75.7615457!16s%2Fg%2F11x18dw2st!19sChIJn1Pcec5tcyYRwg6o-E_z7HI?authuser=0&hl=en&rclk=1","The Wedding Toli","5.0","(149)","Wedding planner","·","32-A, The Wedding Toli, Unique Tower, New Sanganer Rd","Open 24 hours","","·","092570 48199","","Website","","On-site services","https://theweddingtoli.com/","","Directions","Online appointments","",""
"https://www.google.com/maps/place/Jagriti+Marriage+Garden/data=!4m7!3m6!1s0x396db33fcb71c375:0x3d3ce87543eb24a0!8m2!3d26.939135!4d75.736622!16s%2Fg%2F11dxjybpgk!19sChIJdcNxyz-zbTkRoCTrQ3XoPD0?authuser=0&hl=en&rclk=1","Jagriti Marriage Garden","4.0","(559)","Banquet hall","·","·","Open 24 hours","","WPQP+MJ5","098292 60712","","Directions","","Dine-in","","","","","","·"
"https://www.google.com/maps/place/Godara+marriage+Garden/data=!4m7!3m6!1s0x396db36af377e6fd:0xcda686063f5a4da!8m2!3d26.9384664!4d75.7593725!16s%2Fg%2F11k9g_nrpp!19sChIJ_eZ382qzbTkR2qT1Y2Bo2gw?authuser=0&hl=en&rclk=1","Godara marriage Garden","4.3","(120)","Wedding venue","·","·","","","Khatipura Rd","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Better for small family function and parties.""","","","","","",""
"https://www.google.com/maps/place/Legacy+Hotels+%28MICE+%26+Events+Company%29/data=!4m7!3m6!1s0x396db3546a8ef7ef:0x7f1bff71e47bf452!8m2!3d26.9698482!4d75.7497245!16s%2Fg%2F11v9yq7cc4!19sChIJ7_eOalSzbTkRUvR75HH_G38?authuser=0&hl=en&rclk=1","Legacy Hotels (MICE & Events Company)","5.0","(11)","Event management company","·","No 5, Plot No 142, Shiv Nagar Rd","Open","· Closes 7 pm","·","095098 53411","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice banquet Hall party enjoy the day
Sataf""","","","","","",""
"https://www.google.com/maps/place/Sarover+Marriage+Garden/data=!4m7!3m6!1s0x396db36d5cf1d197:0x835e95596d6b9f5f!8m2!3d26.9349148!4d75.7482148!16s%2Fg%2F1pp2vg8s1!19sChIJl9HxXG2zbTkRX59rbVmVXoM?authuser=0&hl=en&rclk=1","Sarover Marriage Garden","4.2","(461)","Wedding venue","·","·","","","Sarovar Marriage Garden, Sangh Shakti Rd, near by Ganesh Mandir","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very Big pool and big Garden for Event purpose""","","","","","",""
"https://www.google.com/maps/place/Winbee+Events+%26+Entertainments/data=!4m7!3m6!1s0xa71bafae50b38bf1:0x469c84765155464c!8m2!3d26.9416908!4d75.7624866!16s%2Fg%2F11m5skjt75!19sChIJ8YuzUK6vG6cRTEZVUXaEnEY?authuser=0&hl=en&rclk=1","Winbee Events & Entertainments","5.0","(8)","Event planner","·","13-B, Khatipura Rd, near Jhotwara Flyover","Open","· Closes 7 pm","·","063789 24273","","Website","","On-site services","https://www.winbeevents.com/","","Directions","Online appointments","",""
"https://www.google.com/maps/place/Sunrise+Events+%26+Entertainment/data=!4m7!3m6!1s0x396db3f1a981a0ed:0x12a70b8f7c0674ff!8m2!3d26.9459198!4d75.7644312!16s%2Fg%2F11pz32p83p!19sChIJ7aCBqfGzbTkR_3QGfI8LpxI?authuser=0&hl=en&rclk=1","Sunrise Events & Entertainment","4.3","(6)","Event management company","·","rathore Complex, Kamani Rd","Open","· Closes 6 pm","·","092511 11121","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""AMAZING SERVICE BY BHAISHAB""","","","","","",""
"https://www.google.com/maps/place/Pratap+Paradise/data=!4m7!3m6!1s0x396db2dff4869779:0xbab8ee36ca1ca0c9!8m2!3d26.954401!4d75.7332746!16s%2Fg%2F11c2bpb8x8!19sChIJeZeG9N-ybTkRyaAcyjbuuLo?authuser=0&hl=en&rclk=1","Pratap Paradise","4.1","(718)","Wedding venue","·","Niwaru Rd","Open","· Closes 5 pm","·","096601 00997","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good food big parking area
And Big Stage""","http://pratappradisemarriagegarden.com/","","Directions","","",""
"https://www.google.com/maps/place/Prabhu+Roop+Vilas+Marriage+Garden/data=!4m7!3m6!1s0x396c4cd8591c4633:0xa178a4647f557857!8m2!3d26.9531328!4d75.6994442!16s%2Fg%2F11bxjrxrh3!19sChIJM0YcWdhMbDkRV3hVf2SkeKE?authuser=0&hl=en&rclk=1","Prabhu Roop Vilas Marriage Garden","4.2","(574)","Event venue","·","·","Open 24 hours","","Kalwar Road, Govind Nagar Ln","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good for shadi and small events.""","","","","","",""
"https://www.google.com/maps/place/Shree+Rajlaxmi+Heaven%27s/data=!4m10!3m9!1s0x396c4d6bd1d09263:0x23f4a2d48d1841a!5m2!4m1!1i2!8m2!3d26.981638!4d75.6873018!16s%2Fg%2F11c1wr5j_c!19sChIJY5LQ0WtNbDkRGoTRSC1KPwI?authuser=0&hl=en&rclk=1","Shree Rajlaxmi Heaven's","4.5","(1,436)","Wedding venue","·","","","","","096102 24222","","Website","","On-site services","http://shreerajlaxmi.com/,%20shreerajlaxmi.co.in","","Directions","","",""
"https://www.google.com/maps/place/Abhi+events/data=!4m7!3m6!1s0x396db38f0de3e391:0x8e7927cd6f7bc523!8m2!3d26.9545943!4d75.7455944!16s%2Fg%2F11z61txlln!19sChIJkePjDY-zbTkRI8V7b80neY4?authuser=0&hl=en&rclk=1","Abhi events","","","Wedding planner","·","panchyat simiti ke samne","Open","· Closes 11 pm","","","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Shubharaambh+event/data=!4m7!3m6!1s0x396db34eddf83ea9:0x4d8060ad7133a4a3!8m2!3d26.9545943!4d75.7455944!16s%2Fg%2F11yvrx12fj!19sChIJqT743U6zbTkRo6Qzca1ggE0?authuser=0&hl=en&rclk=1","Shubharaambh event","","","Event planner","","·","Open 24 hours","","","063769 81207","","Directions","","","","","","","",""
"https://www.google.com/maps/place/Shree+Shyam+Paradise/data=!4m7!3m6!1s0x396db3bdd135ca35:0xd810c264d78d5a22!8m2!3d26.9655654!4d75.749924!16s%2Fg%2F11rtwnn63r!19sChIJNco10b2zbTkRIlqN12TCENg?authuser=0&hl=en&rclk=1","Shree Shyam Paradise","4.3","(62)","Wedding venue","·","·","Open","· Closes 8 pm","Shree Shyam Paradise, Binjari Marg","085618 60319","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Budget friendly and good space for almost 1500 people gathering.""","","","","","","·"
"https://www.google.com/maps/place/Kanchan+Deep+Marriage+Garden/data=!4m7!3m6!1s0x396db3c19c8c2117:0xbf43bed78a72b33b!8m2!3d26.9433985!4d75.7437526!16s%2Fg%2F11j0050r3q!19sChIJFyGMnMGzbTkRO7Nyite-Q78?authuser=0&hl=en&rclk=1","Kanchan Deep Marriage Garden","4.3","(133)","Wedding venue","·","Shahid, 30, Hanuman Rd","","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Small but good place
500-800 person capacity for marriage function""","","","","","",""
"https://www.google.com/maps/place/Khedi+tent+and+event/data=!4m7!3m6!1s0x396db383f9b0c11f:0x8e49e122b9284a47!8m2!3d26.9457732!4d75.7512043!16s%2Fg%2F11wql7tnhn!19sChIJH8Gw-YOzbTkRR0oouSLhSY4?authuser=0&hl=en&rclk=1","Khedi tent and event","4.0","(8)","Wedding service","·","Khedi house, 54, Kalwar Rd","Open","· Closes 5 pm","·","070627 25959","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Very best  event""","","","","","",""
"https://www.google.com/maps/place/crafthub/data=!4m7!3m6!1s0x396db3c5dceee02d:0xff2642439cb8abfa!8m2!3d26.943383!4d75.760584!16s%2Fg%2F11fj7p210x!19sChIJLeDu3MWzbTkR-qu4nENCJv8?authuser=0&hl=en&rclk=1","crafthub","4.8","(138)","Event planner","·","17, behind Lata cinema hall","Open","· Closes 10 pm","·","070231 91656","","Website","","In-store pick-up","https://www.instagram.com/crafthub.in?igsh=MTJ3bDI3cG4wcDA1bQ==","","Directions","Delivery","",""
"https://www.google.com/maps/place/AV+Photography+%26+Events/data=!4m7!3m6!1s0x396db30002180891:0x44409599e6021a77!8m2!3d26.9428483!4d75.717565!16s%2Fg%2F11zcwy7xj5!19sChIJkQgYAgCzbTkRdxoC5pmVQEQ?authuser=0&hl=en&rclk=1","AV Photography & Events","5.0","(4)","Wedding planner","·","Pratap Circle, Gokulpura Kalwar Rd","Open 24 hours","","","","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Best  photography wedding""","","","","","",""
"https://www.google.com/maps/place/SHRI+BALAJI+BAGH+MARRIAGE+GARDEN/data=!4m7!3m6!1s0x396db32d9be8451d:0xa9232084fafdc40b!8m2!3d26.9385043!4d75.7274542!16s%2Fg%2F11f6mq5yg5!19sChIJHUXomy2zbTkRC8T9-oQgI6k?authuser=0&hl=en&rclk=1","SHRI BALAJI BAGH MARRIAGE GARDEN","4.2","(321)","Banquet hall","·","·","Open","· Closes 9 pm","Narsingh Vihar, 200 Feet Bypass Road, Jan Path","097852 98314","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Nice benquet hall & marriage garden for function""","","","","","","·"
"https://www.google.com/maps/place/Krishna+Paradise+Marriage+Garden/data=!4m7!3m6!1s0x396db2e9b475dda3:0xcb10fe80bea41ef8!8m2!3d26.9735519!4d75.7385263!16s%2Fg%2F11c5zngn9m!19sChIJo911tOmybTkR-B6kvoD-EMs?authuser=0&hl=en&rclk=1","Krishna Paradise Marriage Garden","4.4","(1,013)","Banquet hall","·","Nangal Jaisa Bohra Road 80 Feet Road Near Jagdamba School","Open","· Closes 7:30 pm","·","076100 80000","","Website","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Good for social events, the facilities here are also decent.""","http://krishnaparadise.com/","","Directions","","",""
"https://www.google.com/maps/place/Prem+Kunj+Event+Garden/data=!4m7!3m6!1s0x396db24cc4451d75:0x678b818a8e4f8d89!8m2!3d26.9642735!4d75.77619!16s%2Fg%2F11c2k7qppy!19sChIJdR1FxEyybTkRiY1PjoqBi2c?authuser=0&hl=en&rclk=1","Prem Kunj Event Garden","4.1","(339)","Event venue","·","·","Open 24 hours","","Sector 2 Rd","093145 05803","","Directions","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Small venue for small gatherings...Best option for a central location""","","","","","","·"
