"hfpxzc href","xxVWCe","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","M4A5Cf","ah5Ghc 2","Jn12ke src","ah5Ghc 3"
"https://www.google.com/maps/place/The+Wedding+Toli/data=!4m7!3m6!1s0x26736dce79dc539f:0x72ecf34ff8a80ec2!8m2!3d26.8479512!4d75.7615457!16s%2Fg%2F11x18dw2st!19sChIJn1Pcec5tcyYRwg6o-E_z7HI?authuser=0&hl=en&rclk=1","The Wedding Toli","The Wedding Toli","5.0","(149)","Event management company","·","32-A, The Wedding Toli, Unique Tower, New Sanganer Rd","Open 24 hours","","·","092570 48199","https://theweddingtoli.com/","","Website","","Directions","""Everything was excellent - the","","decor","https://ssl.gstatic.com/local/servicebusiness/default_user.png",", catering and bartender options!"""
"https://www.google.com/maps/place/Decor+Station+Jaipur/data=!4m7!3m6!1s0x396db51158ebbd97:0xe84232eacea2079!8m2!3d26.8326631!4d75.7571715!16s%2Fg%2F11mm818j_v!19sChIJl73rWBG1bTkReSDqrC4jhA4?authuser=0&hl=en&rclk=1","Decor Station Jaipur","Decor Station Jaipur","5.0","(4)","Event planner","·","Plot no 18 , Patel Nagar, Iskcon Rd","Open 24 hours","","·","095490 55505","","","Directions","","","""","","Best decoration","https://ssl.gstatic.com/local/servicebusiness/default_user.png","service in Jaipur."""
"https://www.google.com/maps/place/Sneh+Milan+Events+%E2%80%93+Best+Event+Management+Company+in+Jaipur/data=!4m7!3m6!1s0x396db589deb48e01:0x9e8f252c0a1e4e9e!8m2!3d26.8332958!4d75.7524481!16s%2Fg%2F11shcyx7v5!19sChIJAY603om1bTkRnk4eCiwlj54?authuser=0&hl=en&rclk=1","Sneh Milan Events – Best Event Management Company in Jaipur","Sneh Milan Events – Best Event Management Company in Jaipur","4.8","(13)","Event management company","·","5th Floor, 507, VPM Co Working, near Diva Hospital","Open 24 hours","","·","070144 24062","https://snehmilanevents.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Eva+sky+Events+and+Hospitality./data=!4m7!3m6!1s0x396dc9001acd716f:0xfcef470c0aa65190!8m2!3d26.7997118!4d75.8165355!16s%2Fg%2F11x033txwx!19sChIJb3HNGgDJbTkRkFGmCgxH7_w?authuser=0&hl=en&rclk=1","Eva sky Events and Hospitality.","Eva sky Events and Hospitality.","5.0","(94)","Event management company","·","86/156 sector 8 pratap nagar sanganer jaipur Near gopinath namkin bhandar sector 8","Open","· Closes 9 pm","·","083026 44929","https://www.instagram.com/evaskyevents?igsh=MXhrMXFydDFsOGV1bQ==&utm_source=qr","","Website","","Directions","""","","Best","https://ssl.gstatic.com/local/servicebusiness/default_user.png","sound, sangeet and"
"https://www.google.com/maps/place/SK+JAIPUR+DECORATION+-+Event+Management+Service/data=!4m7!3m6!1s0x396db557aba5314d:0x623cc834b475e1f!8m2!3d26.8723291!4d75.7491194!16s%2Fg%2F11vd3f5jgr!19sChIJTTGlq1e1bTkRH15HS4PMIwY?authuser=0&hl=en&rclk=1","SK JAIPUR DECORATION - Event Management Service","SK JAIPUR DECORATION - Event Management Service","5.0","(13)","Event management company","·","M8 enginer, 6D, colour saini Marg","Open 24 hours","","·","096607 86457","https://skjaipurdecorationevents.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Design+My+Wed+%28Event+%26+Wedding+Planner%29/data=!4m7!3m6!1s0x396db5977da07beb:0xcc8a4f7af1a73134!8m2!3d26.8398825!4d75.7658675!16s%2Fg%2F11lz004pd2!19sChIJ63ugfZe1bTkRNDGn8XpPisw?authuser=0&hl=en&rclk=1","Design My Wed (Event & Wedding Planner) · Visited link","Design My Wed (Event & Wedding Planner)","5.0","(11)","Event planner","·","Jc heights, 12","Open","· Closes 8 pm","·","073003 78552","","","Directions","","","""Design my wed] made our big day absolutely stress-free and unforgettable.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Dgozar+Events+%26+Management/data=!4m7!3m6!1s0x396db5867bcfdc3b:0xaef215490f8b2f34!8m2!3d26.8536114!4d75.7701754!16s%2Fg%2F11l73g44g3!19sChIJO9zPe4a1bTkRNC-LD0kV8q4?authuser=0&hl=en&rclk=1","Dgozar Events & Management","Dgozar Events & Management","5.0","(42)","Event management company","·","Getraise Pvt. Ltd, First floor, 70/38, Patel Marg","Open","· Closes 6 pm","·","089558 58186","https://dgozarevents.com/","","Website","","Directions","""","","Best planner","https://ssl.gstatic.com/local/servicebusiness/default_user.png","&"
"https://www.google.com/maps/place/Mahidecor+%7C+Event+Planner+In+Jaipur/data=!4m7!3m6!1s0x396db520566133fd:0x4447176c8c8722b3!8m2!3d26.8415612!4d75.7493652!16s%2Fg%2F11zbk95s5p!19sChIJ_TNhViC1bTkRsyKHjGwXR0Q?authuser=0&hl=en&rclk=1","Mahidecor | Event Planner In Jaipur","Mahidecor | Event Planner In Jaipur","5.0","(2)","Event management company","·","Vidhan sabha, Nagar Chauraha, Balaji City, Patrakar Colony Rd","Open","· Closes 10 pm","","","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Aakriti+Events/data=!4m7!3m6!1s0x396db53295fe7969:0xdf05e93e4108266a!8m2!3d26.8543525!4d75.7615375!16s%2Fg%2F11w3qkgtn5!19sChIJaXn-lTK1bTkRaiYIQT7pBd8?authuser=0&hl=en&rclk=1","Aakriti Events","Aakriti Events","5.0","(17)","Event management company","·","82/35, Arawali Marg","Open 24 hours","","·","096499 04951","https://aakritievents.com/","","Website","","Directions","""Very","","good","https://ssl.gstatic.com/local/servicebusiness/default_user.png","management and the"
"https://www.google.com/maps/place/Pratha+Events+%7C+Best+Event+Management+Company+in+Jaipur+%7C+Wedding+Planner+in+jaipur/data=!4m7!3m6!1s0x396db56bc981a001:0xa5dd14a5ae7f64e2!8m2!3d26.8690949!4d75.7462147!16s%2Fg%2F11vxpg6wnl!19sChIJAaCByWu1bTkR4mR_rqUU3aU?authuser=0&hl=en&rclk=1","Pratha Events | Best Event Management Company in Jaipur | Wedding Planner in jaipur","Pratha Events | Best Event Management Company in Jaipur | Wedding Planner in jaipur","5.0","(29)","Event management company","·","Y-17","Open 24 hours","","·","086966 07292","https://www.instagram.com/pratha_events_/?hl=en","","Website","","Directions","""They understood our needs and delivered stunning decor.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Saugaat+by+mehta+events/data=!4m7!3m6!1s0x396db52cf9b187f3:0x6322c445ed4258cd!8m2!3d26.8796587!4d75.7737968!16s%2Fg%2F11gxs08j_l!19sChIJ84ex-Sy1bTkRzVhC7UXEImM?authuser=0&hl=en&rclk=1","Saugaat by mehta events","Saugaat by mehta events","4.8","(192)","Event management company","·","284 a, behind somani hospital","Open 24 hours","","","","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Shree+Ji+Wedding+Event+Planner/data=!4m7!3m6!1s0x396db563e1ad149d:0x76491da00d403a23!8m2!3d26.8451114!4d75.7639029!16s%2Fg%2F11lmlw7h28!19sChIJnRSt4WO1bTkRIzpADaAdSXY?authuser=0&hl=en&rclk=1","Shree Ji Wedding Event Planner","Shree Ji Wedding Event Planner","5.0","(2)","Wedding service","·","Bahaman ki Thadi Chouhara, Iskcon Rd","Open 24 hours","","·","093142 06370","","","Directions","","","""Good working your decoration""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Laaj+Event+Management/data=!4m7!3m6!1s0x396db5a72468ec1f:0x3266718cc0ad2d63!8m2!3d26.8379323!4d75.7577181!16s%2Fg%2F11h802344d!19sChIJH-xoJKe1bTkRYy2twIxxZjI?authuser=0&hl=en&rclk=1","Laaj Event Management","Laaj Event Management","4.9","(65)","Event planner","·","plot no 61, Muhana Mandi Rd, opp. vinayak marriage garden","Open","· Closes 10 pm","·","099285 22088","","","Directions","","","""Thank you team Laaj Event for making the event like a mesmerising dream.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Vega+Star+Events+-+Wedding+Planner+and+Event+Planner+in+Jaipur/data=!4m7!3m6!1s0x396db5a53cbd75fd:0xac5fe2b90218f4d2!8m2!3d26.8558519!4d75.7686766!16s%2Fg%2F11ddxfv3mw!19sChIJ_XW9PKW1bTkR0vQYArniX6w?authuser=0&hl=en&rclk=1","Vega Star Events - Wedding Planner and Event Planner in Jaipur","Vega Star Events - Wedding Planner and Event Planner in Jaipur","4.8","(42)","Event management company","·","·","Open","· Closes 8 pm","71/175 Near K.V. No.5, Paramhans Marg, Mansarovar","094148 33258","https://www.vegastarevents.in/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Garima+Decoration/data=!4m7!3m6!1s0x396dc9c0c0e9fd19:0xc651cad7fbe6284a!8m2!3d26.8016429!4d75.818151!16s%2Fg%2F11gzs52z0z!19sChIJGf3pwMDJbTkRSijm-9fKUcY?authuser=0&hl=en&rclk=1","Garima Decoration","Garima Decoration","4.6","(53)","Event management company","·","·","Open","· Closes 8 pm","85/746","085039 70087","https://www.garimadecoration.com/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Maa+Laxmi+Balloon+%26+Light+Decoration/data=!4m7!3m6!1s0x396dcbeca185f351:0x694ed296e4209937!8m2!3d26.8179426!4d75.7884017!16s%2Fg%2F11t6h__wm4!19sChIJUfOFoezLbTkRN5kg5JbSTmk?authuser=0&hl=en&rclk=1","Maa Laxmi Balloon & Light Decoration","Maa Laxmi Balloon & Light Decoration","4.7","(16)","Event management company","·","Radha Ballabh Marg","Open 24 hours","","·","088903 54995","","","Directions","","","""Best in the area…..have good and efficient team for decor on instant basis""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Navaratan+Events+and+Production/data=!4m7!3m6!1s0x396dc9ca3e609f7f:0xda5e25e500463272!8m2!3d26.7997643!4d75.8189111!16s%2Fg%2F11njml0qlp!19sChIJf59gPsrJbTkRcjJGAOUlXto?authuser=0&hl=en&rclk=1","Navaratan Events and Production","Navaratan Events and Production","5.0","(13)","Event management company","·","102/1","Open","· Closes 10 pm","·","080943 39494","","","Directions","","","""Highly recommended for their professionalism and creativity!""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/The+Glory+Events/data=!4m7!3m6!1s0x396db57ba0a73339:0x435787493243d874!8m2!3d26.8977846!4d75.7707332!16s%2Fg%2F11fl78drl2!19sChIJOTOnoHu1bTkRdNhDMkmHV0M?authuser=0&hl=en&rclk=1","The Glory Events","The Glory Events","4.9","(55)","Event management company","·","·","Open","· Closes 9 pm","metro pillar, 38, Shyam Nagar, 120, New Sanganer Rd","097999 99109","https://thegloryevent.com/","","Website","","Directions","""... Glory","","Events","https://ssl.gstatic.com/local/servicebusiness/default_user.png","made our"
"https://www.google.com/maps/place/Save+The+Date+:+Event+%26+Entertainments/data=!4m7!3m6!1s0x396db5f6617b53bd:0x5676811c58e49dd0!8m2!3d26.828705!4d75.790586!16s%2Fg%2F11fy4jw6zb!19sChIJvVN7Yfa1bTkR0J3kWByBdlY?authuser=0&hl=en&rclk=1","Save The Date : Event & Entertainments","Save The Date : Event & Entertainments","4.9","(33)","Event management company","·","127-A printers Nagaer Sitabari, Tonk Road, Sanganer Jaipur","Open","· Closes 5 pm","·","093522 22282","","","Directions","","","""Hygiene maintained perfectly""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Desert+Events+Planners/data=!4m7!3m6!1s0x396db52f66ba7c63:0x795880ad08b639a1!8m2!3d26.8213005!4d75.8059706!16s%2Fg%2F11hd__696q!19sChIJY3y6Zi-1bTkRoTm2CK2AWHk?authuser=0&hl=en&rclk=1","Desert Events Planners","Desert Events Planners","5.0","(121)","Event management company","·","·","Open 24 hours","","Samrat Nagar, Terminal 1, Airport Rd, opposite Jaipur International Airport","081078 64787","http://www.deserteventsplanners.com/","","Website","","Directions","""","","Best event","https://ssl.gstatic.com/local/servicebusiness/default_user.png","I ever had seen 💯 percent pure variety"""
"https://www.google.com/maps/place/The+Celebration+Studio/data=!4m7!3m6!1s0x396db52f0fc177c7:0xcb949389d40268c4!8m2!3d26.8583828!4d75.7658692!16s%2Fg%2F11nz0vhlb_!19sChIJx3fBDy-1bTkRxGgC1ImTlMs?authuser=0&hl=en&rclk=1","The Celebration Studio","The Celebration Studio","4.6","(101)","Event planner","·","Shop no S-14, Bohra complex, Main, Madhyam Marg, opposite Maharishi Arvind School, near City park","Open","· Closes 9 pm","·","097847 59329","https://www.instagram.com/thecelebrationstudio__?igsh=ZWR4MzhwZnpkNmNj","","Website","","Directions","Delivery","","","",""
"https://www.google.com/maps/place/Jai+shree+Krishna+Tent+%26+Events/data=!4m7!3m6!1s0x396db76d25cd4727:0x28b3e6db4939e4ed!8m2!3d26.7961355!4d75.8575564!16s%2Fg%2F11g0gn91nn!19sChIJJ0fNJW23bTkR7eQ5Sdvmsyg?authuser=0&hl=en&rclk=1","Jai shree Krishna Tent & Events","Jai shree Krishna Tent & Events","4.9","(598)","Tent House Supplier","·","·","Open","· Closes 8 pm","H-1 67 Appreal Park Audyogik Area, Mahal Rd, near Akshaya Patra","099825 29008","https://jsktentandevents.com/","","Website","","Directions","""Everything in the","","decorations","https://ssl.gstatic.com/local/servicebusiness/default_user.png","were fresh and beautiful."""
"https://www.google.com/maps/place/Jaipur+decoration+wholesaler/data=!4m7!3m6!1s0x396db50089fb4237:0x4bbdf4cc5f589857!8m2!3d26.868828!4d75.75656!16s%2Fg%2F11rgc0_3kw!19sChIJN0L7iQC1bTkRV5hYX8z0vUs?authuser=0&hl=en&rclk=1","Jaipur decoration wholesaler","Jaipur decoration wholesaler","4.8","(181)","Event planner","·","Shop no. 3/279, Varun path Bada bazar","Open","· Closes 9 pm","·","095099 48238","https://www.instagram.com/jaipurdecoration?igsh=NmN2bWJtMnF1aDZp","","Website","","Directions","""","","Good","https://ssl.gstatic.com/local/servicebusiness/default_user.png","staff"
"https://www.google.com/maps/place/Saini+decoration+%26+events/data=!4m7!3m6!1s0x396db5b04ef29ec7:0x4204b706d0612aa1!8m2!3d26.8883395!4d75.7955778!16s%2Fg%2F11ng0m22my!19sChIJx57yTrC1bTkRoSph0Aa3BEI?authuser=0&hl=en&rclk=1","Saini decoration & events","Saini decoration & events","5.0","(199)","Event management company","·","E-745, Nakul Path","Open","· Closes 10 pm","·","080059 94363","","","Directions","","","On-site services","","","",""
"https://www.google.com/maps/place/Balloon+decoration+Jaipur/data=!4m7!3m6!1s0x396db5914efa3fb5:0xd50a6c0fc06ea16f!8m2!3d26.8509173!4d75.7654868!16s%2Fg%2F11xvsgwy4f!19sChIJtT_6TpG1bTkRb6FuwA9sCtU?authuser=0&hl=en&rclk=1","Balloon decoration Jaipur","Balloon decoration Jaipur","4.9","(83)","Event management company","","·","Open 24 hours","","","095719 69627","https://www.instagram.com/balloon_decoration_jaipur1?igsh=MTdndTJvMTZ6ZGg3ag==","","Website","","Directions","Delivery","","","",""
"https://www.google.com/maps/place/Pinkcity+Events/data=!4m7!3m6!1s0x396db7321694b035:0x7835b45610e49503!8m2!3d26.841149!4d75.8275982!16s%2Fg%2F11jvhgbw6y!19sChIJNbCUFjK3bTkRA5XkEFa0NXg?authuser=0&hl=en&rclk=1","Pinkcity Events","Pinkcity Events","4.9","(170)","Event management company","·","B-21, Ganesh Vihar St","Open 24 hours","","·","096724 40072","https://sites.google.com/view/pinkcity-eventsjpr/","","Website","","Directions","""Excellent","","decoration","https://ssl.gstatic.com/local/servicebusiness/default_user.png","by Team"""
"https://www.google.com/maps/place/Jaipur+Birthday+Decor/data=!4m7!3m6!1s0x396db5a4251a6a33:0xf6b6aaed55a4574f!8m2!3d26.8717916!4d75.7757073!16s%2Fg%2F11css0d2kd!19sChIJM2oaJaS1bTkRT1ekVe2qtvY?authuser=0&hl=en&rclk=1","Jaipur Birthday Decor","Jaipur Birthday Decor","4.5","(215)","Party planner","·","13, 2nd Floor, Electronic Mall, Ridhi Sidhi Circle, Gopalpura Bypass Rd","Open","· Closes 9 pm","·","097997 37222","http://jaipurbirthdaydecor.com/","","Website","","Directions","""Beautiful and timely done decor by Jaipur birthday decor.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Nathani+Decorators+%7C+Luxury+Wedding+%26+Destination+Decor+Jaipur/data=!4m7!3m6!1s0x396db30a3d1e76bb:0x517323cf8c5cc43a!8m2!3d26.8888233!4d75.743532!16s%2Fg%2F1ptxvfdg8!19sChIJu3YePQqzbTkROsRcjM8jc1E?authuser=0&hl=en&rclk=1","Nathani Decorators | Luxury Wedding & Destination Decor Jaipur","Nathani Decorators | Luxury Wedding & Destination Decor Jaipur","4.9","(53)","Event management company","·","Lane Number 5, near Rr mart","Open 24 hours","","·","073405 06208","","","Directions","","","""... witnessed a very","","good decoration","https://ssl.gstatic.com/local/servicebusiness/default_user.png","and very well planned"
"https://www.google.com/maps/place/Dezire+Event/data=!4m7!3m6!1s0x396db5a417f18909:0xd7af3d84a7bb319b!8m2!3d26.8538649!4d75.7670824!16s%2Fg%2F11cndc3f2g!19sChIJCYnxF6S1bTkRmzG7p4Q9r9c?authuser=0&hl=en&rclk=1","Dezire Event","Dezire Event","4.4","(14)","Event management company","·","Dev Godha, 602, 6th Floor, Okay Plus Square Mall, Madhyam Marg, Patel Marg","Open","· Closes 5 pm","·","087691 11119","http://www.dezireevent.com/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Balloon+Decoration+-+Birthday+Decoration+Jaipur/data=!4m7!3m6!1s0x396db53804aa4475:0xe6860784289aee!8m2!3d26.84667!4d75.768866!16s%2Fg%2F11wwpv0243!19sChIJdUSqBDi1bTkR7poohAeG5gA?authuser=0&hl=en&rclk=1","Balloon Decoration - Birthday Decoration Jaipur","Balloon Decoration - Birthday Decoration Jaipur","5.0","(26)","Event planner","·","Vijay Path","Open 24 hours","","·","087952 80341","https://www.bookdecoration.com/","","Website","","Directions","""The colors, backdrop and balloons arch were all placed so neatly.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/Konark+Weddings/data=!4m7!3m6!1s0x396db45c02bd8e25:0x7a40825c979f9ff3!8m2!3d26.8740359!4d75.7965904!16s%2Fg%2F1tcv98xz!19sChIJJY69Aly0bTkR85-fl1yCQHo?authuser=0&hl=en&rclk=1","Konark Weddings","Konark Weddings","4.4","(116)","Event management company","·","F-21","Open","· Closes 8 pm","·","099295 33253","https://konarkweddings.com/","","Website","","Directions","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Subham+Events+%26+Flower+Decorators/data=!4m7!3m6!1s0x396db57a664e2e79:0x97442e390012394f!8m2!3d26.8463724!4d75.7953862!16s%2Fg%2F11fmzgq7b_!19sChIJeS5OZnq1bTkRTzkSADkuRJc?authuser=0&hl=en&rclk=1","Subham Events & Flower Decorators","Subham Events & Flower Decorators","4.8","(25)","Event planner","·","·","Open 24 hours","Tamara Marriage Garden Durgapura, Durga pura, near BSNL CSC Durgapura Tonk Road Jaipur","·","098298 51555","","","Directions","","","","","","",""
"https://www.google.com/maps/place/JMD+EVENT%27S+PLANNER/data=!4m7!3m6!1s0x396db5d47d03e7b5:0x50a49d6a693486ea!8m2!3d26.8406457!4d75.7511509!16s%2Fg%2F11yjv92jhq!19sChIJtecDfdS1bTkR6oY0aWqdpFA?authuser=0&hl=en&rclk=1","JMD EVENT'S PLANNER","JMD EVENT'S PLANNER","5.0","(22)","Event planner","·","B-31 Vidhansabha road Dholai","Open","· Closes 6 pm","","","https://jmdeventplanner.com/","","Website","","Directions","""They understood and delivered your dream design and theme .""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/The+Eventor+Mosaic+Decoration/data=!4m7!3m6!1s0x396dc96ac81ae3ff:0xc16efeb44f3b0406!8m2!3d26.8024137!4d75.833845!16s%2Fg%2F11tdkzk90k!19sChIJ_-MayGrJbTkRBgQ7T7T-bsE?authuser=0&hl=en&rclk=1","The Eventor Mosaic Decoration","The Eventor Mosaic Decoration","4.9","(11)","Event planner","","","Open","· Closes 6 pm","","","","","Directions","","","""One can definitely trust them for smooth execution of event and activation.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
"https://www.google.com/maps/place/JAIPUR+DECORATIONS/data=!4m7!3m6!1s0x6b0dd8e16e6de2d7:0x917bba0da46ad82e!8m2!3d26.812292!4d75.7882!16s%2Fg%2F11wjdk1gxr!19sChIJ1-JtbuHYDWsRLthqpA26e5E?authuser=0&hl=en&rclk=1","JAIPUR DECORATIONS","JAIPUR DECORATIONS","4.8","(4)","Event management company","","·","Open 24 hours","","","089498 51691","https://jaipurdecorations.in/","","Website","","Directions","Online appointments","·","On-site services not available","",""
"https://www.google.com/maps/place/FOREVER+LUX+EVENTS/data=!4m7!3m6!1s0x396db5fd806a161f:0xae0d143872896725!8m2!3d26.8370385!4d75.7909552!16s%2Fg%2F11myvdhbty!19sChIJHxZqgP21bTkRJWeJcjgUDa4?authuser=0&hl=en&rclk=1","FOREVER LUX EVENTS","FOREVER LUX EVENTS","5.0","(9)","Event planner","·","taro ki koot, 11(33, Tonk Rd, near Balhans public school","Open 24 hours","","·","088907 54857","","","Directions","","","On-site services","·","Online appointments","",""
"https://www.google.com/maps/place/Kaarwaan+Events/data=!4m7!3m6!1s0x396db5a1cf4211fd:0x94f74d36beb3cf6!8m2!3d26.8498569!4d75.7796286!16s%2Fg%2F11wb1537kv!19sChIJ_RFCz6G1bTkR9jzra9N0Twk?authuser=0&hl=en&rclk=1","Kaarwaan Events","Kaarwaan Events","4.9","(50)","Event planner","·","Bagda's (196","Open","· Closes 5 pm","·","095082 08745","https://www.kaarwaan.co/","","Website","","Directions","""The creativity in the decor is incredibly impressive.""","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png",""
