"hfpxzc href","xxVWCe","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","ah5Ghc","ah5Ghc 2","W4Efsd 6","UsdlK","Jn12ke src","doJOZc","W4Efsd 7","ah5Ghc 3"
"https://www.google.com/maps/place/Gokul+Event-+event+decoration+in+jaipur/data=!4m7!3m6!1s0x396c4dd7ed5f66ed:0xb78735685de06a7a!8m2!3d26.9615697!4d75.7060258!16s%2Fg%2F11z369j5cq!19sChIJ7WZf7ddNbDkRemrgXWg1h7c?authuser=0&hl=en&rclk=1","Gokul Event- event decoration in jaipur","5.0","(17)","Event management company","·","Aadarsh colony, 34, Niwaru Link Rd","Open 24 hours","","https://gokulevent.lovable.app/","","Website","","Directions","""","Best event","·","095871 29135","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","decoration in Jaipur, he provided"
"https://www.google.com/maps/place/Punsumi+Farms+-+The+Prettiest+Venue+for+Premium+Weddings+%26+Parties!/data=!4m7!3m6!1s0x396db327d77a627d:0x80ea67d15e1704f7!8m2!3d26.9629561!4d75.7294267!16s%2Fg%2F11kbn3b7sz!19sChIJfWJ61yezbTkR9wQXXtFn6oA?authuser=0&hl=en&rclk=1","Punsumi Farms - The Prettiest Venue for Premium Weddings & Parties!","4.8","(76)","Wedding venue","·","·","Open","· Closes 7 pm","http://lawns.punsumi.com/","","Website","","Directions","On-site services","","88/345, Niwaru Rd","082901 69999","","","·",""
"https://www.google.com/maps/place/Nice+Food+Caterers+%26+Banquet+Hall/data=!4m7!3m6!1s0x396db34743f05291:0xfb582a2778fd7af2!8m2!3d26.9340634!4d75.73029!16s%2Fg%2F11c6tscw3_!19sChIJkVLwQ0ezbTkR8nr9eCcqWPs?authuser=0&hl=en&rclk=1","Nice Food Caterers & Banquet Hall","4.2","(555)","Banquet hall","·","·","Open 24 hours","","https://nicefoodcaterers.com/","","Website","","Directions","On-site services","","E-218, Opposite, 200 Feet Bypass Rd","098280 14963","","","·",""
"https://www.google.com/maps/place/Prabhat+Paradise/data=!4m7!3m6!1s0x396db327d5ce0503:0xbbbaff05326d96c1!8m2!3d26.955795!4d75.7256953!16s%2Fg%2F11c2jw6db4!19sChIJAwXO1SezbTkRwZZtMgX_urs?authuser=0&hl=en&rclk=1","Prabhat Paradise","4.2","(441)","Event venue","·","·","","","https://www.instagram.com/prabhat_paradise?igsh=YXI3Njh5amd1OWpq&utm_source=qr","","Website","","Directions","""Good spacious place for marriages and big parties.""","","Shree Hukma Ram Nagar, Saini Marg, Kalwar Rd","098299 32402","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/TIME+PASS+CAFE/data=!4m7!3m6!1s0x396db35a7c1356f3:0x56d6f7c4dcd92c48!8m2!3d26.9388135!4d75.743362!16s%2Fg%2F11tsjs6qh1!19sChIJ81YTfFqzbTkRSCzZ3MT31lY?authuser=0&hl=en&rclk=1","TIME PASS CAFE","4.8","(616)","Cafe","·","Rs, Hanuman Rd, Kanta Kalwar Rd","Open","· Closes 10 pm","https://timepasscafe.netlify.app/","","Website","","Directions","Dine-in","Takeaway","·","091161 49059","","","","Delivery"
"https://www.google.com/maps/place/Rood+Mahal/data=!4m7!3m6!1s0x396db338de66f9b7:0xc362c4fb6fa4896f!8m2!3d26.9377594!4d75.7304604!16s%2Fg%2F11hbt05twz!19sChIJt_lm3jizbTkRb4mkb_vEYsM?authuser=0&hl=en&rclk=1","Rood Mahal","4.4","(939)","Wedding venue","·","·","Open 24 hours","","https://www.roodmahal.com/","","Website","","Directions","On-site services","Online appointments","Suraj Vihar, 200 Feet Bypass, Kalwar Rd","077429 83214","","","·",""
"https://www.google.com/maps/place/Shree+Govindam+Paradise/data=!4m7!3m6!1s0x396db37c7032e955:0x17e268841685ba62!8m2!3d26.9599826!4d75.7196262!16s%2Fg%2F11h35n_ssg!19sChIJVekycHyzbTkRYrqFFoRo4hc?authuser=0&hl=en&rclk=1","Shree Govindam Paradise","4.6","(203)","Event venue","·","·","Open","· Closes 8 pm","https://www.facebook.com/Govindam2018/","","Website","","Directions","On-site services","Online appointments","Street 7","063771 63744","","","·",""
"https://www.google.com/maps/place/ShaadifyMe+%7C+Destination+Wedding+Planner/data=!4m7!3m6!1s0xac0861c8c4c0b455:0x2f13737f8564e16!8m2!3d26.9545816!4d75.7471107!16s%2Fg%2F11svsbj9zb!19sChIJVbTAxMhhCKwRFk5W-Dc38QI?authuser=0&hl=en&rclk=1","ShaadifyMe | Destination Wedding Planner","4.9","(16)","Event management company","·","Balaji Marg, Plot no 171-172, Niwaru Rd","Open","· Closes 7 pm","https://shaadify.me/","","Website","","Directions","On-site services","Online appointments","·","095099 16899","","","",""
"https://www.google.com/maps/place/SIROHIYA+EVENTS/data=!4m7!3m6!1s0x396db314eb7c32db:0x1271e1725f8c23a!8m2!3d26.9380221!4d75.7412995!16s%2Fg%2F11c4b6rm4l!19sChIJ2zJ86xSzbTkROsL4JRceJwE?authuser=0&hl=en&rclk=1","SIROHIYA EVENTS","5.0","(16)","Event management company","·","·","Open 24 hours","","","","Directions","","","On-site services","Online appointments","Sita Vihar ihar Colony, 60, Sangh Shakti Rd","082332 61608","","","·",""
"https://www.google.com/maps/place/The+Unique+decoration+and+events/data=!4m7!3m6!1s0x396db3274469c64d:0x36c6b400a0caa6aa!8m2!3d26.9610339!4d75.7384137!16s%2Fg%2F11sk9r_7xt!19sChIJTcZpRCezbTkRqqbKoAC0xjY?authuser=0&hl=en&rclk=1","The Unique decoration and events","5.0","(19)","Event management company","·","·","Open 24 hours","","","","Directions","","","On-site services","Online appointments","P.No: A-2, Shri ram vatika, Niwaru Rd","096600 85158","","","·",""
"https://www.google.com/maps/place/Ravmek+Weddings+%26+Events/data=!4m7!3m6!1s0x396db3f72ec62ddd:0x77dd0994c8378d5c!8m2!3d26.954502!4d75.747146!16s%2Fg%2F1tj449g8!19sChIJ3S3GLvezbTkRXI03yJQJ3Xc?authuser=0&hl=en&rclk=1","Ravmek Weddings & Events","4.8","(15)","Event management company","·","Registered Dairy Campus,, 171, Pratap Marg","Open","· Closes 7:30 pm","https://ravmek.com/","","Website","","Directions","""Ravmek is a team of truly professional and creative wedding planners.""","","·","098288 44990","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Gold+Star+Paradise/data=!4m7!3m6!1s0x396db30097fdedf5:0xbf98522e568030eb!8m2!3d26.951287!4d75.745572!16s%2Fg%2F11h1km00pr!19sChIJ9e39lwCzbTkR6zCAVi5SmL8?authuser=0&hl=en&rclk=1","Gold Star Paradise","4.2","(332)","Wedding venue","·","·","Open","· Closes 10 pm","","","Directions","","","""Outstanding places for ceremony & occasion""","","87, Gosai Marg","070141 99242","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","·",""
"https://www.google.com/maps/place/Dhirawat+Paradise,+Dhiravat+Paradise/data=!4m7!3m6!1s0x396db3916f9708d9:0x172c9fe8d8946d1d!8m2!3d26.9716998!4d75.7401612!16s%2Fg%2F11dfh57vvl!19sChIJ2QiXb5GzbTkRHW2U2OifLBc?authuser=0&hl=en&rclk=1","Dhirawat Paradise, Dhiravat Paradise","4.0","(142)","Wedding venue","·","70","Open","· Closes 6 pm","","","Directions","","","""Well decent spacious place as a marriage garden.""","","·","099294 85381","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Pinkcity+Events/data=!4m7!3m6!1s0x396db7321694b035:0x7835b45610e49503!8m2!3d26.841149!4d75.8275982!16s%2Fg%2F11jvhgbw6y!19sChIJNbCUFjK3bTkRA5XkEFa0NXg?authuser=0&hl=en&rclk=1","Pinkcity Events","4.9","(170)","Event management company","·","B-21, Ganesh Vihar St","Open 24 hours","","https://sites.google.com/view/pinkcity-eventsjpr/","","Website","","Directions","""Excellent decoration by Team""","","·","096724 40072","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Drink+and+Design+%7C+Best+Bartender+%7C+Premium+Counters+%7C+Bartending+Service+in+Jaipur/data=!4m7!3m6!1s0x396c4de64ba2f261:0xedc87efa95a096c6!8m2!3d26.9112474!4d75.6438503!16s%2Fg%2F11xsqcvqzh!19sChIJYfKiS-ZNbDkRxpaglfp-yO0?authuser=0&hl=en&rclk=1","Drink and Design | Best Bartender | Premium Counters | Bartending Service in Jaipur","4.9","(34)","Event planner","·","Plot no. 89","Open 24 hours","","","","Directions","","","""Beautiful counters , creative vibes and amazing drinks""","","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Happy+Dreams/data=!4m7!3m6!1s0x396db3a660e81657:0xef8e1fc72231fd83!8m2!3d26.9428792!4d75.7453946!16s%2Fg%2F11h3qrq2th!19sChIJVxboYKazbTkRg_0xIscfju8?authuser=0&hl=en&rclk=1","Happy Dreams","4.9","(95)","Event management company","·","164","Open","· Closes 9 pm","https://happydreams.in/","","Website","","Directions","On-site services","","·","079762 60797","","","",""
"https://www.google.com/maps/place/The+Royal+House+Food,+Catering+%26+Event+Management/data=!4m7!3m6!1s0x396db3b7c30f4797:0xfbb5db2e69877aa4!8m2!3d26.9559302!4d75.7427232!16s%2Fg%2F11py_pm8w4!19sChIJl0cPw7ezbTkRpHqHaS7btfs?authuser=0&hl=en&rclk=1","The Royal House Food, Catering & Event Management","4.5","(57)","Event management company","·","·","","","","","Directions","","","""Very nice marriage venue, excellent decoration and spacious venue""","","110, Niwaru Rd","083025 59992","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Jagriti+Marriage+Garden/data=!4m7!3m6!1s0x396db33fcb71c375:0x3d3ce87543eb24a0!8m2!3d26.939135!4d75.736622!16s%2Fg%2F11dxjybpgk!19sChIJdcNxyz-zbTkRoCTrQ3XoPD0?authuser=0&hl=en&rclk=1","Jagriti Marriage Garden","4.0","(559)","Banquet hall","·","·","Open 24 hours","","","","Directions","","","Dine-in","","WPQP+MJ5","098292 60712","","","·",""
"https://www.google.com/maps/place/Shubham+Events+%26+Tent+Decorators/data=!4m7!3m6!1s0x396db31d402af615:0xf36ed690999353af!8m2!3d26.935445!4d75.7560252!16s%2Fg%2F11h_y1vwm2!19sChIJFfYqQB2zbTkRr1OTmZDWbvM?authuser=0&hl=en&rclk=1","Shubham Events & Tent Decorators","4.7","(13)","Event management company","·","Shop no.1, Shubham Events","Open 24 hours","","","","Directions","","","On-site services","Online appointments","·","083869 65134","","","",""
"https://www.google.com/maps/place/Anandoham+Restaurant+%26+Banquet/data=!4m7!3m6!1s0x396db362d5ebe0a1:0x21833b77997cd053!8m2!3d26.9435283!4d75.7488978!16s%2Fg%2F11sfh4lpyz!19sChIJoeDr1WKzbTkRU9B8mXc7gyE?authuser=0&hl=en&rclk=1","Anandoham Restaurant & Banquet","4.9","(811)","Vegetarian","·","·","Open","· Closes 11 pm","https://anandohamrestaurant.com/","","Website","","Directions","Dine-in","Drive-through","Brij Bhawan, Kalwar Rd, opp. ICICI Bank","083060 45417","","","·","Delivery"
"https://www.google.com/maps/place/Jaipur+party+planner/data=!4m7!3m6!1s0x396db3e4498bd76d:0x51c07cf3dd4db17a!8m2!3d26.9688069!4d75.7440398!16s%2Fg%2F11xlbx08td!19sChIJbdeLSeSzbTkRerFN3fN8wFE?authuser=0&hl=en&rclk=1","Jaipur party planner","4.9","(28)","Event management company","·","devrish public school, 29 anand vihar nangal jaisa bhora","Open 24 hours","","https://jaipurpartyplanner.in/","","Website","","Directions","On-site services not available","","·","093542 30212","","","",""
"https://www.google.com/maps/place/Bandhan+Paradise/data=!4m7!3m6!1s0x396db30052e56f2d:0x55b9b27f9b3f4857!8m2!3d26.959049!4d75.7302289!16s%2Fg%2F11m6jycbk5!19sChIJLW_lUgCzbTkRV0g_m3-yuVU?authuser=0&hl=en&rclk=1","Bandhan Paradise","5.0","(163)","Wedding venue","·","·","","","","","Directions","","","""Highly suitable for weddings, receptions, and social","events","Bandhan Paradise Mahadev Nagar, Niwaru Rd","098295 59767","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","."""
"https://www.google.com/maps/place/P.+R.+Farm/data=!4m7!3m6!1s0x396db3b80993d933:0x47f0335b6a6f4ae8!8m2!3d26.9586802!4d75.7186415!16s%2Fg%2F11rtqz8dgm!19sChIJM9mTCbizbTkR6Epvalsz8Ec?authuser=0&hl=en&rclk=1","P. R. Farm","4.6","(47)","Banquet hall","·","·","Open","· Closes 10 pm","","","Directions","","","On-site services","","307-308-309 Ganesh Vihar Extn., St. Andrew Road, 120-A, Kalwar Rd","099208 82482","","","·",""
"https://www.google.com/maps/place/Yagh+Paradise/data=!4m7!3m6!1s0x396db2d93704c605:0xcf6377633b1fbefd!8m2!3d26.962085!4d75.7311107!16s%2Fg%2F11csrdk9tq!19sChIJBcYEN9mybTkR_b4fO2N3Y88?authuser=0&hl=en&rclk=1","Yagh Paradise","4.1","(805)","Banquet hall","·","·","Open","· Closes 12 am","","","Directions","","","Dine-in","Delivery","2A, Niwaru Rd","","","","","No takeaway"
"https://www.google.com/maps/place/saini+vivha+sthal/data=!4m7!3m6!1s0x396db3149d1110bb:0x4e57ac59ecaa924e!8m2!3d26.9384616!4d75.7428848!16s%2Fg%2F11c6dbsnj0!19sChIJuxARnRSzbTkRTpKq7FmsV04?authuser=0&hl=en&rclk=1","saini vivha sthal","4.3","(273)","Event venue","·","·","Open","· Closes 5 pm","","","Directions","","","""Spacious, parking facility especially for middle class family functions""","","saini marriage hall,, Sangh Shakti Rd","099283 78230","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","·",""
"https://www.google.com/maps/place/Balaji+Marriage+Garden/data=!4m7!3m6!1s0x396db2ddf349ec05:0x6b115097a36dc285!8m2!3d26.9660103!4d75.7366991!16s%2Fg%2F11c5qs_jkt!19sChIJBexJ892ybTkRhcJto5dQEWs?authuser=0&hl=en&rclk=1","Balaji Marriage Garden","4.0","(78)","Event venue","·","·","Open","· Closes 5 pm","","","Directions","","","Dine-in","","2, Jaisawat Marg","","","","",""
"https://www.google.com/maps/place/Siyaram+Marriage+Garden/data=!4m7!3m6!1s0x396db33951e803e5:0xd867d78cbb395b57!8m2!3d26.9394827!4d75.7305653!16s%2Fg%2F11f55prgv4!19sChIJ5QPoUTmzbTkRV1s5u4zXZ9g?authuser=0&hl=en&rclk=1","Siyaram Marriage Garden","4.5","(724)","Banquet hall","·","·","Open","· Closes 9 pm","","","Directions","","","Dine-in","","Suraj Vihar, 200 Feet Bypass Rd, near DG Farm","098875 03009","","","·",""
"https://www.google.com/maps/place/Godara+marriage+Garden/data=!4m7!3m6!1s0x396db36af377e6fd:0xcda686063f5a4da!8m2!3d26.9384664!4d75.7593725!16s%2Fg%2F11k9g_nrpp!19sChIJ_eZ382qzbTkR2qT1Y2Bo2gw?authuser=0&hl=en&rclk=1","Godara marriage Garden","4.3","(120)","Wedding venue","·","·","","","","","Directions","","","""","Good","Khatipura Rd","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","location for"
"https://www.google.com/maps/place/N.R+Paradise/data=!4m7!3m6!1s0x396db2969da3f0b1:0x5367cb0ec195700!8m2!3d26.9881789!4d75.7408696!16s%2Fg%2F1q4kn4h_v!19sChIJsfCjnZaybTkRAFcZ7LB8NgU?authuser=0&hl=en&rclk=1","N.R Paradise","4.1","(518)","Wedding venue","·","Sitawali Phatak, Benad Rd","Open 24 hours","","","","Directions","","","""Very nice place for","events","·","082331 01417","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",".on the roadand"
"https://www.google.com/maps/place/Sarover+Marriage+Garden/data=!4m7!3m6!1s0x396db36d5cf1d197:0x835e95596d6b9f5f!8m2!3d26.9349148!4d75.7482148!16s%2Fg%2F1pp2vg8s1!19sChIJl9HxXG2zbTkRX59rbVmVXoM?authuser=0&hl=en&rclk=1","Sarover Marriage Garden","4.2","(461)","Wedding venue","·","·","","","","","Directions","","","""Very Big pool and big Garden for","Event","Sarovar Marriage Garden, Sangh Shakti Rd, near by Ganesh Mandir","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","purpose"""
"https://www.google.com/maps/place/Legacy+Hotels+%28MICE+%26+Events+Company%29/data=!4m7!3m6!1s0x396db3546a8ef7ef:0x7f1bff71e47bf452!8m2!3d26.9698482!4d75.7497245!16s%2Fg%2F11v9yq7cc4!19sChIJ7_eOalSzbTkRUvR75HH_G38?authuser=0&hl=en&rclk=1","Legacy Hotels (MICE & Events Company)","5.0","(11)","Event management company","·","No 5, Plot No 142, Shiv Nagar Rd","Open","· Closes 7 pm","","","Directions","","","""Nice banquet Hall party enjoy the day
Sataf""","","·","095098 53411","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Pratap+Paradise/data=!4m7!3m6!1s0x396db2dff4869779:0xbab8ee36ca1ca0c9!8m2!3d26.954401!4d75.7332746!16s%2Fg%2F11c2bpb8x8!19sChIJeZeG9N-ybTkRyaAcyjbuuLo?authuser=0&hl=en&rclk=1","Pratap Paradise","4.1","(718)","Wedding venue","·","Niwaru Rd","Open","· Closes 5 pm","http://pratappradisemarriagegarden.com/","","Website","","Directions","""Good food big parking area
And Big Stage""","","·","096601 00997","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Shree+Shyam+Paradise/data=!4m7!3m6!1s0x396db3bdd135ca35:0xd810c264d78d5a22!8m2!3d26.9655654!4d75.749924!16s%2Fg%2F11rtwnn63r!19sChIJNco10b2zbTkRIlqN12TCENg?authuser=0&hl=en&rclk=1","Shree Shyam Paradise","4.3","(62)","Wedding venue","·","·","Open","· Closes 8 pm","","","Directions","","","""Budget friendly and good space for almost 1500 people gathering.""","","Shree Shyam Paradise, Binjari Marg","085618 60319","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","·",""
"https://www.google.com/maps/place/Kanchan+Deep+Marriage+Garden/data=!4m7!3m6!1s0x396db3c19c8c2117:0xbf43bed78a72b33b!8m2!3d26.9433985!4d75.7437526!16s%2Fg%2F11j0050r3q!19sChIJFyGMnMGzbTkRO7Nyite-Q78?authuser=0&hl=en&rclk=1","Kanchan Deep Marriage Garden","4.3","(133)","Wedding venue","·","Shahid, 30, Hanuman Rd","","","","","Directions","","","""It's","good","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","For organizing Memorable"
"https://www.google.com/maps/place/Maha+laxmi+paradise/data=!4m7!3m6!1s0x396c4d33232f1a13:0x9b56b498f780a817!8m2!3d26.9710152!4d75.7129086!16s%2Fg%2F11clvdtn88!19sChIJExovIzNNbDkRF6iA95i0Vps?authuser=0&hl=en&rclk=1","Maha laxmi paradise","4.3","(539)","Wedding venue","·","Mahalaxmi Vihar, Niwaru Rd, opp. to Govt School","Open","· Closes 8 pm","","","Directions","","","""A","good","·","093145 20794","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","","place for marriage and other"
"https://www.google.com/maps/place/crafthub/data=!4m7!3m6!1s0x396db3c5dceee02d:0xff2642439cb8abfa!8m2!3d26.943383!4d75.760584!16s%2Fg%2F11fj7p210x!19sChIJLeDu3MWzbTkR-qu4nENCJv8?authuser=0&hl=en&rclk=1","crafthub","4.8","(138)","Event planner","·","17, behind Lata cinema hall","Open","· Closes 10 pm","https://www.instagram.com/crafthub.in?igsh=MTJ3bDI3cG4wcDA1bQ==","","Website","","Directions","In-store pick-up","Delivery","·","070231 91656","","","",""
"https://www.google.com/maps/place/Prabhu+Roop+Vilas+Marriage+Garden/data=!4m7!3m6!1s0x396c4cd8591c4633:0xa178a4647f557857!8m2!3d26.9531328!4d75.6994442!16s%2Fg%2F11bxjrxrh3!19sChIJM0YcWdhMbDkRV3hVf2SkeKE?authuser=0&hl=en&rclk=1","Prabhu Roop Vilas Marriage Garden","4.2","(574)","Event venue","·","·","Open 24 hours","","","","Directions","","","""Good for shadi and small events.""","","Kalwar Road, Govind Nagar Ln","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/Fateh+Nivas+Marriage+Garden/data=!4m7!3m6!1s0x396db30ac862080b:0x2cb479a298aab17e!8m2!3d26.9393847!4d75.7588897!16s%2Fg%2F1s04wqx_m!19sChIJCwhiyAqzbTkRfrGqmKJ5tCw?authuser=0&hl=en&rclk=1","Fateh Nivas Marriage Garden","4.2","(129)","Wedding venue","·","SHOP - 15, 266, Khatipura Rd","Open","· Closes 9 pm","","","Directions","","","""Great place for small party's.""","","·","093148 98889","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","",""
"https://www.google.com/maps/place/SHRI+BALAJI+BAGH+MARRIAGE+GARDEN/data=!4m7!3m6!1s0x396db32d9be8451d:0xa9232084fafdc40b!8m2!3d26.9385043!4d75.7274542!16s%2Fg%2F11f6mq5yg5!19sChIJHUXomy2zbTkRC8T9-oQgI6k?authuser=0&hl=en&rclk=1","SHRI BALAJI BAGH MARRIAGE GARDEN","4.2","(321)","Banquet hall","·","·","Open","· Closes 9 pm","","","Directions","","","""Nice benquet hall & marriage garden for function""","","Narsingh Vihar, 200 Feet Bypass Road, Jan Path","097852 98314","https://ssl.gstatic.com/local/servicebusiness/default_user.png","","·",""
